# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     93     76      -     46      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5126    580 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10289      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     72     77      -     45      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4835    565 
    1     50     64      -      6      1      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     55    204 
    2     67     64      -      0      0      0      0      -      -    715   1189      0      0  10289      2      0      0      0      0      0    187 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     57     77      -     43      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   1842    570 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     65      -      6      1      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0    236     19 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0    188     16 
    0     55     77      -     28      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  10289      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5034    588 
    1     52     66      -     96     20      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     15 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10289      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     59     77      -     49      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4427    283 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     53     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0    286     15 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      1     42 
    0     55     77      -     41      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0     41 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     57     78      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   2184    571 
    1     51     65      -      6      1      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     49 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0     27 
    3     42     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     62     78      -     49      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5039    303 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     55     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0    285     16 
    3     42     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      8     39 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0      0 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     55     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     78     78      -     43      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   3712    529 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     65      -     73     17      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0    112     62 
    3     44     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -      9      1      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0    230 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     65      -      2      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     55     78      -      0      0      0      0      -      -    715   1316      0      0  15211      2      0      -      -      0   5091    587 
    1     52     66      -     96     20      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     55 
    2     56     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     87     78      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4957    571 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     65      -      6      1      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     44     54 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0     25 
    0     56     78      -     16      2      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0      0 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     72 
    2     56     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0     18 
    3     46     60      -     82     17      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     21     75 
    0     69     78      -     16      6      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0     14 
    1     96     65      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     22     13 
    2     98     65      -     18      7      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     23     17 
    3     96     60      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     11     68 
    0     53     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     49      4 
    1     80     65      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     48      7 
    2     93     65      -     16      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0     10 
    3     52     60      -     24      9      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     77      7 
    0     88     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     55     65      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     76     16 
    2     99     65      -     16      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     17     19 
    3     70     60      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      2     72 
    0     65     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     64      0 
    1     70     65      -     18      7      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     76      1 
    2     61     66      -     16      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     76      4 
    3    108     60      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     64     17 
    0     70     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     58      2 
    1     76     65      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     53      5 
    2     88     66      -     16      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     62      8 
    3    120     60      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     53     60 
    0     57     78      -     19      7      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      4     13 
    1     95     65      -     19      7      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     28     11 
    2     59     66      -     16      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     67     11 
    3     52     60      -     23      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     77      9 
    0     85     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      8     12 
    1     95     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     27     13 
    2     98     66      -     16      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     24     17 
    3     83     60      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0     71 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     78      -     18      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      6      0 
    1     55     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     61      3 
    2     86     66      -     16      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     63      7 
    3    122     61      -     24      9      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     56     60 
    0     57     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      4     13 
    1     98     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     20     14 
    2    101     66      -     18      7      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      6      2 
    3     57     61      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     75     55 
    0     54     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     38      7 
    1     87     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     10 
    2    100     66      -     16      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     41     13 
    3     98     61      -     23      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     11     68 
    0     60     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0     14 
    1     93     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     14      0 
    2     63     66      -     17      6      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0     62      8 
    3    121     61      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     54     60 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     66      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     66      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
