# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     76      -     52      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5033    578 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2956    569 
    1     53     68      -     96     20      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     27 
    2     41     58      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     57     76      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3689    566 
    1     52     67      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     49     58      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     19     66 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     60     77      -     45      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4953    204 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     48     58      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     57      -     95     20      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0    141     77      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     53     14 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     41     58      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     41     55      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     58     77      -     47      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2703    542 
    1     53     68      -      6      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0    220 
    2     62     58      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0     43     25 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     65     77      -     47      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4677    472 
    1     52     67      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     49     58      -      1      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     37     55      -      2      1      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0    189     38 
    0     56     77      -     46      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3713     12 
    1     52     67      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     49     58      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     42     56      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     99     77      -     23      1      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4900    565 
    1     53     68      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0    314     16 
