# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    115     76      -     52      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3703    574 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     61     77      -     13      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5011    574 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0    271    187 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     65     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4807    553 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0     30 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     81     77      -     47      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4846    565 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     44     60      -     68     14      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0    126     77      -     58      8      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     42     27 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     80     77      -     46      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4898    564 
    1     51     63      -      6      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      3 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     59     77      -     48      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2306    539 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     66      -      1      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      6      1      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0     81    187 
    0     60     77      -     45      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5007    578 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0    295 
    1     93     65      -     96     19      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     18 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     94     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4958    565 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     60     66      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0     53 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     56     77      -     20      2      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     54    570 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     66      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     69     77      -     44      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4565    369 
    1     51     63      -      6      2      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     62     67      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     88      5 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     56     77      -     23      2      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1700    573 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     66      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0    222    563 
    1     69     65      -     96     20      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     66      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     74     78      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4885    259 
