# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    141     76      -     45      4      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     74     31 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      7 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     58     76      -     42      3      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0   3697    572 
    1     48     63      -      0      0      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0      0 
    2     52     65      -      3      1      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     18     55 
    3     46     59      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     80      0 
    0     68     76      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0      0     18 
    1     74     63      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     23     17 
    2     54     65      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     52      9 
    3     47     60      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     69      1 
    0     58     76      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     80      0 
    1     57     63      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     55     15 
    2     48     65      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     60      6 
    3     48     60      -     15      6      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     69     69 
    0     52     76      -     16      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     48      8 
    1     74     63      -     15      5      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      3     19 
    2     74     65      -     12      4      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     14     16 
    3     41     60      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     33     62 
    0     53     76      -     18      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     19     13 
    1     74     63      -     13      5      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      1     20 
    2     58     65      -     11      4      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     46      8 
    3     42     60      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     69     70 
    0     53     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     10      4 
    1     44     63      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      6     19 
    2     52     65      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     38     11 
    3     84     60      -     22      7      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     69     70 
    0     53     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     10     15 
    1     74     63      -     16      5      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      6      0 
    2     50     66      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     36      7 
    3     42     60      -     19      6      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     69     70 
    0     54     76      -     17      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      2     16 
    1     73     63      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0     20 
    2     53     65      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     46      8 
    3     42     60      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0     70 
    0     54     76      -     13      4      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     10     16 
    1     76     63      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     14     17 
    2     48     65      -     13      4      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     52      6 
    3     42     60      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     69      0 
    0     49     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     79      0 
    1     54     64      -     11      4      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     46     10 
    2     75     65      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     85     19 
    3     61     60      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0     15 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     60     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      1      0 
    1     46     64      -     11      4      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     47      8 
