# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     76      -     49      4      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0   5089    577 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     57     77      -     39      2      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5016    327 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0    181    187 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     71     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4866    553 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0      0 
    2     51     62      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      1 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     56     77      -     47      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2620    174 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11449      2      0      -      -      0      0      0 
    2     51     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     49     59      -     95     20      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     56     77      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0    397     41 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11449      2      0      -      -      0      0      0 
    2     43     61      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     74     77      -     44      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1672    565 
    1     56     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0    215 
    2     62     61      -      1      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0    187 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     91     77      -     47      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4933    563 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0      0 
    2     51     62      -      1      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     38     57      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0     71     47 
    0     57     77      -     28      2      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0    324    567 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     57     78      -     65     14      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0    136 
    1    115     67      -     96     20      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0    187 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     62     78      -     45      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3019    562 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0      0 
    2     53     62      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0     49 
    3     42     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      5 
    0     56     78      -     50      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0    279 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0      0 
    2     52     62      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     60     78      -     43      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2327    565 
    1     57     65      -      5      1      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      5     68 
    2     64     62      -      3      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0     21 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     63     78      -     44      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3984    536 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0     64 
    2     53     62      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0    148     79      -     82     16      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     57     28 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0      0 
    2     53     62      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     45     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     73     78      -     49      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4756    362 
    1     50     65      -      1      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0      0 
    2     52     63      -     94     20      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      5 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     59     78      -     44      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2003    546 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3    153     60      -     75     16      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     47     27 
    0     92     78      -     18      7      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0     13 
    1     52     66      -     15      5      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0     71     10 
    2     56     63      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     46      9 
    3    119     59      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     47     62 
    0     77     78      -     18      7      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     80      2 
    1     54     66      -     15      5      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0     78     17 
    2     94     63      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     14     19 
    3     62     59      -     24      9      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     77     54 
    0     69     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0     75      0 
    1     54     66      -     15      5      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0     71      2 
    2     77     63      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     63      5 
    3     98     59      -     23      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     67     17 
    0     61     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0     17      0 
    1     57     66      -     15      6      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0     42      9 
    2     90     63      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     37     12 
    3    103     60      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     11     68 
    0     81     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0      2     18 
    1     94     66      -     15      6      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      2      6 
    2     56     63      -     16      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     26     15 
    3     95     60      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      2     71 
    0     84     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0      0     18 
    1     93     66      -     15      6      0      0      -      -    715   1328      0      0  11449      2      0      -      -      0      7      0 
    2     59     63      -     16      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     63      5 
    3    112     60      -     22      8      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     56     60 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     84     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0     42     10 
