# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    139     77      -     63     10      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     70     26 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0     22 
    2     43     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     72     76      -     42      3      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0   4667    535 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  11443      2      0      -      -      0      0      0 
    2     50     61      -      0      0      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      0      0 
    3     45     57      -      3      1      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0     61 
    0    102     76      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     79      9 
    1     45     64      -     17      6      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     76      5 
    2     53     62      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     85     15 
    3     86     58      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      1     71 
    0     72     76      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     18      0 
    1     48     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     41      9 
    2     73     61      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     34     13 
    3     91     58      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      2     70 
    0     50     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     80      0 
    1     46     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     55      6 
    2     67     62      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     41     11 
    3     82     58      -     21      7      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      2      9 
    0     79     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      8 
    1     45     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     76      1 
    2     46     62      -     15      5      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     85     19 
    3     66     58      -     24      8      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0     72 
    0     60     76      -     17      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     80      0 
    1     54     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     78      1 
    2     47     61      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     63      5 
    3     90     58      -     24      8      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0     51     61 
    0     53     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     42      9 
    1     74     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      5     16 
    2     75     62      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     85      4 
    3     44     59      -     24      8      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0     77     72 
    0     60     76      -     18      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0     18 
    1     66     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     30     16 
    2     45     62      -     14      5      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     47     11 
    3     41     59      -     24      8      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0     75      5 
    0     75     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     52      7 
    1     70     65      -     14      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     52      8 
    2     46     62      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     85      4 
    3     44     59      -     22      7      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0     77     54 
    0     53     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     48      8 
    1     73     65      -     15      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      5     16 
    2     74     62      -     17      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0     19 
    3     52     59      -     24      8      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0     12     17 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     68     76      -     17      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0     14 
    1     44     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     53      7 
    2     46     62      -     14      5      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      2     17 
    3     66     59      -     24      8      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     72     76      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      9      0 
    1     47     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     42      9 
    2     73     62      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     28     14 
    3     72     59      -     21      7      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0     72 
    0     60     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     80      0 
    1     57     65      -     16      5      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0     14     18 
    2     53     62      -     17      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     38      0 
    3     52     59      -     24      8      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0     16     68 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     58      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11443      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13715      2      0      0      0      0      0      0 
