# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     76      -     44      3      0      0      -      -    715   1328      0      0  12421      2      0      -      -      0    449     30 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14235      2      0      -      -      0   1614    230 
    2     44     63      -      0      0      0      0      -      -    715   1189      0      0  10185      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13617      2      0      0      0      0      0      0 
    0     67     76      -     43      3      0      0      -      -    715   1328      0      0  12421      2      0      -      -      0   5056    429 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     51     64      -      3      1      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0      0      0 
    3     38     59      -      3      1      0      0      -      -    715   1189      0      0  13691      2      0      0      0      0    453     62 
    0     61     77      -     15      6      0      0      -      -    715   1328      0      0  12421      2      0      -      -      0      7      0 
    1     54     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     58      4 
    2     80     64      -     16      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     54     21 
    3     50     60      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0     25     16 
    0    107     77      -     15      6      0      0      -      -    715   1328      0      0  12421      2      0      -      -      0      0      0 
    1     53     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     75      1 
    2     56     64      -     16      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     85      2 
    3     94     60      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0     69     56 
    0     68     77      -     15      6      0      0      -      -    715   1328      0      0  12421      2      0      -      -      0     72      7 
    1     52     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     73      6 
    2     55     64      -     17      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     33     15 
    3     84     60      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      2     70 
    0     84     77      -     16      6      0      0      -      -    715   1328      0      0  12421      2      0      -      -      0     60      0 
    1     55     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     50      6 
    2     83     64      -     16      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     53     10 
    3    105     60      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0     42     62 
    0     75     77      -     16      6      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0     42      7 
    1     89     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     32     11 
    2     90     64      -     16      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     25     16 
    3     87     60      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      2     70 
    0     74     77      -     16      6      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0     73      0 
    1     63     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     75      1 
    2     56     65      -     16      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0      6     21 
    3     64     60      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      6     72 
    0     60     77      -     16      6      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0     10     16 
    1     73     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     25     17 
    2     57     65      -     16      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     45      5 
    3    104     61      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0     60     17 
    0     50     77      -     16      6      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0     73      0 
    1     64     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     75      1 
    2     56     65      -     16      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     87      1 
    3     88     61      -     23      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0     72     56 
    0     74     77      -     16      6      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0     42      8 
    1     87     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     34     11 
    2     90     65      -     16      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     25     16 
    3     80     61      -     23      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      0     72 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     69     77      -     16      6      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0      2     16 
    1     85     64      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     19     18 
    2     62     65      -     17      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     38      3 
    3     97     61      -     23      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0     65     17 
    0     51     77      -     16      6      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0     54      0 
    1     59     65      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     27     12 
    2     89     65      -     17      6      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0     17     18 
    3     74     61      -     22      8      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0      0      0 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     51     64      -      0      0      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0      0      0 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     51     64      -      0      0      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0      0      0 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     51     64      -      0      0      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0      0      0 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     51     64      -      0      0      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0      0      0 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     51     64      -      0      0      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0      0      0 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     51     64      -      0      0      0      0      -      -    715   1316      0      0  10283      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  13715      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  12421      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
