label,ot_tag,cpu_layers,ts,threads,kv,split_mode,ctx,ub,run_index,metric,phase,n,mean,stdev,min,max,median,surpass_phase_d,surpass_phase_s,surpass_phase_t4,surpass_phase_t5,surpass_phase_t5e,surpass_phase_t5f,surpass_phase_t5a,surpass_phase_t5a_ub,surpass_19plus
B18_default_a,B18,18,"",40,q8_0,layer,32768,256,1,eval_tps,warmup,2,17.8617,0.5573,17.4677,18.2558,17.8617,no,no,no,no,no,no,no,no,no
B18_default_a,B18,18,"",40,q8_0,layer,32768,256,1,eval_tps,eval,5,17.9645,0.0029,17.9607,17.9673,17.9650,yes,yes,yes,yes,yes,yes,no,no,no
B18_default_a,B18,18,"",40,q8_0,layer,32768,256,1,prompt_tps,warmup,2,20.1833,0.1967,20.0442,20.3223,20.1833,no,no,no,no,no,no,no,no,no
B18_default_a,B18,18,"",40,q8_0,layer,32768,256,1,prompt_tps,eval,5,38.3246,0.0287,38.2916,38.3571,38.3251,no,no,no,no,no,no,no,no,no
B18_ts_equal,B18,18,"13,11,12,13",40,q8_0,layer,32768,256,2,eval_tps,warmup,2,17.9290,0.4742,17.5937,18.2643,17.9290,no,no,no,no,no,no,no,no,no
B18_ts_equal,B18,18,"13,11,12,13",40,q8_0,layer,32768,256,2,eval_tps,eval,5,18.1199,0.0053,18.1157,18.1279,18.1173,yes,yes,yes,yes,yes,yes,yes,yes,no
B18_ts_equal,B18,18,"13,11,12,13",40,q8_0,layer,32768,256,2,prompt_tps,warmup,2,22.2096,0.3948,21.9304,22.4888,22.2096,no,no,no,no,no,no,no,no,no
B18_ts_equal,B18,18,"13,11,12,13",40,q8_0,layer,32768,256,2,prompt_tps,eval,5,38.3732,0.0170,38.3573,38.3986,38.3693,no,no,no,no,no,no,no,no,no
B18_ts_skew,B18,18,"11,12,13,13",40,q8_0,layer,32768,256,3,eval_tps,warmup,2,17.8161,0.4828,17.4748,18.1575,17.8161,no,no,no,no,no,no,no,no,no
B18_ts_skew,B18,18,"11,12,13,13",40,q8_0,layer,32768,256,3,eval_tps,eval,5,18.0238,0.0032,18.0189,18.0270,18.0238,yes,yes,yes,yes,yes,yes,yes,no,no
B18_ts_skew,B18,18,"11,12,13,13",40,q8_0,layer,32768,256,3,prompt_tps,warmup,2,22.9251,0.1941,22.7878,23.0623,22.9251,no,no,no,no,no,no,no,no,no
B18_ts_skew,B18,18,"11,12,13,13",40,q8_0,layer,32768,256,3,prompt_tps,eval,5,38.7896,0.0205,38.7589,38.8102,38.7881,no,no,no,no,no,no,no,no,no
B16_ts_skew,B16,16,"11,12,13,13",40,q8_0,layer,32768,256,4,eval_tps,warmup,2,18.2449,0.5761,17.8375,18.6522,18.2449,no,no,no,no,no,no,no,no,no
B16_ts_skew,B16,16,"11,12,13,13",40,q8_0,layer,32768,256,4,eval_tps,eval,5,18.4174,0.0041,18.4129,18.4214,18.4185,yes,yes,yes,yes,yes,yes,yes,yes,no
B16_ts_skew,B16,16,"11,12,13,13",40,q8_0,layer,32768,256,4,prompt_tps,warmup,2,25.6809,0.3507,25.4328,25.9289,25.6809,no,no,no,no,no,no,no,no,no
B16_ts_skew,B16,16,"11,12,13,13",40,q8_0,layer,32768,256,4,prompt_tps,eval,5,42.9909,0.0253,42.9489,43.0161,42.9958,no,no,no,no,no,no,no,no,no
B16_ts_alt,B16,16,"10,12,13,14",40,q8_0,layer,32768,256,5,eval_tps,warmup,2,18.0909,0.4900,17.7444,18.4374,18.0909,no,no,no,no,no,no,no,no,no
B16_ts_alt,B16,16,"10,12,13,14",40,q8_0,layer,32768,256,5,eval_tps,eval,5,18.3315,0.0018,18.3287,18.3336,18.3319,yes,yes,yes,yes,yes,yes,yes,yes,no
B16_ts_alt,B16,16,"10,12,13,14",40,q8_0,layer,32768,256,5,prompt_tps,warmup,2,25.5000,0.2853,25.2982,25.7017,25.5000,no,no,no,no,no,no,no,no,no
B16_ts_alt,B16,16,"10,12,13,14",40,q8_0,layer,32768,256,5,prompt_tps,eval,5,42.9862,0.0255,42.9550,43.0158,42.9931,no,no,no,no,no,no,no,no,no
B18_default_mid,B18,18,"",40,q8_0,layer,32768,256,6,eval_tps,warmup,2,17.4894,0.4451,17.1747,17.8042,17.4894,no,no,no,no,no,no,no,no,no
B18_default_mid,B18,18,"",40,q8_0,layer,32768,256,6,eval_tps,eval,5,17.6698,0.0058,17.6630,17.6778,17.6709,yes,yes,yes,yes,yes,yes,no,no,no
B18_default_mid,B18,18,"",40,q8_0,layer,32768,256,6,prompt_tps,warmup,2,20.2350,0.2598,20.0513,20.4188,20.2350,no,no,no,no,no,no,no,no,no
B18_default_mid,B18,18,"",40,q8_0,layer,32768,256,6,prompt_tps,eval,5,38.2992,0.0421,38.2538,38.3593,38.2886,no,no,no,no,no,no,no,no,no
B18_default_z,B18,18,"",40,q8_0,layer,32768,256,7,eval_tps,warmup,2,16.9958,0.4462,16.6803,17.3113,16.9958,no,no,no,no,no,no,no,no,no
B18_default_z,B18,18,"",40,q8_0,layer,32768,256,7,eval_tps,eval,5,17.1465,0.0052,17.1413,17.1535,17.1439,yes,yes,yes,yes,yes,yes,no,no,no
B18_default_z,B18,18,"",40,q8_0,layer,32768,256,7,prompt_tps,warmup,2,20.1650,0.5577,19.7707,20.5594,20.1650,no,no,no,no,no,no,no,no,no
B18_default_z,B18,18,"",40,q8_0,layer,32768,256,7,prompt_tps,eval,5,38.2704,0.0121,38.2542,38.2864,38.2720,no,no,no,no,no,no,no,no,no
