# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     76      -     45      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   3778     44 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     58     77      -     49      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5037    583 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0    320     16 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     62     77      -     49      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5110    576 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     65      -      6      1      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0     32 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0    208     27 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     44     60      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     59     77      -     24      2      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5114    226 
    1     51     66      -     16      4      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     58 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     62     77      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5120    202 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     69     65      -      6      1      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0    218 
    3     70     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0    152     78      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5170    585 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     53     65      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     85     78      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5069    578 
    1     51     66      -     96     19      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     19 
    2     53     65      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     61     78      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   3814    386 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     65      -      1      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     43     59      -      6      1      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0    225     15 
    0     60     78      -     46      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5049    521 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     13 
    2     55     65      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     66     77      -     44      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5157    436 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     65      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0     72 
    3     46     60      -     73     15      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     79      -     61     12      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0      0 
    1    123     67      -     96     20      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     29    184 
    2     56     65      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     57     78      -     49      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     33    525 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     60     66      -      6      1      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      3 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     56     78      -     18      2      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0   1380 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     13 
    2     56     66      -      2      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     73     33 
    3     64     60      -     22      4      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     34      8 
    0     66     78      -     16      6      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     33      8 
    1     88     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     43      8 
    2     97     66      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     48     10 
    3    118     61      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     24     16 
    0     52     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      3      0 
    1     56     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     14      0 
    2     62     66      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     74      3 
    3    101     61      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     71     55 
    0     50     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     61      0 
    1     61     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     22     13 
    2    101     67      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     23     16 
    3     88     61      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0     70 
    0     53     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     53      0 
    1     57     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     53     18 
    2     86     67      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     30     20 
    3     60     61      -     26      9      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     16     16 
    0     56     78      -     19      7      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      9     11 
    1     95     66      -     19      7      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     34     11 
    2    101     67      -     20      7      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     36     15 
    3     51     61      -     24      9      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     54     14 
    0     57     78      -     18      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      4     13 
    1    101     66      -     18      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      4 
    2     62     67      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     88      4 
    3     56     61      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     72     54 
    0     50     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     56      0 
    1     61     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     28     12 
    2    101     67      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     41     12 
    3    125     61      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     51     60 
    0     52     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     62      1 
    1     76     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     67      0 
    2     63     67      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     66      5 
    3    111     62      -     26      9      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     62     57 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     64      0 
    1     67     66      -     18      7      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      1     17 
    2     97     67      -     20      7      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     22     20 
    3     62     62      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     10      4 
    0     70     78      -     19      7      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0     13 
    1     83     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     25      4 
    2     62     67      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     88      3 
    3     56     62      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     72     54 
    0     50     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     61      0 
    1     61     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     23     13 
    2    103     67      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     46     61      -     15      5      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     57     66      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     46     61      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     57     66      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     46     61      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     57     66      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     46     61      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     57     66      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     46     60      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     57     66      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     46     60      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
