# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     44      9      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0    140 
    1     96     66      -     80     17      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11577      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15009      2      0      0      0      0      0      0 
    0     63     77      -     45      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   5076    404 
    1     49     65      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     51     65      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3    100     60      -      3      1      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     50     28 
    0     65     77      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     31      8 
    1     91     65      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     44      8 
    2     88     65      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     49     10 
    3    113     60      -     24      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     51     60 
    0    104     77      -     19      7      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      1 
    1     54     66      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     33     11 
    2     91     65      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     65      6 
    3    104     60      -     22      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     62     57 
    0     51     77      -     20      7      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     32     13 
    1     60     66      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     36      0 
    2     61     65      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     45     18 
    3     47     60      -     22      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     31     16 
    0     53     77      -     20      7      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     50      4 
    1     78     66      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0     11 
    2     55     66      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     59      0 
    3     67     60      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     10     68 
    0     50     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     63      5 
    1     54     66      -     16      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     74      0 
    2     67     66      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     88      7 
    3     50     61      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     73      6 
    0     58     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     64      0 
    1     63     66      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     71     10 
    2     55     66      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     70     11 
    3     49     61      -     26     10      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     51     60 
    0     49     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     61      0 
    1     61     66      -     16      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     26     13 
    2     93     66      -     18      7      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     39     12 
    3    105     61      -     26     10      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     40     62 
    0     52     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     54      3 
    1     77     66      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     59      4 
    2     80     66      -     18      7      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0     13 
    3     48     61      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     64     58 
    0     49     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     32      0 
    1     59     66      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     38     10 
    2     92     66      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     46     17 
    3     54     61      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     20      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     73     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     47      4 
    1     82     66      -     19      7      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     51      6 
    2     85     66      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     50      9 
    3    118     61      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     52     60 
    0     49     77      -     19      7      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     54      0 
    1     60     66      -     18      7      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     31     11 
    2     94     66      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     54     15 
    3     49     61      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     62     13 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     52     65      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     52     65      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     50     66      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     52     65      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     52     65      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     52     65      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     52     65      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
