# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     91     76      -     56     11      0      0      -      -    715   1316      0      0  15211      2      0      -      -      0   5173    588 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  13073      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     58     77      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5109    259 
    1     51     65      -      6      1      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0    310     14 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  13073      2      0      0      0      0      0     44 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     81     77      -     48      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5066    578 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     53     64      -      5      1      0      0      -      -    715   1328      0      0  13073      2      0      0      0      0     38    212 
    3     77     59      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0    203     27 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  13073      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5107    224 
    1     51     66      -     78     17      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      2 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  13073      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     75     77      -     50      5      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5052    596 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     97     64      -      6      1      0      0      -      -    715   1328      0      0  13073      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0    188    187 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  13073      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0     66 
    1    129     67      -     96     20      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     15 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  13073      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     57     77      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5034    492 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     57     65      -      6      1      0      0      -      -    715   1328      0      0  13073      2      0      0      0      0      0      0 
    3     43     59      -      6      1      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0     28     57 
    0     62     78      -     23      5      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5104    398 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     55     64      -      0      0      0      0      -      -    715   1328      0      0  13073      2      0      0      0      0      0      0 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     59     77      -     44      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   3495    575 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     56     65      -      3      1      0      0      -      -    715   1328      0      0  13073      2      0      0      0      0      0      0 
    3     54     60      -      5      1      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
