# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   4072    535 
    1     49     65      -     97     22      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0     25 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12969      2      0      0      0      0      0    111 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13617      2      0      0      0      0      0      0 
    0     62     77      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   3847    578 
    1     49     64      -      0      0      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0    303 
    2     50     63      -      0      0      0      0      -      -    715   1316      0      0  13067      2      0      0      0      0      0     11 
    3     42     60      -     46     10      0      0      -      -    715   1328      0      0  13715      2      0      0      0      0    118     64 
    0     64     77      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      9      9 
    1     88     65      -     17      6      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     41      9 
    2     86     64      -     17      6      0      0      -      -    715   1316      0      0  13067      2      0      0      0      0     42     11 
    3    105     60      -     23      8      0      0      -      -    715   1328      0      0  13715      2      0      0      0      0     42     63 
    0     60     77      -     18      7      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     63      0 
    1     67     65      -     17      6      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     26     12 
    2     92     64      -     17      6      0      0      -      -    715   1316      0      0  13067      2      0      0      0      0     37     12 
    3     97     61      -     24      9      0      0      -      -    715   1328      0      0  13715      2      0      0      0      0     40     63 
    0     59     77      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     63      0 
    1     65     65      -     17      6      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0     17 
    2     88     63      -     17      6      0      0      -      -    715   1316      0      0  13067      2      0      0      0      0     22     19 
    3     68     61      -     25      9      0      0      -      -    715   1328      0      0  13715      2      0      0      0      0     77     10 
    0     73     77      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     22      0 
    1     58     65      -     17      6      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     43      8 
    2     87     64      -     17      6      0      0      -      -    715   1316      0      0  13067      2      0      0      0      0     39     11 
    3    103     61      -     24      9      0      0      -      -    715   1328      0      0  13715      2      0      0      0      0     19      0 
    0     49     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     56      0 
    1     60     65      -     18      7      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     25     11 
    2     54     64      -     19      7      0      0      -      -    715   1316      0      0  13067      2      0      0      0      0      0     10 
    3     51     61      -     22      8      0      0      -      -    715   1328      0      0  13715      2      0      0      0      0     77     10 
    0     80     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     14      9 
    1     91     65      -     17      6      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     33     11 
    2     90     64      -     17      6      0      0      -      -    715   1316      0      0  13067      2      0      0      0      0     29     14 
    3     90     61      -     24      9      0      0      -      -    715   1328      0      0  13715      2      0      0      0      0      9     69 
    0     58     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     63      6 
    1     53     65      -     17      7      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     72      8 
    2     54     64      -     18      7      0      0      -      -    715   1316      0      0  13067      2      0      0      0      0     83      0 
    3     72     61      -     22      8      0      0      -      -    715   1328      0      0  13715      2      0      0      0      0      0     71 
    0     75     77      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     42      6 
