# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     66     76      -     58      7      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5198    590 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10289      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     56     77      -     45      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     30    578 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     46     65      -      6      1      0      0      -      -    715   1189      0      0  10289      2      0      0      0      0    277     24 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     57     77      -     50      5      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   3530    579 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     66      -      1      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     38     59      -      6      1      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0    213      0 
    0     57     77      -     52      5      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5165    588 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10289      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     59     77      -     49      5      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4970    304 
    1     50     65      -      1      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     46     65      -      6      1      0      0      -      -    715   1189      0      0  10289      2      0      0      0      0     84     47 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     91     77      -     48      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   3948    581 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     66      -      1      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     64     59      -      6      1      0      0      -      -    715   1189      0      0  13721      2      0      0      0      0      0      0 
    0     96     77      -     49      5      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5118    583 
    1     49     64      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1328      0      0  13721      2      0      0      0      0      0      0 
    0     57     77      -     47      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0    265    540 
    1     65     65      -      6      1      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0    216 
    2     72     65      -      0      0      0      0      -      -    715   1328      0      0  10289      2      0      0      0      0      1    141 
