# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     76      -     46      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5169    501 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     66     77      -     44      2      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5143    578 
    1     52     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     58     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5027    563 
    1     50     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     53     61      -      0      0      0      0      -      -    715   1316      0      0  10163      2      0      0      0      0      4      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     55     77      -     41      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0     20 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     43     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0    132     79      -     97     21      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     40      0 
    1    116     67      -     76     16      0      0      -      -    715   1316      0      0  11555      2      0      -      -      0     55     25 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     43     57      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     55     77      -     23      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4053    571 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     79     61      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0    187 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     84     77      -     45      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4976    561 
    1     50     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     50     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3    123     59      -     95     19      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0     52      5 
    0     57     77      -     53      6      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2858     75 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     50     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     67     78      -     45      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4875    555 
    1     51     66      -      6      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0    287     15 
    2     50     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     42     57      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     58     78      -     45      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1682    572 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     52     61      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0    280    187 
    3     42     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0     27 
    0     68     77      -      0      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5083    575 
    1     50     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     52     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     62     78      -     44      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4004    545 
    1     51     66      -      3      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      8      0 
    2     53     62      -     41      9      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     86     54 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     56     77      -     12      1      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0     43 
    1     50     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     52     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     57     78      -     15      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0    378 
    1     87     68      -     96     20      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     57 
    2     52     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     57     78      -     45      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1404    573 
    1     50     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     55     62      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0     52 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     57     78      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1920    575 
    1     50     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     53     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      4 
    3     45     59      -     44      9      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      5     26 
    0     85     78      -     18      7      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      7      0 
    1     56     66      -     16      6      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0     55      7 
    2     77     62      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     63      5 
    3    107     59      -     23      8      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0     68     70 
    0     76     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0      0     12 
    1     53     66      -     16      6      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0     81      8 
    2     56     62      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     85      4 
    3     52     59      -     21      8      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0     69      0 
    0     52     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0     75      2 
    1     77     67      -     16      6      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     13 
    2     55     62      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     63      9 
    3     50     59      -     21      8      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0     69     62 
    0     91     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0      0      1 
    1     55     67      -     16      6      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      6      1 
    2     58     62      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     63      5 
    3    102     60      -     21      8      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0     55     58 
    0     86     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0     19     13 
    1     93     66      -     16      6      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      5     18 
    2     92     62      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      6     19 
    3     72     59      -     21      8      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      1     70 
    0     55     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0     30      0 
    1     59     67      -     16      6      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0     29     11 
    2     56     62      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     85      7 
    3     51     60      -     21      8      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0     69      3 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     78      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0     79      1 
    1     73     67      -     16      6      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     14 
    2     55     62      -     15      6      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     60      9 
    3     50     60      -     21      8      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0     69     61 
