# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    139     76      -     47      3      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0   5114    584 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     56     77      -     59     13      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0    200 
    1    104     66      -     97     20      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0    187 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     56     76      -     49      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2978    297 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     53     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0    313     14 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     88     77      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5048    577 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     47     60      -     95     19      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     60     77      -     49      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5041    332 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     65     77      -     43      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4957    263 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0    270      0 
    2    124     66      -     95     20      0      0      -      -    715   1316      0      0  10163      2      0      0      0      0     48     17 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     80     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5023    538 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      1      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      6      1      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0    185     24 
    0     56     77      -     46      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2670     63 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     72     78      -     49      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5160    594 
    1     52     65      -      4      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     48 
