label,ot_tag,cpu_layers,ts,threads,kv,split_mode,ctx,ub,run_index,metric,phase,n,mean,stdev,min,max,median,surpass_phase_d,surpass_phase_s,surpass_phase_t4,surpass_phase_t5,surpass_phase_t5e,surpass_phase_t5f,surpass_phase_t5a,surpass_phase_t5a_ub,surpass_19plus
B18_default_a,B18,18,"",40,q8_0,layer,32768,256,1,eval_tps,warmup,2,17.9595,0.5715,17.5554,18.3636,17.9595,no,no,no,no,no,no,no,no,no
B18_default_a,B18,18,"",40,q8_0,layer,32768,256,1,eval_tps,eval,5,18.0801,0.0036,18.0742,18.0835,18.0816,yes,yes,yes,yes,yes,yes,yes,no,no
B18_default_a,B18,18,"",40,q8_0,layer,32768,256,1,prompt_tps,warmup,2,20.7208,0.2110,20.5715,20.8700,20.7208,no,no,no,no,no,no,no,no,no
B18_default_a,B18,18,"",40,q8_0,layer,32768,256,1,prompt_tps,eval,5,38.5975,0.0340,38.5476,38.6298,38.6050,no,no,no,no,no,no,no,no,no
B14c_ts_primary,B14c,14,"11,12,13,14",40,q8_0,layer,32768,256,2,eval_tps,warmup,2,18.1409,0.5144,17.7772,18.5046,18.1409,no,no,no,no,no,no,no,no,no
B14c_ts_primary,B14c,14,"11,12,13,14",40,q8_0,layer,32768,256,2,eval_tps,eval,5,18.3559,0.0061,18.3455,18.3602,18.3590,yes,yes,yes,yes,yes,yes,yes,yes,no
B14c_ts_primary,B14c,14,"11,12,13,14",40,q8_0,layer,32768,256,2,prompt_tps,warmup,2,27.8983,0.1133,27.8181,27.9784,27.8983,no,no,no,no,no,no,no,no,no
B14c_ts_primary,B14c,14,"11,12,13,14",40,q8_0,layer,32768,256,2,prompt_tps,eval,5,45.7284,0.0413,45.6776,45.7725,45.7273,no,no,no,no,no,no,no,no,no
B14b_ts_alt,B14b,14,"11,12,13,14",40,q8_0,layer,32768,256,3,eval_tps,warmup,2,18.4166,0.4918,18.0689,18.7643,18.4166,no,no,no,no,no,no,no,no,no
B14b_ts_alt,B14b,14,"11,12,13,14",40,q8_0,layer,32768,256,3,eval_tps,eval,5,18.6640,0.0031,18.6598,18.6680,18.6645,yes,yes,yes,yes,yes,yes,yes,yes,no
B14b_ts_alt,B14b,14,"11,12,13,14",40,q8_0,layer,32768,256,3,prompt_tps,warmup,2,27.5588,0.4697,27.2268,27.8909,27.5588,no,no,no,no,no,no,no,no,no
B14b_ts_alt,B14b,14,"11,12,13,14",40,q8_0,layer,32768,256,3,prompt_tps,eval,5,46.0816,0.0256,46.0628,46.1260,46.0759,no,no,no,no,no,no,no,no,no
B16_ts_skew,B16,16,"11,12,13,13",40,q8_0,layer,32768,256,4,eval_tps,warmup,2,18.3501,0.6174,17.9135,18.7866,18.3501,no,no,no,no,no,no,no,no,no
B16_ts_skew,B16,16,"11,12,13,13",40,q8_0,layer,32768,256,4,eval_tps,eval,5,18.4956,0.0015,18.4937,18.4969,18.4964,yes,yes,yes,yes,yes,yes,yes,yes,no
B16_ts_skew,B16,16,"11,12,13,13",40,q8_0,layer,32768,256,4,prompt_tps,warmup,2,25.7662,0.6711,25.2916,26.2408,25.7662,no,no,no,no,no,no,no,no,no
B16_ts_skew,B16,16,"11,12,13,13",40,q8_0,layer,32768,256,4,prompt_tps,eval,5,43.0568,0.0239,43.0252,43.0824,43.0555,no,no,no,no,no,no,no,no,no
B18_default_z,B18,18,"",40,q8_0,layer,32768,256,5,eval_tps,warmup,2,17.9978,0.4393,17.6872,18.3085,17.9978,no,no,no,no,no,no,no,no,no
B18_default_z,B18,18,"",40,q8_0,layer,32768,256,5,eval_tps,eval,5,18.2007,0.0061,18.1918,18.2069,18.1996,yes,yes,yes,yes,yes,yes,yes,yes,no
B18_default_z,B18,18,"",40,q8_0,layer,32768,256,5,prompt_tps,warmup,2,20.7256,0.2773,20.5296,20.9217,20.7256,no,no,no,no,no,no,no,no,no
B18_default_z,B18,18,"",40,q8_0,layer,32768,256,5,prompt_tps,eval,5,38.6148,0.0204,38.5969,38.6408,38.6054,no,no,no,no,no,no,no,no,no
