# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     75      -      2      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   4289    571 
    1     56     71      -     48     10      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     76      5 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     75     52 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     58     75      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   3815    512 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     45     55      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0   2073 
    3     39     51      -     89     19      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      7 
    0     69     76      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     63      0 
    1     57     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     20     14 
    2     86     55      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      6      3 
    3     49     52      -     25      9      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     72     54 
    0     71     76      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     21      0 
    1     53     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     46      8 
    2     71     55      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     43     11 
    3    101     52      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     19     65 
    0     75     75      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     23     13 
    1     52     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     39     12 
    2     42     55      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     59     10 
    3     40     52      -     25      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     72      9 
    0     48     75      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     63      6 
    1     77     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     37     13 
    2     42     55      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     57     11 
    3     39     52      -     24      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     70      9 
    0     52     75      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     31      2 
    1     69     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0     11 
    2     42     55      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     64      9 
    3     40     52      -     24      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     73      5 
    0     48     75      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     63      0 
    1     58     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      1     17 
    2     69     55      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     22     20 
    3     45     52      -     24      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     17     16 
    0     70     75      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      3     14 
    1     77     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     22     18 
    2     51     55      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     38     18 
    3     39     53      -     24      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     30     56 
    0     64     75      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      8 
    1     48     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     72      8 
    2     43     56      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     88      5 
    3     42     53      -     23      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     73     54 
    0     62     75      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0     64      0 
    1     64     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     70      1 
    2     60     56      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     24     20 
    3     45     53      -     25      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     72     55 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     64     76      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0     13 
    1     53     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     38     12 
    2     42     56      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     57      9 
    3     93     53      -     24      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0     43     62 
    0     76     76      -     17      6      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      5 
    1     49     71      -     18      6      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0     30     12 
    2     74     56      -     18      6      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0     23     16 
    3     64     53      -     24      8      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0     71 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     46     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     46     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     46     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     46     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15205      2      0      -      -      0      0      0 
    1     46     71      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
