# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     75     76      -      9      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   5070    571 
    1     55     70      -     82     18      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     83      0 
    2     49     61      -      0      0      0      0      -      -    715   1316      0      0  11577      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  15009      2      0      0      0      0      0      0 
    0     72     76      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0   2146 
    1     54     69      -      2      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     31     25 
    2     54     62      -      2      0      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0    100     11 
    3    106     58      -      2      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      1     23 
    0     58     77      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     31      0 
    1     61     70      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     60      4 
    2     83     62      -     17      6      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     66      5 
    3     99     59      -     22      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     71     54 
    0     82     77      -     15      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     59     70      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     26     12 
    2     99     62      -     21      8      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     39     12 
    3    101     59      -     24      9      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     40     62 
    0    103     77      -     19      7      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      9      0 
    1     60     70      -     21      8      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     52      0 
    2     60     63      -     17      6      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     64      6 
    3    111     59      -     27     10      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     65     56 
    0     87     77      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     59      1 
    1     80     70      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0     16 
    2     78     63      -     17      6      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     30     20 
    3     59     59      -     22      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     12     70 
    0     76     77      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     10     14 
    1    105     70      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      6     16 
    2     98     63      -     19      7      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     17     17 
    3     85     60      -     24      9      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      2 
    0     60     77      -     17      7      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     63      0 
    1     73     70      -     20      8      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0     17 
    2     77     63      -     17      6      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     33     20 
    3     59     60      -     28     10      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     16     70 
    0     85     77      -     18      7      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      3      0 
    1     59     70      -     17      7      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     75      5 
    2     58     63      -     17      6      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     88     13 
    3    104     60      -     22      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     39     63 
    0     73     78      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     21      0 
    1     62     71      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     49      7 
    2     88     63      -     17      6      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     58      8 
    3    113     60      -     22      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     59     58 
    0     92     78      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     50      4 
    1     79     71      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     75     16 
    2     98     63      -     21      8      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     26     16 
    3     87     60      -     22      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      2 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     62     78      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     61      1 
    1     80     71      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0     16 
    2     58     63      -     17      6      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0     47     18 
    3     52     60      -     24      9      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     29     16 
    0     56     78      -     10      4      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     54     63      -      0      0      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     53     63      -      0      0      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     53     62      -      0      0      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     53     62      -      0      0      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
