# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     75      -     82     17      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   2153    580 
    1     63     74      -     97     21      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0     14 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11577      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  15009      2      0      0      0      0      0      0 
    0     76     75      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   4752    535 
    1     54     73      -      0      0      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0      0 
    2     46     53      -      3      1      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     48     49      -      3      1      0      0      -      -    715   1189      0      0  15083      2      0      0      0      0      0      0 
    0    109     76      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0     14 
    1    105     73      -     17      6      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     26     12 
    2     85     53      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     28     15 
    3     81     50      -     22      8      0      0      -      -    715   1328      0      0  15107      2      0      0      0      0      0      1 
    0     71     76      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0     14 
    1    100     74      -     17      6      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     14      0 
    2     49     53      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     82      2 
    3     90     51      -     22      8      0      0      -      -    715   1328      0      0  15107      2      0      0      0      0     72     54 
    0     71     76      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     21      0 
    1     62     74      -     19      7      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     50     17 
