# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -      6      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   2228    577 
    1     57     74      -      3      1      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     90      5 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      2     14 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     60     77      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   3420    535 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0     17 
    2     83     56      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     33     14 
    3     89     53      -     80     17      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     18     66 
    0     68     78      -     58      7      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0     64 
    1    123     75      -     50     11      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0     47 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     40     52      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     58     77      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   3820    575 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     45     56      -      0      0      0      0      -      -    715   1290      0      0  11675      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     58     77      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     59     74      -    100      6      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -     44      3      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     52      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     53     77      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     52      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     39     76      -      0      0      0      0      -      -    715    835      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     52      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     52      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     40     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     46     56      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     34     56      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     34     56      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     34     56      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     34     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     37     75      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     34     55      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     29     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
