# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     53     74      -     23      5      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   1039    579 
    1     67     73      -     72     16      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0      0 
    2     38     52      -      0      0      0      0      -      -    715   1189      0      0  11577      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  15009      2      0      0      0      0      0      0 
    0     58     74      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   3495    523 
    1     55     72      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     44     52      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     36     48      -      6      2      0      0      -      -    715   1189      0      0  15083      2      0      0      0      0      1    246 
    0     64     74      -     19      7      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      9      0 
    1     65     73      -     19      7      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     41      9 
    2     81     52      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     47     10 
    3    108     49      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     22     16 
    0     63     74      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     25      0 
    1     65     73      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     50      6 
    2     68     53      -     20      8      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     74      1 
    3     50     50      -     23      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     72     54 
    0     82     75      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     61     73      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     75      3 
    2     49     53      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     88      5 
    3     46     50      -     25      9      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     73      9 
    0     58     75      -     20      8      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     63      0 
    1     71     73      -     18      7      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      2     10 
    2     46     53      -     17      6      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     58     15 
    3     44     50      -     22      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     62     56 
    0     86     75      -     16      6      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0     11 
    1     59     73      -     17      6      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0     43     15 
    2     46     53      -     21      8      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0     49      0 
    3     59     50      -     26     10      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     40     62 
    0    104     76      -     71     12      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0    885    569 
    1     73     75      -     59     13      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      7 
    2     44     53      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     39     49      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     65     75      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   3669    554 
    1     56     73      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      0 
    2     45     53      -      0      0      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0      0      0 
    3     42     49      -      3      1      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     54     75      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      0 
    1     56     73      -      0      0      0      0      -      -    715   1328      0      0  14333      2      0      -      -      0      0      2 
    2     44     53      -      0      0      0      0      -      -    715   1328      0      0  11675      2      0      0      0      0      0      0 
    3     42     49      -    100      6      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     53     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     55     73      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     44     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     39     49      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     55     73      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     44     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     39     49      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     52     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     55     73      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     44     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     39     49      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     52     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     55     73      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     44     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     39     49      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     52     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     55     73      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     44     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     39     49      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     52     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     55     73      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     45     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     39     50      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     52     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     55     73      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     45     53      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     39     49      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     52     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      1      0 
    1     39     73      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     39     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     38     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     38     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     38     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     38     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     38     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     38     71      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     38     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    0     36     74      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     38     72      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    2     33     52      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
    3     28     49      -      0      0      0      0      -      -    715    405      0      0      0      2      0      0      0      0      0      0 
