# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     75      -      5      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   4733    529 
    1     54     71      -     13      3      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0     85      6 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0     15 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     59     75      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   3461    522 
    1     53     70      -      0      0      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0      0 
    2     45     55      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0     72 
    3     39     51      -     63     14      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0     21 
    0     58     75      -     45      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0     70     28 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0     14 
    2     43     55      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     40     51      -      0      0      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     72     75      -     42      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   4933    420 
    1     53     70      -      0      0      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0      0 
    2     46     55      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3    113     52      -     72     15      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0     16      0 
    0     54     75      -      0      0      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0      0      1 
    1     53     71      -      0      0      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      7      0 
    2     48     55      -     80      5      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     43     51      -    100      6      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     52     75      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     53     70      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
