# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     31      7      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   5026    570 
    1     51     69      -     92     20      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0      4 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  11675      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  15107      2      0      0      0      0      0      0 
    0     58     76      -     43      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   2518    574 
    1     52     68      -      0      0      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0      0 
    2     50     62      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0    576 
    3     42     58      -     54     12      0      0      -      -    715   1328      0      0  15107      2      0      0      0      0      0     28 
    0     56     77      -     46      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0    753     28 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  14333      2      0      -      -      0      0      0 
    2     50     62      -      0      0      0      0      -      -    715   1316      0      0  11675      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  15107      2      0      0      0      0      0      0 
    0     63     77      -     44      3      0      0      -      -    715   1328      0      0  15205      2      0      -      -      0   4107    550 
    1     52     68      -      0      0      0      0      -      -    715   1316      0      0  14333      2      0      -      -      0      0      0 
    2     49     62      -      0      0      0      0      -      -    715   1290      0      0  11675      2      0      0      0      0      0      0 
    3     43     58      -     39      8      0      0      -      -    715   1316      0      0  15107      2      0      0      0      0      0      0 
    0     55     76      -      0      0      0      0      -      -    715   1328      0      0  15202      2      0      -      -      0      0      0 
    1     55     68      -    100      6      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     51     62      -    100      6      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     43     58      -      1      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     53     77      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     43     58      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     42     76      -      0      0      0      0      -      -    715   1101      0      0      0      2      0      -      -      0      0      0 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     43     58      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    3     43     58      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      0      0      0      0      0 
    0     37     76      -      0      0      0      0      -      -    715    405      0      0      0      2      0      -      -      0      0      0 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0      0      2      0      -      -      0      0      0 
