label	mode	prompt	n	eval_mean	eval_std	prompt_mean	prompt_std	predicted_n_mean	draft_n_total	draft_accepted_n_total	accept_rate	timings_keys
OFF_prompt1k	OFF	prompt_1k	5	18.542	0.002	45.438	0.035	256.0				cache_n;predicted_ms;predicted_n;predicted_per_second;predicted_per_token_ms;prompt_ms;prompt_n;prompt_per_second;prompt_per_token_ms
OFF_code	OFF	prompt_code	5	18.940	0.002	41.820	0.037	256.0				cache_n;predicted_ms;predicted_n;predicted_per_second;predicted_per_token_ms;prompt_ms;prompt_n;prompt_per_second;prompt_per_token_ms
OFF_repetitive	OFF	prompt_repetitive	5	18.726	0.007	44.085	0.069	256.0				cache_n;predicted_ms;predicted_n;predicted_per_second;predicted_per_token_ms;prompt_ms;prompt_n;prompt_per_second;prompt_per_token_ms
ON_prompt1k	ON	prompt_1k	0									
ON_prompt1k_retry	ON	prompt_1k	0									
ON_prompt1k_nockpt	ON	prompt_1k	0									
ON_prompt1k_nockptcache	ON	prompt_1k	0									
ON_prompt1k_minimal	ON	prompt_1k	0									
ON_code	ON	prompt_code	0									
ON_code_retry	ON	prompt_code	0									
ON_repetitive	ON	prompt_repetitive	0									
