# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     96     19      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0      0 
    1    123     66      -     70     14      0      0      -      -    715   1316      0      0  14339      2      0      -      -      0     52     28 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     93     76      -     44      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0      0 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     81     62      -     24      5      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     57     77      -     45      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   1624    557 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     44     59      -     92     19      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0    125 
    1    119     67      -     96     20      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     52 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     43     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      2 
    0     91     77      -     45      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4302    556 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0    259    172 
    3     58     58      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     67     78      -     26      5      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5006    515 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     43     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     60     77      -     37      2      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   2724    555 
    1     52     66      -     36      7      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     27     63 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     57     77      -     48      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     31    525 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     62      -      6      1      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0    284     14 
    3     42     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      3 
    0    108     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     67     26 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     53     62      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     45     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     69     77      -      7      1      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4946    564 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     63      -      3      1      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0    111      5 
    3     45     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      1 
    0     74     78      -     82     17      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5005    572 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     62      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     45     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     61     78      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4806    541 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0    301     16 
    2     54     62      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0     28 
    3     45     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     58     78      -     45      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   2651    512 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     54     63      -      6      1      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0     12 
    3     45     58      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     10    184 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0     18 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     64      7 
    2     55     63      -      2      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     88     11 
    3    116     59      -     14      5      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     47     61 
    0     89     78      -     16      6      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      1      0 
    1     57     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     69      0 
    2     79     63      -     18      7      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     82      1 
    3     99     59      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     58     78      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0     14 
    1     98     66      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      4     16 
    2     99     63      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     17     11 
    3     52     59      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0     70     59 
