# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     76      -     94     19      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0    233 
    1     89     64      -     74     16      0      0      -      -    715   1316      0      0  14339      2      0      -      -      0      0     63 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     57     75      -     44      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   3598    576 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     53     64      -      0      0      0      0      -      -    715   1316      0      0  11681      2      0      0      0      0      0      0 
    3     48     60      -     90     20      0      0      -      -    715   1316      0      0  15113      2      0      0      0      0      0    943 
    0     57     76      -     16      6      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     53      3 
    1     61     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     69      0 
    2     80     65      -     17      6      0      0      -      -    715   1316      0      0  11681      2      0      0      0      0     82      2 
    3     96     61      -     25      9      0      0      -      -    715   1316      0      0  15113      2      0      0      0      0     72     54 
    0     57     76      -     16      6      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     57      0 
    1     50     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     27     12 
    2     80     64      -     20      7      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0     25     11 
    3     51     61      -     26      9      0      0      -      -    715   1316      0      0  15113      2      0      0      0      0     72      9 
    0     48     75      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     57      0 
    1     49     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     32     11 
    2     79     64      -     18      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0     27     16 
    3     70     60      -     24      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0     73      5 
    0     48     75      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     63      2 
    1     45     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     75      4 
    2     49     65      -     18      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0     82      1 
    3     80     61      -     24      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0     66     22 
    0     65     76      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      9     14 
    1     63     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     25     18 
    2     51     64      -     18      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0     44     15 
    3     42     61      -     24      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0     54     12 
    0     48     75      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     55      0 
    1     50     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     22     13 
    2     80     64      -     18      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      6     20 
    3     59     61      -     24      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      6     70 
    0     67     75      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      4     14 
    1     71     63      -     19      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     22     18 
    2     56     65      -     19      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0     39      3 
    3     86     61      -     24      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0     61     57 
    0     84     76      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     44     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     74      5 
    2     49     64      -     18      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0     88      3 
    3     46     61      -     24      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      1     71 
    0     63     76      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      8      0 
    1     47     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0     48      7 
    2     75     64      -     18      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      8 
    3     44     61      -     25      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0     73      3 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     76      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0     14 
    1     83     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      6      0 
    2     50     64      -     18      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0     66      6 
    3     92     61      -     24      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0     11 
    0     48     76      -     17      6      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     64      0 
    1     53     63      -     18      6      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      1     17 
    2     73     65      -     18      6      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0     24     20 
    3     48     61      -     24      8      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0     72     55 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     39     60      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     46     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     63      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     63      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     63      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     63      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     63      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     45     63      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
