# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     63     77      -     44      3      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4725    533 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  13553      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     57     78      -     20      1      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4739    536 
    1     54     69      -     16      4      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0     61 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     83     78      -     39      3      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4669    531 
    1     53     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     51     62      -      6      1      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0     41     62 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0    193     11 
    1     53     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     51     61      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     42     57      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     57     78      -     45      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   1044    459 
    1     54     69      -      7      1      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0    301     15 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0     29 
    3     42     57      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     57     78      -     44      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0    972    531 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     53     62      -      4      1      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0    216 
    3     88     57      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0     49 
    0     58     78      -     55     14      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4735    544 
    1     53     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     53     62      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     44     57      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     58     78      -     44      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4695    532 
    1     54     69      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0    302     16 
    2     53     62      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0     29 
    3     43     57      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     73     78      -     48      6      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   3791    178 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     54     62      -      7      1      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0    216 
    3     60     57      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      2    187 
    0     62     78      -     40      5      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4661    537 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      8 
    2     53     62      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     44     57      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     56     78      -     26      2      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0      0      0 
    1     53     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0   1612 
    2     54     62      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
