# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     45      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4764    536 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  13553      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     56     77      -     43      3      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4670    185 
    1     53     68      -      1      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2    110     61      -     31      6      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0     38     10 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     62     77      -     47      5      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4687    377 
    1     49     68      -      0      0      0      0      -      -    715   1189      0      0  13553      2      0      -      -      0      0      0 
    2     51     61      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     38     56      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      2 
    0     57     77      -     46      5      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4669    533 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  13553      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0      0      0 
    3     42     56      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     87     78      -     45      5      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0      0    524 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     50     61      -      6      1      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0     51     55 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     56     77      -     43      3      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0      0      0 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     50     61      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     41     56      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     57     78      -      0      0      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4701    532 
    1     55     70      -     43     10      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0    187 
    2     50     61      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
