# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     45      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4762    537 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  13553      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     58     77      -     40      3      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4744    534 
    1     52     67      -      1      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2    103     61      -      0      0      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0     32     23 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     56     77      -     43      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4726     54 
    1     52     67      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     50     61      -      1      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     36     55      -      7      1      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0    294     16 
    0     97     77      -     42      3      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4642    536 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  13553      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0      0      0 
    3     41     55      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0    111     77      -     42      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4686    536 
    1     51     67      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     50     61      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0    145      6 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0      0   1843 
    1     52     67      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     50     60      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     41     55      -      0      0      0      0      -      -    715   1316      0      0  15153      2      0      0      0      0      0      0 
    0     57     78      -      2      0      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4775    505 
    1     53     68      -     78     18      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0     30 
    2     50     61      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     41     55      -      0      0      0      0      -      -    715   1316      0      0  15153      2      0      0      0      0      0      0 
    0     57     78      -     47      6      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4731    349 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     55     61      -      6      1      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0    214 
    3     62     55      -      0      0      0      0      -      -    715   1316      0      0  15153      2      0      0      0      0      0    184 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0      0      2 
