# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     77      -     46      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4742    539 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  13553      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     57     77      -     43      3      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4684     74 
    1     53     68      -      6      1      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0    266      0 
    2     44     61      -      6      1      0      0      -      -    715   1189      0      0  10849      2      0      0      0      0      0     38 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0      0      0 
    0     69     78      -     45      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4682    534 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     51     62      -      1      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  15153      2      0      0      0      0     84     42 
    0     57     77      -     57      9      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   3442     11 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      0 
    3     42     56      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     57     78      -     44      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4736    530 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0     59 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0      0      2 
    3     42     56      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      0 
    0     83     78      -     38      3      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0   4710    533 
    1     52     68      -      0      0      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0      0 
    2     53     62      -      5      1      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0    275    170 
    3     68     56      -      0      0      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0      0      2 
    0     87     78      -      0      0      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0     52      0 
    1     53     68      -     13      3      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0     72      0 
    2     57     62      -      8      2      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0     39      5 
    3     51     58      -     21      6      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0     59     57 
    0     75     78      -     16      4      0      0      -      -    715   1328      0      0  15331      2      0      -      -      0     11      7 
    1     54     69      -     16      4      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0      0     16 
    2     70     62      -     11      3      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0     37      8 
    3     50     58      -     23      7      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0     70     54 
    0     49     78      -     17      4      0      0      -      -    715   1189      0      0  15331      2      0      -      -      0     57      0 
    1     65     69      -     16      4      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0     50      5 
    2     87     63      -     16      4      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0     85     16 
    3     47     58      -     15      4      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0     60     70 
    0     51     78      -     18      4      0      0      -      -    715   1189      0      0  15331      2      0      -      -      0     32      7 
    1     93     69      -     16      4      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0     66      1 
    2     79     63      -     16      4      0      0      -      -    715   1328      0      0  10849      2      0      0      0      0     62     19 
    3     52     58      -     17      5      0      0      -      -    715   1328      0      0  15153      2      0      0      0      0     29      3 
    0     60     77      -     18      4      0      0      -      -    715   1189      0      0  15331      2      0      -      -      0      0      8 
    1     54     69      -     16      4      0      0      -      -    715   1328      0      0  13553      2      0      -      -      0     69      0 
