# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     76      -     45      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   1451    579 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     40     56      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     56     76      -     48      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     36    503 
    1     70     70      -      6      1      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0    208 
    2     62     56      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0      0 
    0     57     76      -     47      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4035    337 
    1     54     69      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     48     56      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     36     53      -      6      1      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0      0     52 
    0    120     77      -     39      8      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     51    413 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  14339      2      0      -      -      0      0      0 
    2     44     56      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      0 
    3     42     54      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     61     77      -     43      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5104    386 
    1     54     70      -      6      1      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0    285     16 
    2     40     56      -      0      0      0      0      -      -    715   1189      0      0  11681      2      0      0      0      0      0      2 
    3     41     53      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     86     76      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   1951    573 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     47     56      -      1      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     36     53      -      5      1      0      0      -      -    715   1189      0      0  15113      2      0      0      0      0    146     28 
    0     58     77      -     46      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   1813    554 
    1     54     69      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     47     56      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     41     54      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     59     77      -     44      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   2491    544 
    1     54     70      -      6      1      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0    172 
    2     66     56      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0     23 
    3     40     53      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     70     77      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4832    542 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     49     56      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     41     54      -      6      1      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      2     46 
    0     56     77      -     26      6      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0    848    573 
    1     68     71      -     46     10      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     49     56      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     42     54      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     55     77      -      6      1      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0     39 
    1     54     70      -      2      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     49     56      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     43     54      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     64     77      -     43      2      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5196    570 
    1     55     71      -     34      7      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0    309     16 
    2     49     57      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     43     54      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     98     77      -     46      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5143    568 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     94     57      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     43     54      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0     27 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0   1440 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     50     26 
    2     76     57      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0    131      6 
    3    106     55      -     14      5      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0     14 
    0     60     78      -     16      6      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0     33      8 
    1     93     71      -     20      7      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     44     17 
    2     84     57      -     18      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     22     20 
    3     64     55      -     23      8      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      6     71 
    0     50     77      -     20      7      0      0      -      -    715   1189      0      0  15211      2      0      -      -      0     59      2 
    1     81     71      -     17      6      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0     62      0 
    2     56     58      -     17      6      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0     66      4 
