# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     70      -     43      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5048    177 
    1     53     68      -      0      0      0      0      -      -    715   1328      0      0  14235      2      0      -      -      0      0      0 
    2     44     49      -      0      0      0      0      -      -    715   1328      0      0  11577      2      0      0      0      0      0      0 
    3     38     46      -      0      0      0      0      -      -    715   1328      0      0  15009      2      0      0      0      0      0      0 
    0     53     70      -     41      3      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4967    561 
    1     54     69      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0    313     15 
    2     44     49      -      0      0      0      0      -      -    715   1328      0      0  11577      2      0      0      0      0      0      0 
    3     38     46      -      0      0      0      0      -      -    715   1328      0      0  15009      2      0      0      0      0      0      0 
    0     70     70      -     49      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5019    572 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     46     50      -      6      1      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0     51 
    3     33     46      -      0      0      0      0      -      -    715   1189      0      0  15009      2      0      0      0      0      0      0 
    0     50     70      -     41      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0      0     40 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     45     50      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     39     46      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     50     70      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5085    432 
    1     55     71      -     90     19      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0     20 
    2     45     49      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     39     46      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     97     70      -     47      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   3193    573 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     50     50      -      3      1      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0    218 
    3     99     46      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0     48 
    0     52     71      -     74     13      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   5103     58 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     44     50      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     40     47      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     93     71      -     37      2      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   2652    577 
    1     56     70      -      2      1      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2     44     50      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0      0 
    3     40     46      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0      0 
    0     56     71      -     49      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   1697    564 
    1     53     70      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
    2    109     50      -      0      0      0      0      -      -    715   1328      0      0  11681      2      0      0      0      0      0     19 
    3     40     46      -      0      0      0      0      -      -    715   1328      0      0  15113      2      0      0      0      0      0     26 
    0    111     71      -     20      4      0      0      -      -    715   1328      0      0  15211      2      0      -      -      0   4961    566 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  14339      2      0      -      -      0      0      0 
