sending incremental file list
Qwen3.5-122B-A10B-Q4_K_M-fused.gguf

         32,768   0%    0.00kB/s    0:00:00  
      3,604,480   0%    3.31MB/s    6:04:52  
      7,012,352   0%    3.28MB/s    6:08:09  
     11,730,944   0%    3.68MB/s    5:27:53  
     16,711,680   0%    3.91MB/s    5:08:59  
     20,938,752   0%    4.07MB/s    4:56:29  
     25,788,416   0%    4.41MB/s    4:33:42  
     30,703,616   0%    4.46MB/s    4:30:51  
     35,618,816   0%    4.47MB/s    4:29:50  
     40,730,624   0%    4.68MB/s    4:17:45  
     45,187,072   0%    4.58MB/s    4:23:36  
     50,429,952   0%    4.65MB/s    4:19:47  
     55,279,616   0%    4.63MB/s    4:20:34  
     59,080,704   0%    4.33MB/s    4:38:45  
     63,799,296   0%    4.37MB/s    4:35:58  
     68,124,672   0%    4.15MB/s    4:50:42  
     73,990,144   0%    4.38MB/s    4:35:38  
     78,446,592   0%    4.52MB/s    4:26:56  
     83,034,112   0%    4.47MB/s    4:30:00  
     87,982,080   0%    4.61MB/s    4:21:27  
     92,307,456   0%    4.28MB/s    4:41:58  
     97,157,120   0%    4.39MB/s    4:35:04  
    102,793,216   0%    4.68MB/s    4:17:31  
    104,890,368   0%    4.02MB/s    5:00:06  
    109,740,032   0%    4.07MB/s    4:56:03  
    114,196,480   0%    3.98MB/s    5:03:15  
    117,997,568   0%    3.53MB/s    5:41:49  
    121,143,296   0%    3.75MB/s    5:21:42  
    125,992,960   0%    3.71MB/s    5:25:01  
    130,744,320   0%    3.79MB/s    5:18:13  
    135,823,360   0%    4.09MB/s    4:55:02  
    141,328,384   0%    4.65MB/s    4:19:31  
    144,474,112   0%    4.36MB/s    4:36:15  
    149,520,384   0%    4.43MB/s    4:31:58  
    154,107,904   0%    4.33MB/s    4:38:26  
    160,137,216   0%    4.45MB/s    4:30:47  
    165,838,848   0%    5.05MB/s    3:58:50  
    170,688,512   0%    4.99MB/s    4:01:35  
    175,538,176   0%    5.06MB/s    3:58:19  
    180,125,696   0%    4.68MB/s    4:17:42  
    184,320,000   0%    4.34MB/s    4:37:45  
    188,907,520   0%    4.28MB/s    4:41:44  
    192,905,216   0%    4.07MB/s    4:56:16  
    197,230,592   0%    4.04MB/s    4:58:25  
    201,949,184   0%    3.99MB/s    5:01:38  
    207,192,064   0%    4.14MB/s    4:51:09  
    211,648,512   0%    4.25MB/s    4:43:16  
    216,891,392   0%    4.47MB/s    4:29:42  
    220,692,480   0%    4.35MB/s    4:36:50  
    225,280,000   0%    4.17MB/s    4:48:27  
    230,522,880   0%    4.30MB/s    4:40:17  
    235,962,368   0%    4.35MB/s    4:36:35  
    241,532,928   0%    4.83MB/s    4:09:27  
    246,775,808   0%    4.95MB/s    4:03:03  
    250,576,896   0%    4.69MB/s    4:16:48  
    255,295,488   0%    4.48MB/s    4:28:43  
    260,538,368   0%    4.43MB/s    4:32:00  
    266,436,608   0%    4.62MB/s    4:20:25  
    271,286,272   0%    4.87MB/s    4:07:09  
    275,349,504   0%    4.75MB/s    4:13:12  
    281,116,672   0%    4.86MB/s    4:07:20  
    285,573,120   0%    4.54MB/s    4:25:10  
    290,029,568   0%    4.42MB/s    4:32:28  
    295,927,808   0%    4.81MB/s    4:10:03  
    300,384,256   0%    4.47MB/s    4:29:04  
    303,398,912   0%    4.14MB/s    4:50:54  
    307,724,288   0%    4.12MB/s    4:51:41  
    312,573,952   0%    3.82MB/s    5:15:11  
    317,390,848   0%    3.94MB/s    5:05:31  
    321,847,296   0%    4.28MB/s    4:41:04  
    325,255,168   0%    4.04MB/s    4:57:56  
    329,318,400   0%    3.94MB/s    5:05:03  
    334,036,992   0%    3.91MB/s    5:07:36  
    338,755,584   0%    3.94MB/s    5:05:02  
    344,391,680   0%    4.49MB/s    4:27:55  
    349,503,488   0%    4.69MB/s    4:16:10  
    354,484,224   0%    4.76MB/s    4:12:23  
    359,727,104   0%    4.91MB/s    4:04:58  
    363,823,104   0%    4.54MB/s    4:24:45  
    368,279,552   0%    4.40MB/s    4:32:50  
    372,998,144   0%    4.32MB/s    4:37:55  
    377,716,736   0%    4.20MB/s    4:46:25  
    382,173,184   0%    4.30MB/s    4:39:24  
    386,498,560   0%    4.28MB/s    4:40:42  
    390,561,792   0%    4.14MB/s    4:50:13  
    395,280,384   0%    4.13MB/s    4:51:13  
    399,605,760   0%    4.08MB/s    4:54:28  
    403,898,368   0%    4.07MB/s    4:54:56  
    408,485,888   0%    4.19MB/s    4:46:21  
    412,680,192   0%    4.09MB/s    4:53:40  
    417,529,856   0%    4.21MB/s    4:45:37  
    423,428,096   0%    4.57MB/s    4:22:42  
    428,113,920   0%    4.59MB/s    4:21:26  
