model,prompt,round,phase,run,eval_tps,prompt_tps,prompt_ms,prompt_n,predicted_n,cache_n
fused,1k,1,eval,1,15.636607203174133,45.43096088681913,23640.266,1074,256,0
fused,1k,1,eval,2,15.654393072148347,45.46202625520908,23624.112,1074,256,0
fused,1k,1,eval,3,15.653382264827957,45.474411159301944,23617.678,1074,256,0
fused,1k,1,eval,4,15.656058891733277,45.40741229921912,23652.526,1074,256,0
fused,1k,1,eval,5,15.651418455651308,45.39740482396036,23657.74,1074,256,0
fused,1k,1,warmup,1,15.644906577601517,45.393379150159234,23725.927,1077,256,0
fused,1k,1,warmup,2,15.64982059253522,45.40985429255305,23717.319,1077,256,0
fused,code,1,eval,1,15.709309054268912,41.28398004177182,15332.824,633,256,0
fused,code,1,eval,2,15.706958225442586,41.15358237383615,15381.407,633,256,0
fused,code,1,eval,3,15.706596844299279,41.1855638677812,15369.463,633,256,0
fused,code,1,eval,4,15.70219703791547,41.09872140124695,15401.939,633,256,0
fused,code,1,eval,5,15.708946600995088,41.14557336356482,15384.401,633,256,0
fused,code,1,warmup,1,15.704729491555701,41.3737355233397,15372.071,636,256,0
fused,code,1,warmup,2,15.705319133925268,41.26027833431218,15414.341,636,256,0
fused,repetitive,1,eval,1,15.722720005994287,42.522268938764405,11311.72,481,256,0
fused,repetitive,1,eval,2,15.72403242074366,42.36607388220505,11353.424,481,256,0
fused,repetitive,1,eval,3,15.722782772866285,42.367656126134065,11353.0,481,256,0
fused,repetitive,1,eval,4,15.722447700137547,42.34785301227498,11358.309,481,256,0
fused,repetitive,1,eval,5,15.724131898932159,42.314004219964204,11367.395,481,256,0
fused,repetitive,1,warmup,1,15.722756700412452,42.659750851189834,11345.589,484,256,0
fused,repetitive,1,warmup,2,15.72384409169802,42.59231245720419,11363.553,484,256,0
unsloth,1k,1,eval,1,18.77085507990665,45.611946205737375,23568.387,1075,256,0
unsloth,1k,1,eval,2,18.789379714134267,45.54711105055111,23601.936,1075,256,0
unsloth,1k,1,eval,3,18.791536820328098,45.582218067196926,23583.758,1075,256,0
unsloth,1k,1,eval,4,18.790489927526693,45.60619134380912,23571.361,1075,256,0
unsloth,1k,1,eval,5,18.79184994531645,45.57382168460092,23588.103,1075,256,0
unsloth,1k,1,warmup,1,18.566329772393477,45.53495162354912,23674.122,1078,256,0
unsloth,1k,1,warmup,2,18.790124439067075,45.60534538645664,23637.58,1078,256,0
unsloth,code,1,eval,1,18.864718304804622,41.50759241953518,15274.314,634,256,0
unsloth,code,1,eval,2,18.87029165952274,41.442822044391406,15298.186,634,256,0
unsloth,code,1,eval,3,18.86833059791676,41.341566434560505,15335.655,634,256,0
unsloth,code,1,eval,4,18.871937318629442,41.35818990989329,15329.491,634,256,0
unsloth,code,1,eval,5,18.86825828287057,41.44466153864156,15297.507,634,256,0
unsloth,code,1,warmup,1,18.86727791242414,41.659747900319275,15290.539,637,256,0
unsloth,code,1,warmup,2,18.871358592597666,41.55396702415472,15329.463,637,256,0
unsloth,repetitive,1,eval,1,18.8884278276124,43.10084659183632,11183.075,482,256,0
unsloth,repetitive,1,eval,2,18.886426767732658,42.840788697142294,11250.96,482,256,0
unsloth,repetitive,1,eval,3,18.890177012027067,42.907673191659676,11233.422,482,256,0
unsloth,repetitive,1,eval,4,18.89300147874637,42.838336649601246,11251.604,482,256,0
unsloth,repetitive,1,eval,5,18.886231701012065,42.85739309147715,11246.601,482,256,0
unsloth,repetitive,1,warmup,1,18.886776504584432,43.16316396849427,11236.433,485,256,0
unsloth,repetitive,1,warmup,2,18.887650206620563,43.064108072620115,11262.279,485,256,0
