cond,ub,prompt_tag,role,n,eval_median,eval_stdev,eval_min,eval_max,prompt_tps_median,prompt_ms_median,min_gpu_free_MiB,baseline_ratio
B14b,1024,1k,eval,5,17.958,0.2509,17.942,18.496,91.66,11751,62,0.9621
B14b,1024,1k,warmup,2,18.396,0.1867,18.264,18.528,90.90,11870,62,0.9856
B14b,1024,32k,eval,2,14.689,0.4658,14.360,15.019,91.27,351821,62,0.7870
B14b,1024,32k,warmup,1,14.912,-,14.912,14.912,90.41,355190,62,0.7990
B14b,1024,96k,eval,1,-,-,-,-,-,-,16270,-
B14b,1024,96k,warmup,1,-,-,-,-,-,-,62,-
B14b,256,1k,eval,5,17.707,0.0078,17.697,17.715,45.66,23567,852,0.9487
B14b,256,1k,warmup,2,17.632,0.0988,17.562,17.701,45.68,23598,852,0.9447
B14b,256,32k,eval,2,14.306,0.0280,14.286,14.326,40.65,789776,848,0.7665
B14b,256,32k,warmup,1,14.170,-,14.170,14.170,40.42,794419,852,0.7592
B14b,512,1k,eval,5,17.692,0.0074,17.677,17.697,64.19,16763,590,0.9479
B14b,512,1k,warmup,2,17.690,0.0263,17.671,17.709,63.91,16868,590,0.9478
B14b,512,32k,eval,2,14.360,0.0722,14.309,14.411,60.98,526493,590,0.7694
B14b,512,32k,warmup,1,14.330,-,14.330,14.330,60.86,527581,590,0.7678
B14b,512,96k,eval,1,10.029,-,10.029,10.029,52.90,1818834,468,0.5373
B14b,512,96k,warmup,1,9.990,-,9.990,9.990,52.92,1817987,468,0.5353
B18,512,1k,eval,5,17.901,0.0029,17.898,17.906,55.47,19380,1446,0.9591
B18,512,1k,warmup,2,17.796,0.1668,17.678,17.914,55.45,19424,1446,0.9535
