cell,cond,ub,prompt,role,idx,eval_tps,prompt_tps,prompt_n,predicted_n,prompt_ms,predicted_ms,wall,min_gpu_free,err
BL_ctx128k_1k,BL,512,1k,warmup,1,18.486737084044353,63.1934913053156,1076,1024,17027.07,55391.062,74,590,
BL_ctx128k_1k,BL,512,1k,warmup,2,18.477359811919243,63.51137511748276,1076,1024,16941.847,55419.173,73,590,
BL_ctx128k_1k,BL,512,1k,eval,1,18.525892222980605,64.31978118338576,1074,1024,16697.818,55273.991,73,590,
BL_ctx128k_1k,BL,512,1k,eval,2,18.2868069224279,64.33602140891934,1074,1024,16693.603,55996.654,74,590,
BL_ctx128k_1k,BL,512,1k,eval,3,18.515888603351225,64.37356519324926,1074,1024,16683.867,55303.854,73,590,
BL_ctx128k_1k,BL,512,1k,eval,4,18.525684758336602,64.4502772412089,1074,1024,16664.009,55274.61,73,590,
BL_ctx128k_1k,BL,512,1k,eval,5,18.55363675197136,64.35276339394318,1074,1024,16689.26,55191.336,73,590,
BL_32k,BL,512,32k,warmup,1,14.59889521149679,60.97263668555976,32103,512,526514.872,35071.147,563,590,
BL_32k,BL,512,32k,eval,1,14.562519998577878,61.03079288587768,32101,512,525980.386,35158.75,563,590,
BL_32k,BL,512,32k,eval,2,14.531568640829462,61.03303761618344,32101,512,525961.041,35233.636,563,590,
BL_32k,BL,512,32k,eval,3,14.572572363850831,61.00787058545477,32101,512,526178.011,35134.497,564,590,
BL_32k,BL,512,32k,eval,4,14.552091456711533,60.98049207444517,32101,512,526414.25,35183.946,564,590,
BL_32k,BL,512,32k,eval,5,14.51580560013543,60.99675693386729,32101,512,526273.881,35271.897,563,590,
BL_96k,BL,512,96k,warmup,1,9.994538921467441,52.953452197683525,96207,256,1816822.058,25613.988,1845,460,
BL_96k,BL,512,96k,eval,1,10.341312180825598,53.172981036418555,96205,256,1809283.552,24755.079,1838,460,
BL_96k,BL,512,96k,eval,2,10.325785802383336,53.184670306036814,96205,256,1808885.896,24792.302,1838,460,
BL_96k,BL,512,96k,eval,3,10.036307518578244,53.31902474356675,96205,256,1804327.826,25507.389,1834,460,
BL_96k,BL,512,96k,eval,4,10.32135623265982,53.29602202951142,96205,256,1805106.579,24802.942,1834,460,
BL_96k,BL,512,96k,eval,5,10.099514540795786,53.337723077008505,96205,256,1803695.292,25347.753,1833,460,
F1_1k,F1,512,1k,warmup,1,18.4664816856594,64.50098201541743,1072,1024,16619.902,55451.819,72,590,
F1_1k,F1,512,1k,warmup,2,18.60047315316874,64.67647343806016,1072,1024,16574.806,55052.363,72,590,
F1_1k,F1,512,1k,eval,1,18.64211897684332,64.74930069242417,1070,1024,16525.275,54929.378,72,590,
F1_1k,F1,512,1k,eval,2,18.3686088654261,64.7267906364168,1070,1024,16531.022,55747.281,73,590,
F1_1k,F1,512,1k,eval,3,18.606104764725444,64.72363883314287,1070,1024,16531.827,55035.7,72,590,
F1_1k,F1,512,1k,eval,4,18.63559457892738,64.83747033761477,1070,1024,16502.803,54948.609,72,590,
F1_1k,F1,512,1k,eval,5,18.663066833244258,64.79362232136656,1070,1024,16513.971,54867.724,73,590,
F1_32k,F1,512,32k,warmup,1,14.93474304862093,61.47599062405355,32104,512,522220.133,34282.478,558,590,
F1_32k,F1,512,32k,eval,1,14.865583190184347,60.89779743582067,32102,512,527145.502,34441.972,563,590,
F1_32k,F1,512,32k,eval,2,14.704576020977916,61.054712106615554,32102,512,525790.703,34819.093,563,590,
F1_32k,F1,512,32k,eval,3,14.68793039114389,61.0172316847685,32102,512,526113.675,34858.553,563,590,
F1_32k,F1,512,32k,eval,4,14.84248514106347,60.992084725700465,32102,512,526330.591,34495.571,563,590,
F1_32k,F1,512,32k,eval,5,14.729964931751066,61.075479646943634,32102,512,525611.918,34759.078,563,590,
M1_1k,M1,512,1k,warmup,1,18.45851432681744,64.6182597940968,1072,1024,16589.738,55475.754,72,590,
M1_1k,M1,512,1k,warmup,2,18.727458582003287,64.64141261747311,1072,1024,16583.796,54679.069,72,590,
M1_1k,M1,512,1k,eval,1,18.77265000887301,64.52091801326948,1070,1024,16583.769,54547.44,71,590,
M1_1k,M1,512,1k,eval,2,18.60079413402159,64.77564953782574,1070,1024,16518.553,55051.413,73,590,
M1_1k,M1,512,1k,eval,3,18.494628953854566,64.73501809343756,1070,1024,16528.921,55367.426,73,590,
M1_1k,M1,512,1k,eval,4,18.771431099077187,64.77915936993004,1070,1024,16517.658,54550.982,71,590,
M1_1k,M1,512,1k,eval,5,18.604235068797788,64.75187896941878,1070,1024,16524.617,55041.231,72,590,
M1_32k,M1,512,32k,warmup,1,15.013928791223021,61.33692255972604,32104,512,523404.153,34101.667,559,590,
M1_32k,M1,512,32k,eval,1,14.804886202328952,61.48473079706808,32102,512,522113.37,34583.177,560,590,
M1_32k,M1,512,32k,eval,2,14.556906116115378,61.02146317721373,32102,512,526077.192,35172.309,564,590,
M1_32k,M1,512,32k,eval,3,14.623378040313112,60.96227563914233,32102,512,526587.954,35012.43,564,590,
M1_32k,M1,512,32k,eval,4,14.877499626972847,61.014394084710936,32102,512,526138.143,34414.385,563,590,
M1_32k,M1,512,32k,eval,5,14.897567873115554,61.2884663474266,32102,512,523785.337,34368.026,560,590,
K1_1k,K1,512,1k,warmup,1,18.087326034013923,63.73469624115117,1072,1024,16819.724,56614.228,74,782,
K1_1k,K1,512,1k,warmup,2,18.346028821109627,64.1108869555815,1072,1024,16721.029,55815.894,74,782,
K1_1k,K1,512,1k,eval,1,18.363080238142608,64.12805089202118,1070,1024,16685.366,55764.065,73,782,
K1_1k,K1,512,1k,eval,2,18.344738153137396,64.19724465425944,1070,1024,16667.382,55819.821,74,782,
K1_1k,K1,512,1k,eval,3,18.36191821364931,64.20481407695948,1070,1024,16665.417,55767.594,73,782,
K1_1k,K1,512,1k,eval,4,18.349104543987302,64.23738101676128,1070,1024,16656.968,55806.538,73,782,
K1_1k,K1,512,1k,eval,5,18.348349653748365,64.15098095243464,1070,1024,16679.402,55808.834,73,782,
K1_32k,K1,512,32k,warmup,1,14.572549966555714,61.034945293285745,32104,512,525993.754,35134.551,563,782,
K1_32k,K1,512,32k,eval,1,14.505962474718332,60.89254213876494,32102,512,527190.997,35295.831,565,782,
K1_32k,K1,512,32k,eval,2,14.466148407481905,61.18326894548061,32102,512,524685.924,35392.973,562,782,
K1_32k,K1,512,32k,eval,3,14.387317085425174,60.874175767604356,32102,512,527350.056,35586.899,565,782,
K1_32k,K1,512,32k,eval,4,14.598406948841708,61.02762095828649,32102,512,526024.11,35072.32,563,782,
K1_32k,K1,512,32k,eval,5,14.533813456346923,60.993312401162676,32102,512,526319.997,35228.194,564,782,
S1_1k,S1,512,1k,warmup,1,18.26709228991702,63.78594958565612,1072,1024,16806.209,56057.088,74,590,
S1_1k,S1,512,1k,warmup,2,18.515689062995836,64.09871584919676,1072,1024,16724.204,55304.45,73,590,
S1_1k,S1,512,1k,eval,1,,,,,,,27,590,curl_failed
S1_1k,S1,512,1k,eval,2,,,,,,,0,16270,curl_failed
S1_1k,S1,512,1k,eval,3,,,,,,,0,16270,curl_failed
S1_1k,S1,512,1k,eval,4,,,,,,,0,16270,curl_failed
S1_1k,S1,512,1k,eval,5,,,,,,,0,16270,curl_failed
S1_32k,S1,512,32k,warmup,1,,,,,,,0,16270,curl_failed
S1_32k,S1,512,32k,eval,1,,,,,,,0,16270,curl_failed
S1_32k,S1,512,32k,eval,2,,,,,,,0,16270,curl_failed
S1_32k,S1,512,32k,eval,3,,,,,,,1,16270,curl_failed
S1_32k,S1,512,32k,eval,4,,,,,,,0,16270,curl_failed
S1_32k,S1,512,32k,eval,5,,,,,,,0,16270,curl_failed
S2_1k,S2,512,1k,warmup,1,,,,,,,27,704,curl_failed
S2_1k,S2,512,1k,warmup,2,,,,,,,0,16270,curl_failed
S2_1k,S2,512,1k,eval,1,,,,,,,0,16270,curl_failed
S2_1k,S2,512,1k,eval,2,,,,,,,0,16270,curl_failed
S2_1k,S2,512,1k,eval,3,,,,,,,0,16270,curl_failed
S2_1k,S2,512,1k,eval,4,,,,,,,0,16270,curl_failed
S2_1k,S2,512,1k,eval,5,,,,,,,0,16270,curl_failed
S2_32k,S2,512,32k,warmup,1,,,,,,,0,16270,curl_failed
S2_32k,S2,512,32k,eval,1,,,,,,,0,16270,curl_failed
S2_32k,S2,512,32k,eval,2,,,,,,,0,16270,curl_failed
S2_32k,S2,512,32k,eval,3,,,,,,,0,16270,curl_failed
S2_32k,S2,512,32k,eval,4,,,,,,,0,16270,curl_failed
S2_32k,S2,512,32k,eval,5,,,,,,,0,16270,curl_failed
S3_1k,S3,512,1k,warmup,1,,,,,,,21,704,curl_failed
S3_1k,S3,512,1k,warmup,2,,,,,,,0,16270,curl_failed
S3_1k,S3,512,1k,eval,1,,,,,,,0,16270,curl_failed
S3_1k,S3,512,1k,eval,2,,,,,,,0,16270,curl_failed
S3_1k,S3,512,1k,eval,3,,,,,,,0,16270,curl_failed
S3_1k,S3,512,1k,eval,4,,,,,,,0,16270,curl_failed
S3_1k,S3,512,1k,eval,5,,,,,,,1,16270,curl_failed
S3_32k,S3,512,32k,warmup,1,,,,,,,0,16270,curl_failed
S3_32k,S3,512,32k,eval,1,,,,,,,0,16270,curl_failed
S3_32k,S3,512,32k,eval,2,,,,,,,0,16270,curl_failed
S3_32k,S3,512,32k,eval,3,,,,,,,0,16270,curl_failed
S3_32k,S3,512,32k,eval,4,,,,,,,1,16270,curl_failed
S3_32k,S3,512,32k,eval,5,,,,,,,0,16270,curl_failed
S1_ctx96k_1k,S1,512,1k,warmup,1,18.1338028854918,63.568573091718406,1076,1024,16926.603,56469.126,73,590,
S1_ctx96k_1k,S1,512,1k,warmup,2,18.386552377245657,60.020306498492296,1076,1024,17927.266,55692.877,74,590,
S1_ctx96k_1k,S1,512,1k,eval,1,18.411848930995287,63.89470343249606,1074,1024,16808.905,55616.359,73,590,
S1_ctx96k_1k,S1,512,1k,eval,2,18.39419569717729,64.12834266747036,1074,1024,16747.665,55669.735,73,590,
S1_ctx96k_1k,S1,512,1k,eval,3,,,,,,,65,590,curl_failed
S1_ctx96k_1k,S1,512,1k,eval,4,,,,,,,0,16270,curl_failed
S1_ctx96k_1k,S1,512,1k,eval,5,,,,,,,0,16270,curl_failed
S1_ctx96k_32k,S1,512,32k,warmup,1,,,,,,,0,16270,curl_failed
S1_ctx96k_32k,S1,512,32k,eval,1,,,,,,,0,16270,curl_failed
S1_ctx96k_32k,S1,512,32k,eval,2,,,,,,,0,16270,curl_failed
S1_ctx96k_32k,S1,512,32k,eval,3,,,,,,,0,16270,curl_failed
S1_ctx96k_32k,S1,512,32k,eval,4,,,,,,,0,16270,curl_failed
S1_ctx96k_32k,S1,512,32k,eval,5,,,,,,,1,16270,curl_failed
S2_ctx96k_1k,S2,512,1k,warmup,1,18.330624971559782,63.71457009511651,1076,1024,16887.817,55862.798,73,692,
S2_ctx96k_1k,S2,512,1k,warmup,2,,,,,,,22,692,curl_failed
S2_ctx96k_1k,S2,512,1k,eval,1,,,,,,,0,16270,curl_failed
S2_ctx96k_1k,S2,512,1k,eval,2,,,,,,,0,16270,curl_failed
S2_ctx96k_1k,S2,512,1k,eval,3,,,,,,,1,16270,curl_failed
S2_ctx96k_1k,S2,512,1k,eval,4,,,,,,,0,16270,curl_failed
S2_ctx96k_1k,S2,512,1k,eval,5,,,,,,,0,16270,curl_failed
S2_ctx96k_32k,S2,512,32k,warmup,1,,,,,,,0,16270,curl_failed
S2_ctx96k_32k,S2,512,32k,eval,1,,,,,,,0,16270,curl_failed
S2_ctx96k_32k,S2,512,32k,eval,2,,,,,,,0,16270,curl_failed
S2_ctx96k_32k,S2,512,32k,eval,3,,,,,,,0,16270,curl_failed
S2_ctx96k_32k,S2,512,32k,eval,4,,,,,,,0,16270,curl_failed
S2_ctx96k_32k,S2,512,32k,eval,5,,,,,,,0,16270,curl_failed
