[2026-06-24T05:50:50+09:00] ===== キャンペーン開始 backend=hip MAX=24 MIN=4 HANG_SAFETY=3 CAP=18000s TRIAL=720s =====
[2026-06-24T05:50:55+09:00] boot_seq=0 (phase-start-hip) gpu_count=3
telemetry started. pids: 3651408 3651409 3651410 
logs: /tmp/claude-1000/-home-ubuntu-projects-llm-server-ops/9f591f12-9f54-4500-82e9-bbcf7fe050f2/scratchpad/mi25-hang/telemetry_rocmsmi.log / /tmp/claude-1000/-home-ubuntu-projects-llm-server-ops/9f591f12-9f54-4500-82e9-bbcf7fe050f2/scratchpad/mi25-hang/telemetry_gpucount.log / /tmp/claude-1000/-home-ubuntu-projects-llm-server-ops/9f591f12-9f54-4500-82e9-bbcf7fe050f2/scratchpad/mi25-hang/kern_dmesg.log / /tmp/claude-1000/-home-ubuntu-projects-llm-server-ops/9f591f12-9f54-4500-82e9-bbcf7fe050f2/scratchpad/mi25-hang/llama_server.log
[2026-06-24T05:50:55+09:00] --- trial 1 開始 (elapsed=0s hangs=0) ---
[2026-06-24T06:03:27+09:00] --- trial 2 開始 (elapsed=752s hangs=0) ---
[2026-06-24T06:15:38+09:00] --- trial 3 開始 (elapsed=1483s hangs=0) ---
[2026-06-24T06:27:40+09:00] --- trial 4 開始 (elapsed=2205s hangs=0) ---
[2026-06-24T06:40:27+09:00] --- trial 5 開始 (elapsed=2972s hangs=0) ---
[2026-06-24T06:53:31+09:00] --- trial 6 開始 (elapsed=3756s hangs=0) ---
[2026-06-24T07:05:48+09:00] --- trial 7 開始 (elapsed=4493s hangs=0) ---
[2026-06-24T07:17:56+09:00] --- trial 8 開始 (elapsed=5221s hangs=0) ---
[2026-06-24T07:30:30+09:00] --- trial 9 開始 (elapsed=5975s hangs=0) ---
[2026-06-24T07:43:06+09:00] --- trial 10 開始 (elapsed=6731s hangs=0) ---
[2026-06-24T07:55:54+09:00] --- trial 11 開始 (elapsed=7499s hangs=0) ---
[2026-06-24T08:09:15+09:00] --- trial 12 開始 (elapsed=8300s hangs=0) ---
[2026-06-24T08:22:11+09:00] --- trial 13 開始 (elapsed=9076s hangs=0) ---
[2026-06-24T08:34:23+09:00] --- trial 14 開始 (elapsed=9808s hangs=0) ---
[2026-06-24T08:46:38+09:00] --- trial 15 開始 (elapsed=10543s hangs=0) ---
[2026-06-24T08:59:35+09:00] --- trial 16 開始 (elapsed=11320s hangs=0) ---
[2026-06-24T09:11:47+09:00] --- trial 17 開始 (elapsed=12052s hangs=0) ---
[2026-06-24T09:24:44+09:00] --- trial 18 開始 (elapsed=12829s hangs=0) ---
[2026-06-24T09:37:19+09:00] --- trial 19 開始 (elapsed=13584s hangs=0) ---
[2026-06-24T09:49:43+09:00] --- trial 20 開始 (elapsed=14328s hangs=0) ---
[2026-06-24T10:01:53+09:00] --- trial 21 開始 (elapsed=15058s hangs=0) ---
[2026-06-24T10:14:59+09:00] --- trial 22 開始 (elapsed=15844s hangs=0) ---
[2026-06-24T10:27:22+09:00] --- trial 23 開始 (elapsed=16587s hangs=0) ---
[2026-06-24T10:39:58+09:00] --- trial 24 開始 (elapsed=17343s hangs=0) ---
[2026-06-24T10:53:13+09:00] MAX_TRIALS 到達で終了
[2026-06-24T10:53:13+09:00] ===== キャンペーン完了 backend=hip trials=24 hangs=0 =====
