[2026-06-24T11:12:27+09:00] ===== キャンペーン開始 backend=vulkan MAX=24 MIN=4 HANG_SAFETY=3 CAP=18000s TRIAL=720s =====
[2026-06-24T11:12:31+09:00] boot_seq=0 (phase-start-vulkan) gpu_count=3
telemetry started. pids: 3687067 3687068 3687069 
logs: /tmp/claude-1000/-home-ubuntu-projects-llm-server-ops/9f591f12-9f54-4500-82e9-bbcf7fe050f2/scratchpad/mi25-hang/telemetry_rocmsmi.log / /tmp/claude-1000/-home-ubuntu-projects-llm-server-ops/9f591f12-9f54-4500-82e9-bbcf7fe050f2/scratchpad/mi25-hang/telemetry_gpucount.log / /tmp/claude-1000/-home-ubuntu-projects-llm-server-ops/9f591f12-9f54-4500-82e9-bbcf7fe050f2/scratchpad/mi25-hang/kern_dmesg.log / /tmp/claude-1000/-home-ubuntu-projects-llm-server-ops/9f591f12-9f54-4500-82e9-bbcf7fe050f2/scratchpad/mi25-hang/llama_server.log
[2026-06-24T11:12:31+09:00] --- trial 1 開始 (elapsed=0s hangs=0) ---
[2026-06-24T11:26:15+09:00] --- trial 2 開始 (elapsed=824s hangs=0) ---
[2026-06-24T11:39:03+09:00] --- trial 3 開始 (elapsed=1592s hangs=0) ---
[2026-06-24T11:51:53+09:00] --- trial 4 開始 (elapsed=2362s hangs=0) ---
[2026-06-24T12:04:40+09:00] --- trial 5 開始 (elapsed=3129s hangs=0) ---
[2026-06-24T12:17:29+09:00] --- trial 6 開始 (elapsed=3898s hangs=0) ---
[2026-06-24T12:31:18+09:00] --- trial 7 開始 (elapsed=4727s hangs=0) ---
[2026-06-24T12:45:13+09:00] --- trial 8 開始 (elapsed=5562s hangs=0) ---
[2026-06-24T12:58:38+09:00] --- trial 9 開始 (elapsed=6367s hangs=0) ---
[2026-06-24T13:11:54+09:00] --- trial 10 開始 (elapsed=7163s hangs=0) ---
[2026-06-24T13:25:04+09:00] --- trial 11 開始 (elapsed=7953s hangs=0) ---
[2026-06-24T13:38:34+09:00] --- trial 12 開始 (elapsed=8763s hangs=0) ---
[2026-06-24T13:52:27+09:00] --- trial 13 開始 (elapsed=9596s hangs=0) ---
[2026-06-24T14:05:13+09:00] --- trial 14 開始 (elapsed=10362s hangs=0) ---
[2026-06-24T14:17:59+09:00] --- trial 15 開始 (elapsed=11128s hangs=0) ---
[2026-06-24T14:30:34+09:00] --- trial 16 開始 (elapsed=11883s hangs=0) ---
[2026-06-24T14:43:57+09:00] --- trial 17 開始 (elapsed=12686s hangs=0) ---
[2026-06-24T14:56:57+09:00] --- trial 18 開始 (elapsed=13466s hangs=0) ---
[2026-06-24T15:10:22+09:00] --- trial 19 開始 (elapsed=14271s hangs=0) ---
[2026-06-24T15:23:44+09:00] --- trial 20 開始 (elapsed=15073s hangs=0) ---
[2026-06-24T15:36:21+09:00] --- trial 21 開始 (elapsed=15830s hangs=0) ---
[2026-06-24T15:49:38+09:00] --- trial 22 開始 (elapsed=16627s hangs=0) ---
[2026-06-24T16:01:42+09:00] --- trial 23 開始 (elapsed=17351s hangs=0) ---
[2026-06-24T16:13:46+09:00] PHASE_CAP 到達で終了 (18075s)
[2026-06-24T16:13:46+09:00] ===== キャンペーン完了 backend=vulkan trials=23 hangs=0 =====
