=== LONG START 2026-06-27T08:00:04+09:00 menu=1 max=7200s ===
Standard 5-minute test of 1: Bus=0x87:00 DevId=0x6860   16GB Radeon Instinct MI25 (RADV VEGA10)
      1 iteration. Passed  0.0871 seconds  written:   12.0GB 372.5GB/sec        checked:   15.0GB 273.1GB/sec
     13 iteration. Passed  1.0560 seconds  written:  144.0GB 369.9GB/sec        checked:  180.0GB 270.0GB/sec
     70 iteration. Passed  5.0235 seconds  written:  684.0GB 370.2GB/sec        checked:  855.0GB 269.2GB/sec
    410 iteration. Passed 30.0329 seconds  written: 4080.0GB 370.0GB/sec        checked: 5100.0GB 268.3GB/sec
    736 iteration. Passed 30.0603 seconds  written: 3912.0GB 341.0GB/sec        checked: 4890.0GB 263.1GB/sec
   1041 iteration. Passed 30.1103 seconds  written: 3660.0GB 313.9GB/sec        checked: 4575.0GB 247.9GB/sec
   1317 iteration. Passed 30.0158 seconds  written: 3312.0GB 275.3GB/sec        checked: 4140.0GB 230.2GB/sec
   1590 iteration. Passed 30.1077 seconds  written: 3276.0GB 269.7GB/sec        checked: 4095.0GB 228.0GB/sec
   1862 iteration. Passed 30.0587 seconds  written: 3264.0GB 269.1GB/sec        checked: 4080.0GB 227.6GB/sec
   2133 iteration. Passed 30.0822 seconds  written: 3252.0GB 267.3GB/sec        checked: 4065.0GB 226.9GB/sec
   2404 iteration. Passed 30.0953 seconds  written: 3252.0GB 267.5GB/sec        checked: 4065.0GB 226.6GB/sec
   2674 iteration. Passed 30.0864 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.0GB/sec
Standard 5-minute test PASSed! Just press Ctrl+C unless you plan long test run.
Extended endless test started; testing more than 2 hours is usually unneeded
use Ctrl+C to stop it when you decide it's enough
   3254 iteration. Passed 30.0001 seconds  written: 3276.0GB 271.5GB/sec        checked: 4095.0GB 228.3GB/sec
   3524 iteration. Passed 30.0926 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 225.8GB/sec
   3794 iteration. Passed 30.0911 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 225.8GB/sec
   4064 iteration. Passed 30.0878 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.0GB/sec
   4334 iteration. Passed 30.0970 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 226.0GB/sec
   4604 iteration. Passed 30.1120 seconds  written: 3240.0GB 266.0GB/sec        checked: 4050.0GB 225.9GB/sec
   4873 iteration. Passed 30.0175 seconds  written: 3228.0GB 265.7GB/sec        checked: 4035.0GB 225.8GB/sec
   5142 iteration. Passed 30.0102 seconds  written: 3228.0GB 265.9GB/sec        checked: 4035.0GB 225.8GB/sec
   5411 iteration. Passed 30.0139 seconds  written: 3228.0GB 266.0GB/sec        checked: 4035.0GB 225.7GB/sec
   5680 iteration. Passed 30.0307 seconds  written: 3228.0GB 265.8GB/sec        checked: 4035.0GB 225.6GB/sec
   5949 iteration. Passed 30.0197 seconds  written: 3228.0GB 266.0GB/sec        checked: 4035.0GB 225.6GB/sec
   6218 iteration. Passed 30.0486 seconds  written: 3228.0GB 265.8GB/sec        checked: 4035.0GB 225.4GB/sec
   6487 iteration. Passed 30.0314 seconds  written: 3228.0GB 265.9GB/sec        checked: 4035.0GB 225.5GB/sec
   6756 iteration. Passed 30.0233 seconds  written: 3228.0GB 265.9GB/sec        checked: 4035.0GB 225.6GB/sec
   7025 iteration. Passed 30.0422 seconds  written: 3228.0GB 265.5GB/sec        checked: 4035.0GB 225.6GB/sec
   7295 iteration. Passed 30.1141 seconds  written: 3240.0GB 265.8GB/sec        checked: 4050.0GB 225.9GB/sec
   7564 iteration. Passed 30.0268 seconds  written: 3228.0GB 266.0GB/sec        checked: 4035.0GB 225.5GB/sec
   7833 iteration. Passed 30.0357 seconds  written: 3228.0GB 265.1GB/sec        checked: 4035.0GB 226.0GB/sec
   8103 iteration. Passed 30.0913 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.0GB/sec
   8372 iteration. Passed 30.0068 seconds  written: 3228.0GB 266.1GB/sec        checked: 4035.0GB 225.7GB/sec
   8642 iteration. Passed 30.1037 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 225.9GB/sec
   8912 iteration. Passed 30.1043 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 225.9GB/sec
   9182 iteration. Passed 30.0978 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 226.0GB/sec
   9452 iteration. Passed 30.1060 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 225.8GB/sec
   9722 iteration. Passed 30.0709 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.0GB/sec
   9992 iteration. Passed 30.0946 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.0GB/sec
  10262 iteration. Passed 30.0991 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 225.9GB/sec
  10532 iteration. Passed 30.0987 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 226.0GB/sec
  10802 iteration. Passed 30.0803 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.1GB/sec
  11072 iteration. Passed 30.0861 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.0GB/sec
  11342 iteration. Passed 30.0697 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.0GB/sec
  11612 iteration. Passed 30.1124 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 225.7GB/sec
  11882 iteration. Passed 30.0784 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.0GB/sec
  12152 iteration. Passed 30.0786 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.2GB/sec
  12422 iteration. Passed 30.0832 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.0GB/sec
  12692 iteration. Passed 30.0782 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 225.8GB/sec
  12962 iteration. Passed 30.0597 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.1GB/sec
  13232 iteration. Passed 30.1003 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 225.9GB/sec
  13502 iteration. Passed 30.1042 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 225.7GB/sec
  13772 iteration. Passed 30.1093 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 225.9GB/sec
  14042 iteration. Passed 30.0680 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.2GB/sec
  14312 iteration. Passed 30.0786 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.0GB/sec
  14582 iteration. Passed 30.0880 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.0GB/sec
  14852 iteration. Passed 30.1048 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 225.8GB/sec
  15122 iteration. Passed 30.0690 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.1GB/sec
  15391 iteration. Passed 30.0370 seconds  written: 3228.0GB 266.4GB/sec        checked: 4035.0GB 225.2GB/sec
  15661 iteration. Passed 30.0930 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 225.8GB/sec
  15931 iteration. Passed 30.0574 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.1GB/sec
  16201 iteration. Passed 30.0448 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.3GB/sec
  16471 iteration. Passed 30.0394 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.3GB/sec
  16741 iteration. Passed 30.0838 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.1GB/sec
  17011 iteration. Passed 30.1006 seconds  written: 3240.0GB 266.0GB/sec        checked: 4050.0GB 226.0GB/sec
  17281 iteration. Passed 30.0827 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.1GB/sec
  17551 iteration. Passed 30.0728 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.1GB/sec
  17821 iteration. Passed 30.0784 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.1GB/sec
  18091 iteration. Passed 30.0550 seconds  written: 3240.0GB 266.7GB/sec        checked: 4050.0GB 226.2GB/sec
  18361 iteration. Passed 30.0930 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 226.0GB/sec
  18631 iteration. Passed 30.0781 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 225.8GB/sec
  18901 iteration. Passed 30.0646 seconds  written: 3240.0GB 266.4GB/sec        checked: 4050.0GB 226.3GB/sec
  19170 iteration. Passed 30.0005 seconds  written: 3228.0GB 265.9GB/sec        checked: 4035.0GB 225.9GB/sec
  19440 iteration. Passed 30.0849 seconds  written: 3240.0GB 266.2GB/sec        checked: 4050.0GB 226.1GB/sec
  19710 iteration. Passed 30.1012 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 225.8GB/sec
  19980 iteration. Passed 30.0407 seconds  written: 3240.0GB 267.1GB/sec        checked: 4050.0GB 226.2GB/sec
  20250 iteration. Passed 30.0797 seconds  written: 3240.0GB 266.5GB/sec        checked: 4050.0GB 226.0GB/sec
  20520 iteration. Passed 30.0412 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.4GB/sec
  20790 iteration. Passed 30.0298 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.6GB/sec
  21060 iteration. Passed 30.0464 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.2GB/sec
