[2026-07-01T04:05:20+09:00] ===== キャンペーン開始 backend=vulkan model=unsloth/Qwen3-8B-GGUF:Q6_K ctx=131072 MAX=120 MIN=20 HANG_SAFETY=5 CAP=86400s TRIAL=720s =====
[2026-07-01T04:05:23+09:00] boot_seq=0 (phase-start-vulkan-c48c4-slot8) gpu_count=4
[2026-07-01T04:05:23+09:00] 初回 llama-server 起動
[2026-07-01T04:05:23+09:00] llama 再起動 (c48c4 SLOT8 stand-alone Vulkan ctx=131072)
[2026-07-01T04:05:38+09:00] /health 確認待機 (最大 300s)
[2026-07-01T04:05:38+09:00]     /health OK (elapsed 5s)
[2026-07-01T04:05:38+09:00] --- trial 1 開始 (elapsed=0s hangs=0) ---
[2026-07-01T04:19:30+09:00] --- trial 2 開始 (elapsed=832s hangs=0) ---
[2026-07-01T04:32:24+09:00] --- trial 3 開始 (elapsed=1606s hangs=0) ---
[2026-07-01T04:44:44+09:00] --- trial 4 開始 (elapsed=2346s hangs=0) ---
[2026-07-01T04:58:46+09:00] --- trial 5 開始 (elapsed=3187s hangs=0) ---
[2026-07-01T05:10:54+09:00] --- trial 6 開始 (elapsed=3916s hangs=0) ---
[2026-07-01T05:23:59+09:00] --- trial 7 開始 (elapsed=4701s hangs=0) ---
[2026-07-01T05:37:48+09:00] --- trial 8 開始 (elapsed=5530s hangs=0) ---
[2026-07-01T05:50:58+09:00] --- trial 9 開始 (elapsed=6320s hangs=0) ---
[2026-07-01T06:04:41+09:00] --- trial 10 開始 (elapsed=7143s hangs=0) ---
[2026-07-01T06:18:23+09:00] --- trial 11 開始 (elapsed=7965s hangs=0) ---
[2026-07-01T06:30:25+09:00] --- trial 12 開始 (elapsed=8687s hangs=0) ---
[2026-07-01T06:43:55+09:00] --- trial 13 開始 (elapsed=9497s hangs=0) ---
[2026-07-01T06:56:03+09:00] --- trial 14 開始 (elapsed=10225s hangs=0) ---
[2026-07-01T07:08:46+09:00] --- trial 15 開始 (elapsed=10988s hangs=0) ---
[2026-07-01T07:22:24+09:00] --- trial 16 開始 (elapsed=11806s hangs=0) ---
[2026-07-01T07:34:54+09:00] --- trial 17 開始 (elapsed=12555s hangs=0) ---
[2026-07-01T07:47:11+09:00] --- trial 18 開始 (elapsed=13293s hangs=0) ---
[2026-07-01T08:00:35+09:00] --- trial 19 開始 (elapsed=14097s hangs=0) ---
[2026-07-01T08:13:42+09:00] --- trial 20 開始 (elapsed=14884s hangs=0) ---
[2026-07-01T08:25:51+09:00] --- trial 21 開始 (elapsed=15613s hangs=0) ---
[2026-07-01T08:39:24+09:00] --- trial 22 開始 (elapsed=16426s hangs=0) ---
[2026-07-01T08:52:51+09:00] --- trial 23 開始 (elapsed=17233s hangs=0) ---
[2026-07-01T09:05:17+09:00] --- trial 24 開始 (elapsed=17979s hangs=0) ---
[2026-07-01T09:18:59+09:00] --- trial 25 開始 (elapsed=18801s hangs=0) ---
[2026-07-01T09:32:02+09:00] --- trial 26 開始 (elapsed=19584s hangs=0) ---
[2026-07-01T09:46:24+09:00] --- trial 27 開始 (elapsed=20446s hangs=0) ---
[2026-07-01T09:59:50+09:00] --- trial 28 開始 (elapsed=21252s hangs=0) ---
[2026-07-01T10:14:06+09:00] --- trial 29 開始 (elapsed=22108s hangs=0) ---
[2026-07-01T10:27:35+09:00] --- trial 30 開始 (elapsed=22917s hangs=0) ---
[2026-07-01T10:40:36+09:00] --- trial 31 開始 (elapsed=23698s hangs=0) ---
[2026-07-01T10:53:20+09:00] --- trial 32 開始 (elapsed=24462s hangs=0) ---
[2026-07-01T11:06:42+09:00] --- trial 33 開始 (elapsed=25264s hangs=0) ---
[2026-07-01T11:19:07+09:00] --- trial 34 開始 (elapsed=26009s hangs=0) ---
[2026-07-01T11:32:55+09:00] --- trial 35 開始 (elapsed=26837s hangs=0) ---
[2026-07-01T11:46:00+09:00] --- trial 36 開始 (elapsed=27622s hangs=0) ---
[2026-07-01T11:59:58+09:00] --- trial 37 開始 (elapsed=28460s hangs=0) ---
[2026-07-01T12:12:41+09:00] --- trial 38 開始 (elapsed=29223s hangs=0) ---
[2026-07-01T12:25:57+09:00] --- trial 39 開始 (elapsed=30019s hangs=0) ---
[2026-07-01T12:38:45+09:00] --- trial 40 開始 (elapsed=30787s hangs=0) ---
[2026-07-01T12:52:17+09:00] --- trial 41 開始 (elapsed=31599s hangs=0) ---
[2026-07-01T13:04:58+09:00] --- trial 42 開始 (elapsed=32360s hangs=0) ---
[2026-07-01T13:17:50+09:00] --- trial 43 開始 (elapsed=33132s hangs=0) ---
[2026-07-01T13:30:02+09:00] --- trial 44 開始 (elapsed=33864s hangs=0) ---
[2026-07-01T13:42:35+09:00] --- trial 45 開始 (elapsed=34617s hangs=0) ---
[2026-07-01T13:56:02+09:00] --- trial 46 開始 (elapsed=35424s hangs=0) ---
[2026-07-01T14:09:34+09:00] --- trial 47 開始 (elapsed=36236s hangs=0) ---
