[2026-07-02T10:22:19+09:00] ===== キャンペーン開始 backend=vulkan model=unsloth/Qwen3-8B-GGUF:Q6_K ctx=131072 MAX=120 MIN=20 HANG_SAFETY=5 CAP=86400s TRIAL=720s =====
[2026-07-02T10:22:22+09:00] boot_seq=0 (phase-start-vulkan-c48c4-slot8) gpu_count=4
telemetry started. pids: 845136 845137 845138 
logs: /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/telemetry_rocmsmi.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/telemetry_gpucount.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/kern_dmesg.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/llama_server.log
telemetry_pcie started. pid: 845145
log: /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-02_102205_mi25_c48c4_slot8_24h_round2/telemetry_pcie.log
[2026-07-02T10:22:22+09:00] 初回 llama-server 起動
[2026-07-02T10:22:22+09:00] llama 再起動 (c48c4 SLOT8 stand-alone Vulkan ctx=131072)
MODEL_PATH=/home/llm/models/Qwen3-8B-Q6_K.gguf
CTX_SIZE=131072
==> llama-server 起動 (c48c4 SLOT8 stand-alone Vulkan ctx=131072)
==> /health 確認待機 (最大 300s)
    /health OK (elapsed 15s)
[2026-07-02T10:22:37+09:00] /health 確認待機 (最大 300s)
[2026-07-02T10:22:37+09:00]     /health OK (elapsed 5s)
[2026-07-02T10:22:37+09:00] --- trial 1 開始 (elapsed=0s hangs=0) ---
[2026-07-02T10:36:45+09:00] --- trial 2 開始 (elapsed=848s hangs=0) ---
[2026-07-02T10:50:15+09:00] --- trial 3 開始 (elapsed=1658s hangs=0) ---
[2026-07-02T11:03:13+09:00] --- trial 4 開始 (elapsed=2436s hangs=0) ---
[2026-07-02T11:15:23+09:00] --- trial 5 開始 (elapsed=3166s hangs=0) ---
[2026-07-02T11:27:36+09:00] --- trial 6 開始 (elapsed=3899s hangs=0) ---
[2026-07-02T11:41:10+09:00] --- trial 7 開始 (elapsed=4713s hangs=0) ---
[2026-07-02T11:54:07+09:00] --- trial 8 開始 (elapsed=5490s hangs=0) ---
[2026-07-02T12:07:17+09:00] --- trial 9 開始 (elapsed=6280s hangs=0) ---
[2026-07-02T12:19:51+09:00] --- trial 10 開始 (elapsed=7034s hangs=0) ---
[2026-07-02T12:33:57+09:00] --- trial 11 開始 (elapsed=7879s hangs=0) ---
[2026-07-02T12:47:19+09:00] --- trial 12 開始 (elapsed=8682s hangs=0) ---
[2026-07-02T13:01:01+09:00] --- trial 13 開始 (elapsed=9504s hangs=0) ---
[2026-07-02T13:14:47+09:00] --- trial 14 開始 (elapsed=10330s hangs=0) ---
[2026-07-02T13:28:07+09:00] --- trial 15 開始 (elapsed=11130s hangs=0) ---
[2026-07-02T13:41:37+09:00] --- trial 16 開始 (elapsed=11940s hangs=0) ---
[2026-07-02T13:53:49+09:00] --- trial 17 開始 (elapsed=12672s hangs=0) ---
[2026-07-02T14:06:07+09:00] --- trial 18 開始 (elapsed=13410s hangs=0) ---
[2026-07-02T14:18:38+09:00] --- trial 19 開始 (elapsed=14161s hangs=0) ---
[2026-07-02T14:32:41+09:00] --- trial 20 開始 (elapsed=15004s hangs=0) ---
[2026-07-02T14:45:59+09:00] --- trial 21 開始 (elapsed=15802s hangs=0) ---
[2026-07-02T14:59:23+09:00] --- trial 22 開始 (elapsed=16606s hangs=0) ---
[2026-07-02T15:11:36+09:00] --- trial 23 開始 (elapsed=17339s hangs=0) ---
[2026-07-02T15:24:27+09:00] --- trial 24 開始 (elapsed=18110s hangs=0) ---
[2026-07-02T15:37:23+09:00] --- trial 25 開始 (elapsed=18886s hangs=0) ---
[2026-07-02T15:49:41+09:00] --- trial 26 開始 (elapsed=19624s hangs=0) ---
[2026-07-02T16:02:48+09:00] --- trial 27 開始 (elapsed=20411s hangs=0) ---
[2026-07-02T16:16:18+09:00] --- trial 28 開始 (elapsed=21221s hangs=0) ---
[2026-07-02T16:29:44+09:00] --- trial 29 開始 (elapsed=22027s hangs=0) ---
[2026-07-02T16:43:17+09:00] --- trial 30 開始 (elapsed=22840s hangs=0) ---
[2026-07-02T16:55:45+09:00] --- trial 31 開始 (elapsed=23588s hangs=0) ---
[2026-07-02T17:09:55+09:00] --- trial 32 開始 (elapsed=24438s hangs=0) ---
[2026-07-02T17:22:47+09:00] --- trial 33 開始 (elapsed=25210s hangs=0) ---
[2026-07-02T17:35:52+09:00] --- trial 34 開始 (elapsed=25995s hangs=0) ---
[2026-07-02T17:48:05+09:00] --- trial 35 開始 (elapsed=26728s hangs=0) ---
[2026-07-02T18:00:52+09:00] --- trial 36 開始 (elapsed=27495s hangs=0) ---
[2026-07-02T18:13:58+09:00] --- trial 37 開始 (elapsed=28281s hangs=0) ---
[2026-07-02T18:27:02+09:00] --- trial 38 開始 (elapsed=29065s hangs=0) ---
[2026-07-02T18:39:24+09:00] --- trial 39 開始 (elapsed=29807s hangs=0) ---
[2026-07-02T18:53:05+09:00] --- trial 40 開始 (elapsed=30628s hangs=0) ---
[2026-07-02T19:06:24+09:00] --- trial 41 開始 (elapsed=31427s hangs=0) ---
[2026-07-02T19:18:47+09:00] --- trial 42 開始 (elapsed=32170s hangs=0) ---
[2026-07-02T19:31:00+09:00] --- trial 43 開始 (elapsed=32902s hangs=0) ---
[2026-07-02T19:44:42+09:00] --- trial 44 開始 (elapsed=33725s hangs=0) ---
[2026-07-02T19:58:15+09:00] --- trial 45 開始 (elapsed=34538s hangs=0) ---
[2026-07-02T20:11:44+09:00] --- trial 46 開始 (elapsed=35347s hangs=0) ---
[2026-07-02T20:24:53+09:00] --- trial 47 開始 (elapsed=36136s hangs=0) ---
[2026-07-02T20:38:03+09:00] --- trial 48 開始 (elapsed=36926s hangs=0) ---
[2026-07-02T20:50:26+09:00] --- trial 49 開始 (elapsed=37668s hangs=0) ---
[2026-07-02T21:03:12+09:00] --- trial 50 開始 (elapsed=38435s hangs=0) ---
[2026-07-02T21:16:17+09:00] --- trial 51 開始 (elapsed=39220s hangs=0) ---
[2026-07-02T21:29:10+09:00] --- trial 52 開始 (elapsed=39993s hangs=0) ---
[2026-07-02T21:43:13+09:00] --- trial 53 開始 (elapsed=40836s hangs=0) ---
[2026-07-02T21:55:43+09:00] --- trial 54 開始 (elapsed=41586s hangs=0) ---
[2026-07-02T22:09:30+09:00] --- trial 55 開始 (elapsed=42413s hangs=0) ---
[2026-07-02T22:21:31+09:00] --- trial 56 開始 (elapsed=43134s hangs=0) ---
[2026-07-02T22:33:41+09:00] --- trial 57 開始 (elapsed=43864s hangs=0) ---
[2026-07-02T22:48:08+09:00] --- trial 58 開始 (elapsed=44731s hangs=0) ---
[2026-07-02T23:01:33+09:00] --- trial 59 開始 (elapsed=45536s hangs=0) ---
[2026-07-02T23:14:31+09:00] --- trial 60 開始 (elapsed=46314s hangs=0) ---
[2026-07-02T23:27:37+09:00] --- trial 61 開始 (elapsed=47100s hangs=0) ---
[2026-07-02T23:41:31+09:00] --- trial 62 開始 (elapsed=47934s hangs=0) ---
[2026-07-02T23:54:52+09:00] --- trial 63 開始 (elapsed=48735s hangs=0) ---
[2026-07-03T00:08:06+09:00] --- trial 64 開始 (elapsed=49529s hangs=0) ---
[2026-07-03T00:20:59+09:00] --- trial 65 開始 (elapsed=50302s hangs=0) ---
[2026-07-03T00:34:52+09:00] --- trial 66 開始 (elapsed=51135s hangs=0) ---
[2026-07-03T00:49:14+09:00] --- trial 67 開始 (elapsed=51997s hangs=0) ---
[2026-07-03T01:01:54+09:00] --- trial 68 開始 (elapsed=52757s hangs=0) ---
[2026-07-03T01:14:24+09:00] --- trial 69 開始 (elapsed=53507s hangs=0) ---
[2026-07-03T01:27:38+09:00] --- trial 70 開始 (elapsed=54301s hangs=0) ---
[2026-07-03T01:40:25+09:00] --- trial 71 開始 (elapsed=55068s hangs=0) ---
[2026-07-03T01:53:53+09:00] --- trial 72 開始 (elapsed=55876s hangs=0) ---
[2026-07-03T02:07:30+09:00] --- trial 73 開始 (elapsed=56693s hangs=0) ---
[2026-07-03T02:20:18+09:00] --- trial 74 開始 (elapsed=57461s hangs=0) ---
[2026-07-03T02:32:57+09:00] --- trial 75 開始 (elapsed=58220s hangs=0) ---
[2026-07-03T02:46:05+09:00] --- trial 76 開始 (elapsed=59008s hangs=0) ---
[2026-07-03T02:59:01+09:00] --- trial 77 開始 (elapsed=59784s hangs=0) ---
[2026-07-03T03:12:20+09:00] --- trial 78 開始 (elapsed=60582s hangs=0) ---
