[2026-07-05T23:44:49+09:00] ===== キャンペーン開始 backend=vulkan model=unsloth/Qwen3-8B-GGUF:Q6_K ctx=131072 MAX=200 MIN=80 HANG_SAFETY=10 CAP=86400s TRIAL=720s =====
[2026-07-05T23:44:53+09:00] boot_seq=0 (phase-start-vulkan-a48e4-slot6) gpu_count=4
telemetry started. pids: 1774392 1774393 1774394 
logs: /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-05_233506_mi25_a48e4_slot6_24h_round1/telemetry_rocmsmi.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-05_233506_mi25_a48e4_slot6_24h_round1/telemetry_gpucount.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-05_233506_mi25_a48e4_slot6_24h_round1/kern_dmesg.log / /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-05_233506_mi25_a48e4_slot6_24h_round1/llama_server.log
telemetry_pcie started. pid: 1774401
log: /home/ubuntu/projects/llm-server-ops/report/attachment/2026-07-05_233506_mi25_a48e4_slot6_24h_round1/telemetry_pcie.log
[2026-07-05T23:44:53+09:00] 初回 llama-server 起動
[2026-07-05T23:44:53+09:00] llama 再起動 (a48e4 SLOT6 stand-alone Vulkan ctx=131072)
MODEL_PATH=/home/llm/models/Qwen3-8B-Q6_K.gguf
CTX_SIZE=131072
==> llama-server 起動 (a48e4 SLOT6 stand-alone Vulkan ctx=131072)
==> /health 確認待機 (最大 300s)
    /health OK (elapsed 15s)
[2026-07-05T23:45:08+09:00] /health 確認待機 (最大 300s)
[2026-07-05T23:45:08+09:00]     /health OK (elapsed 5s)
[2026-07-05T23:45:08+09:00] --- trial 1 開始 (elapsed=0s hangs=0) ---
[2026-07-05T23:58:11+09:00] --- trial 2 開始 (elapsed=783s hangs=0) ---
[2026-07-06T00:11:44+09:00] --- trial 3 開始 (elapsed=1596s hangs=0) ---
[2026-07-06T00:25:29+09:00] --- trial 4 開始 (elapsed=2421s hangs=0) ---
[2026-07-06T00:38:00+09:00] --- trial 5 開始 (elapsed=3172s hangs=0) ---
[2026-07-06T00:50:14+09:00] --- trial 6 開始 (elapsed=3906s hangs=0) ---
[2026-07-06T01:03:53+09:00] --- trial 7 開始 (elapsed=4725s hangs=0) ---
[2026-07-06T01:17:35+09:00] --- trial 8 開始 (elapsed=5547s hangs=0) ---
[2026-07-06T01:29:59+09:00] --- trial 9 開始 (elapsed=6291s hangs=0) ---
[2026-07-06T01:42:52+09:00] --- trial 10 開始 (elapsed=7064s hangs=0) ---
[2026-07-06T01:55:09+09:00] --- trial 11 開始 (elapsed=7801s hangs=0) ---
[2026-07-06T02:07:40+09:00] --- trial 12 開始 (elapsed=8552s hangs=0) ---
[2026-07-06T02:21:01+09:00] --- trial 13 開始 (elapsed=9353s hangs=0) ---
[2026-07-06T02:34:01+09:00] --- trial 14 開始 (elapsed=10133s hangs=0) ---
[2026-07-06T02:46:34+09:00] --- trial 15 開始 (elapsed=10885s hangs=0) ---
[2026-07-06T02:59:10+09:00] --- trial 16 開始 (elapsed=11641s hangs=0) ---
[2026-07-06T03:12:38+09:00] --- trial 17 開始 (elapsed=12450s hangs=0) ---
[2026-07-06T03:25:50+09:00] --- trial 18 開始 (elapsed=13241s hangs=0) ---
[2026-07-06T03:38:55+09:00] --- trial 19 開始 (elapsed=14027s hangs=0) ---
[2026-07-06T03:51:17+09:00] --- trial 20 開始 (elapsed=14768s hangs=0) ---
[2026-07-06T04:03:40+09:00] --- trial 21 開始 (elapsed=15511s hangs=0) ---
[2026-07-06T04:17:21+09:00] --- trial 22 開始 (elapsed=16333s hangs=0) ---
[2026-07-06T04:31:08+09:00] --- trial 23 開始 (elapsed=17160s hangs=0) ---
[2026-07-06T04:44:47+09:00] --- trial 24 開始 (elapsed=17978s hangs=0) ---
[2026-07-06T04:56:52+09:00] --- trial 25 開始 (elapsed=18704s hangs=0) ---
[2026-07-06T05:10:53+09:00] --- trial 26 開始 (elapsed=19544s hangs=0) ---
[2026-07-06T05:22:58+09:00] --- trial 27 開始 (elapsed=20269s hangs=0) ---
[2026-07-06T05:35:01+09:00] --- trial 28 開始 (elapsed=20993s hangs=0) ---
[2026-07-06T05:47:24+09:00] --- trial 29 開始 (elapsed=21736s hangs=0) ---
[2026-07-06T06:00:01+09:00] --- trial 30 開始 (elapsed=22493s hangs=0) ---
[2026-07-06T06:13:31+09:00] --- trial 31 開始 (elapsed=23303s hangs=0) ---
[2026-07-06T06:27:08+09:00] --- trial 32 開始 (elapsed=24120s hangs=0) ---
[2026-07-06T06:41:09+09:00] --- trial 33 開始 (elapsed=24960s hangs=0) ---
[2026-07-06T06:55:01+09:00] --- trial 34 開始 (elapsed=25792s hangs=0) ---
[2026-07-06T07:07:22+09:00] --- trial 35 開始 (elapsed=26533s hangs=0) ---
[2026-07-06T07:19:25+09:00] --- trial 36 開始 (elapsed=27256s hangs=0) ---
[2026-07-06T07:32:31+09:00] --- trial 37 開始 (elapsed=28043s hangs=0) ---
[2026-07-06T07:46:14+09:00] --- trial 38 開始 (elapsed=28866s hangs=0) ---
[2026-07-06T07:59:48+09:00] --- trial 39 開始 (elapsed=29680s hangs=0) ---
