category,2026-04,2026-05,2026-06,2026-07,total
other,13,101,91,51,256
ci/docs,3,77,44,18,142
webui/ui,2,38,32,29,101
server,2,23,41,27,93
common/cli,5,20,35,17,77
vulkan,3,23,33,9,68
cuda,6,17,13,24,60
model,3,31,18,5,57
ggml,6,19,10,15,50
opencl,1,15,11,22,49
sycl,0,16,17,12,45
hexagon,2,17,5,12,36
mtmd,0,11,19,4,34
llama-core,0,13,5,10,28
webgpu,3,15,7,2,27
spec,5,2,10,4,21
cpu/simd,4,4,7,6,21
metal,0,6,7,6,19
tp,1,3,2,1,7
openvino,0,0,2,1,3
et,0,0,0,1,1
TOTAL,59,451,409,276,1195
