ts,label,id,category,variant,temp,prompt_n,predicted_n,content_chars,reasoning_chars,stop_reason,prompt_per_second,predicted_per_second
2026-08-17T00:11:56+09:00,abliterated,ja1_reasoning,japanese/reasoning,t00,0.0,153,650,409,635,stop,64.889,12.511
2026-08-17T00:14:46+09:00,abliterated,ja1_reasoning,japanese/reasoning,t10,1.0,153,2016,623,2452,stop,64.977,12.373
2026-08-17T00:17:39+09:00,abliterated,ja2_explain,japanese/explanation,t00,0.0,98,2048,1300,2255,length,53.024,12.385
2026-08-17T00:20:31+09:00,abliterated,ja3_format,japanese/instruction-following,t00,0.0,104,2048,0,4943,length,55.849,12.38
2026-08-17T00:23:23+09:00,abliterated,en1_reasoning,english/reasoning,t00,0.0,59,2048,0,9187,length,43.113,12.393
2026-08-17T00:26:14+09:00,abliterated,en1_reasoning,english/reasoning,t10,1.0,59,2048,0,8706,length,42.89,12.386
2026-08-17T00:29:06+09:00,abliterated,en2_knowledge,english/knowledge,t00,0.0,53,2048,1662,7422,length,40.954,12.377
2026-08-17T00:30:14+09:00,abliterated,code1_impl,code/implementation,t00,0.0,106,753,822,2023,stop,49.879,12.505
2026-08-17T00:31:25+09:00,abliterated,code1_impl,code/implementation,t10,1.0,106,807,1013,2230,stop,49.904,12.484
2026-08-17T00:34:18+09:00,abliterated,code2_debug,code/debugging,t00,0.0,98,2048,0,8551,length,47.994,12.369
2026-08-17T00:35:41+09:00,abliterated,sum1_summarize,summarization,t00,0.0,1230,791,257,1811,stop,74.203,12.852
2026-08-17T00:41:58+09:00,abliterated,ja3_format,japanese/instruction-following,t00_ext4k,0.0,104,3965,136,7832,stop,56.283,12.28
