ts,label,id,category,variant,temp,prompt_n,predicted_n,content_chars,reasoning_chars,stop_reason,prompt_per_second,predicted_per_second
2026-08-16T22:17:34+09:00,baseline,ja1_reasoning,japanese/reasoning,t00,0.0,153,1204,490,1376,stop,70.967,12.666
2026-08-16T22:18:45+09:00,baseline,ja1_reasoning,japanese/reasoning,t10,1.0,153,819,276,922,stop,71.063,12.738
2026-08-16T22:21:34+09:00,baseline,ja2_explain,japanese/explanation,t00,0.0,98,2048,248,3073,length,58.114,12.626
2026-08-16T22:24:23+09:00,baseline,ja3_format,japanese/instruction-following,t00,0.0,104,2048,0,2588,length,62.091,12.617
2026-08-16T22:27:12+09:00,baseline,en1_reasoning,english/reasoning,t00,0.0,59,2048,0,9044,length,47.343,12.621
2026-08-16T22:30:00+09:00,baseline,en1_reasoning,english/reasoning,t10,1.0,59,2048,0,8810,length,47.524,12.627
2026-08-16T22:32:49+09:00,baseline,en2_knowledge,english/knowledge,t00,0.0,53,2048,4035,5186,length,44.999,12.625
2026-08-16T22:33:34+09:00,baseline,code1_impl,code/implementation,t00,0.0,106,490,1035,929,stop,55.679,12.801
2026-08-16T22:34:35+09:00,baseline,code1_impl,code/implementation,t10,1.0,106,696,948,1773,stop,55.572,12.775
2026-08-16T22:37:01+09:00,baseline,code2_debug,code/debugging,t00,0.0,98,1758,1630,5941,stop,53.49,12.656
2026-08-16T22:38:08+09:00,baseline,sum1_summarize,summarization,t00,0.0,1230,624,420,1328,stop,81.198,13.389
2026-08-16T23:07:19+09:00,baseline,ja3_format,japanese/instruction-following,t00_ext4k,0.0,104,2620,137,3161,stop,62.34,12.611
