ts,mode,duty0,duty1,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,cpu2,system,periph,gpu_max,pch
2026-08-17T21:48:33,02,32,36,6300,6300,6800,6800,6300,6300,,6700,53,49,41,40,48,49
2026-08-17T21:48:49,02,32,36,6300,6300,6700,6800,6300,6300,,6700,53,49,41,40,48,49
2026-08-17T21:49:05,02,32,36,6300,6300,6800,6800,6400,6300,,6700,52,49,40,40,48,49
2026-08-17T21:49:21,02,32,36,6300,6300,6700,6800,6400,6300,,6700,53,49,40,40,48,49
2026-08-17T21:49:37,02,32,36,6300,6300,6800,6800,6300,6300,,6700,53,49,40,40,48,49
2026-08-17T21:49:53,02,32,36,6300,6300,6800,6800,6300,6300,,6700,52,49,40,40,48,49
2026-08-17T21:50:09,02,32,36,6300,6300,6800,6800,6300,6300,,6700,53,49,40,40,48,49
2026-08-17T21:50:25,02,32,36,6300,6300,6800,6800,6300,6300,,6700,53,49,40,40,48,49
2026-08-17T21:50:41,02,32,36,6300,6300,6800,6800,6300,6300,,6700,52,49,40,40,48,49
2026-08-17T21:50:57,02,32,36,6300,6300,6800,6800,6300,6300,,6700,53,49,41,40,48,49
2026-08-17T21:51:13,02,32,36,6300,6300,6700,6800,6300,6300,,6700,52,49,41,40,48,49
2026-08-17T21:51:29,02,32,36,6300,6300,6800,6800,6300,6300,,6700,53,49,40,40,48,49
2026-08-17T21:51:45,02,32,36,6300,6300,6800,6800,6300,6300,,6700,53,49,40,41,48,49
2026-08-17T21:52:01,02,32,36,6300,6300,6800,6800,6400,6300,,6700,52,49,41,40,48,49
2026-08-17T21:52:17,02,32,36,6300,6300,6800,6800,6300,6300,,6700,52,49,40,40,48,49
