elapsed_s,mode,duty0,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,gpu_max,power
9,01,64,10300,10500,2100,2000,5800,3000,2800,2900,51,45,on
19,01,10,,,,,,,,,,,on
29,01,64,,,,,,,,,,,on
38,01,10,,,,,,,,,,,on
47,01,10,,,,,,,,,,,on
57,01,10,,,,,,,,,,,on
66,01,64,4300,3000,2700,3600,2600,2200,2800,2800,51,45,on
79,01,64,10900,11300,3000,3000,6800,5900,5600,5300,50,,on
92,01,64,3300,4000,6000,5500,4100,3100,4000,4000,51,,on
103,01,10,,,,,,,,,,,on
118,01,64,10800,11100,5400,6100,6100,2600,2800,2800,51,45,on
132,01,64,11000,11000,3700,4800,5800,2900,3900,4000,51,45,on
144,01,64,10900,11100,3000,3100,6400,3200,3000,3000,51,45,on
157,01,64,6200,6300,4900,8800,3700,3700,4200,5400,51,45,on
173,01,64,8500,8400,4700,5700,4700,3000,4000,3800,51,45,on
186,01,64,5300,5700,3000,2900,3500,3200,3000,3800,51,45,on
197,01,10,4500,5600,7000,9400,5900,5400,9200,8700,51,45,on
210,01,64,9600,4700,2600,3100,3100,2500,2400,2500,52,45,on
221,01,64,3900,4400,6000,4800,3900,4600,9700,4700,52,45,on
235,01,10,6000,6300,4500,5100,3400,5400,4300,4300,52,45,on
248,01,64,5200,5900,2900,2900,3400,3000,2900,2900,53,45,on
259,01,10,10800,10900,2600,2600,5800,3000,3300,3300,52,45,on
272,01,10,3100,2500,2200,2800,3200,2900,3000,2900,52,45,on
286,01,10,3000,3000,2600,2700,2900,2900,2900,2700,53,45,on
299,01,64,9700,9700,2900,2900,4900,3200,2900,2900,53,46,on
310,01,64,10300,10500,4100,4300,5600,4000,3000,3500,53,45,on
323,01,10,4900,4800,4900,5000,2600,2800,5800,5700,52,45,on
336,01,64,2900,3000,3000,2900,3800,4100,3700,2400,53,45,on
347,01,10,5300,5600,5500,6900,3700,3900,4700,5000,53,45,on
360,01,64,5000,2800,2700,3000,3200,3100,3000,2900,54,45,on
374,01,64,5800,6000,3100,5000,4400,2800,3300,3500,53,45,on
385,01,64,4500,5000,5100,5100,3900,2100,4200,4400,53,45,on
398,01,64,8100,9200,6700,6500,7100,5800,6000,6100,52,45,on
411,01,64,10300,11200,7700,7700,9300,8000,6700,6600,51,45,on
424,01,10,2400,2700,3600,3800,3000,2900,3600,3200,51,45,on
440,01,10,4300,4300,5400,4800,2800,2900,3000,3000,52,45,on
454,01,64,6100,7000,5200,4300,3100,2900,2800,2700,53,45,on
467,01,64,10000,10100,4600,4700,5300,3000,4000,4000,52,45,on
