elapsed_s,mode,duty0,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,gpu_max,power
8,01,10,3300,3600,3000,2900,3000,2900,3000,2900,58,59,on
22,01,32,2900,3900,3100,3200,2600,2800,3200,3200,57,58,on
31,01,10,,,,,,,,,,,on
41,01,10,,,,,,,,,,,on
50,01,10,,,,,,,,,,,on
60,01,10,,,,,,,,,,,on
70,01,64,5800,2900,3000,2900,2900,2700,2900,3000,53,58,on
84,01,64,6700,6700,4300,4400,4500,2600,6600,6600,53,,on
97,01,10,9900,10000,3800,2400,5300,2900,4200,3000,54,,on
110,01,64,6500,9100,5100,3800,3500,3200,4400,2600,54,,on
124,01,64,9200,4700,8500,5500,9500,8300,11100,8000,53,,on
140,01,10,10900,10700,7900,8100,7800,5400,8600,8000,51,,on
153,01,10,7600,5600,4400,4800,4500,4500,8600,2500,52,,on
166,01,64,5700,3600,2900,2900,2800,2900,2900,2900,53,,on
179,01,10,,,,,,,,,,,on
194,01,64,11100,10700,2800,2900,5700,3700,8800,8900,54,48,on
208,01,10,4900,5000,4100,5500,3700,2900,6500,6300,53,48,on
221,01,10,3400,3100,3000,2900,3000,2900,2900,2900,53,48,on
233,01,10,4500,4800,7200,7100,3000,3500,3600,3700,54,48,on
247,01,10,5300,3100,4600,7500,3900,4900,4600,2800,55,48,on
260,01,64,5200,4700,5200,4900,2900,2900,3000,3000,55,48,on
273,01,64,2800,3000,2300,2400,2600,2600,2500,3000,55,48,on
287,01,64,10800,10900,5500,6300,5600,2700,2100,2400,54,47,on
300,01,10,3900,5600,2700,2700,3200,2700,2900,2600,53,47,on
314,01,64,8200,6100,11000,9700,3000,2800,11100,11100,55,47,on
329,01,64,5000,6500,2700,2700,3300,2900,3500,3600,54,47,on
345,01,64,9800,9700,2000,2000,5400,2900,2300,2000,53,46,on
359,01,64,3900,3600,4800,4700,3300,2600,3200,3600,53,46,on
373,01,10,9900,9900,3000,2600,5500,2600,3100,2600,52,46,on
387,01,10,6200,6300,5500,5200,2500,3900,2900,2600,52,46,on
401,01,64,2900,3700,3500,3500,2600,2900,2400,2300,54,46,on
415,01,10,9800,10200,7600,7700,5500,3300,9600,9300,52,46,on
429,01,64,10100,10100,4200,3500,5200,2900,3600,4100,52,46,on
443,01,10,9200,9700,2500,2700,5400,2600,2400,3600,52,46,on
457,01,64,3000,2800,5400,3800,3500,3000,3000,2800,53,46,on
471,01,10,11100,11200,2900,2900,5800,3000,2200,2200,52,46,on
484,01,10,3900,4200,4500,4500,3000,2900,3000,2800,53,46,on
497,01,64,3700,3900,4200,4400,2500,2200,3800,3500,54,46,on
511,01,10,10000,10100,9800,7300,5600,2900,3900,2900,53,46,on
524,01,10,3200,2200,2500,2200,2400,2800,2900,3000,54,46,on
538,01,64,3700,3900,2900,2900,2900,2900,2900,2900,54,46,on
551,01,10,6100,6000,3200,3300,4400,2900,2300,3400,54,46,on
