elapsed_s,mode,duty0,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,gpu_max,power
22,01,10,,,,,,,,,,,on
45,01,10,,,,,,,,,,,on
67,01,64,6500,6100,7000,3400,3100,2300,6700,8000,53,47,on
93,01,10,,,,,,,,,,,on
122,01,64,10200,10300,3700,3100,5600,3300,3100,2900,53,47,on
149,01,64,2700,3100,2900,2900,3000,4000,3200,3100,53,47,on
173,01,10,,,,,,,,,,,on
195,01,10,,,,,,,,,,,on
220,01,10,2100,2400,2900,2900,2700,2900,2900,2800,51,45,on
245,01,64,3000,3400,3800,4300,5900,6200,5300,4900,54,46,on
270,01,10,5400,2900,2800,2800,3900,2900,2500,3400,53,47,on
297,01,10,3600,3700,3200,2900,3000,2900,2900,2900,54,47,on
323,01,10,5900,6100,2600,2500,2500,2100,3200,3300,53,47,on
348,01,64,3300,3500,3600,3600,3600,3000,5300,5100,55,47,on
375,01,64,10200,8100,2900,3000,5300,3000,3500,2900,53,47,on
401,01,32,,,,,,,,,,,off
424,01,10,,,,,,,,,,,on
448,01,10,,,,,,,,,,,on
474,01,64,7200,6300,7000,10400,8100,8300,9300,11500,51,,on
500,01,64,7000,7500,3700,2200,3900,3000,3600,2400,51,,on
525,01,64,3200,3000,3800,7000,3300,3200,5700,6100,51,,on
551,01,10,4200,2900,2900,2900,2900,3000,2900,2900,53,42,on
578,01,64,5800,6600,4700,5300,6100,5700,4600,4300,48,46,on
