elapsed_s,mode,duty0,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,gpu_max,power
0,01,64,4200,4100,4100,4200,4200,4200,,4200,58,59,on
3,01,10,10600,10500,2800,2600,4300,4800,,2100,58,60,on
7,01,64,8300,7800,3000,3000,4500,5300,,3000,58,59,on
11,01,10,,,,,,,,,,,on
14,01,10,,,,,,,,,,,on
18,01,10,,,,,,,,,,,on
21,01,10,,,,,,,,,,,on
25,01,10,,,,,,,,,,,on
28,01,10,,,,,,,,,,,on
32,01,10,,,,,,,,,,,on
35,01,10,,,,,,,,,,,on
39,01,10,,,,,,,,,,,on
45,01,10,,,,,,,,,,,on
48,01,10,,,,,,,,,,,on
52,01,10,,,,,,,,,,,on
55,01,64,6600,7100,8200,8500,4000,4600,,6000,56,59,on
59,01,64,10200,10100,10100,10800,11300,10300,,11100,55,59,on
62,01,64,10700,10500,10400,11000,10300,10300,,12000,56,,on
69,01,10,10400,10000,4400,4500,5400,5900,,6900,57,,on
76,01,64,2100,2100,2900,3000,3100,2800,,2900,58,,on
82,01,10,,,,,,,,,,,on
89,01,64,3900,3700,4000,4500,4600,5300,,5200,59,52,on
97,01,10,10400,10200,10100,10400,5300,5500,,11900,54,52,on
105,01,64,2100,2100,2600,2100,3100,2800,,2300,52,51,on
112,01,10,10700,10600,10400,11000,11400,11600,,11900,52,51,on
122,01,10,3000,3100,3000,3000,2900,2100,,2600,52,51,on
128,01,64,2900,2900,2900,2900,2900,2900,,2900,51,51,on
