ts,mode,duty0,duty1,fan1,fan2,fan3,fan4,fan5,fan6,fan7,fan8,cpu1,cpu2,system,periph,gpu_max,pch
2026-08-17T22:08:14,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,43,40,41,42,54,52
2026-08-17T22:08:45,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,50,45,41,42,55,52
2026-08-17T22:09:16,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,52,46,41,42,56,52
2026-08-17T22:09:47,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,53,47,41,42,57,52
2026-08-17T22:10:18,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,54,47,41,42,57,52
2026-08-17T22:10:49,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,54,48,42,42,58,52
2026-08-17T22:11:20,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,55,48,42,43,59,53
2026-08-17T22:11:51,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,56,48,42,43,59,53
2026-08-17T22:12:22,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,56,48,42,42,61,53
2026-08-17T22:12:53,01,10,10,2900,2900,2900,2900,2900,2900,3000,3000,56,49,43,43,61,53
2026-08-17T22:13:24,01,1c,1c,4200,4100,4200,4200,4100,4100,4200,4100,56,48,43,43,60,53
2026-08-17T22:13:56,01,10,10,3000,2900,3000,2900,3000,2900,3000,3000,56,48,43,43,61,53
2026-08-17T22:14:27,02,4a,44,8800,8700,8400,8300,8800,8800,8400,8400,53,47,42,42,57,52
2026-08-17T22:14:58,01,64,10,11100,11200,2900,2900,6100,3000,2900,3000,52,46,42,42,56,52
2026-08-17T22:15:29,01,64,10,11100,11300,2900,2900,6000,2900,2900,2800,52,46,42,42,56,52
2026-08-17T22:16:00,01,64,10,11100,11200,2900,2900,6000,2900,2900,2800,51,47,43,42,53,53
2026-08-17T22:16:31,01,10,10,6900,6900,2900,2900,5200,2800,2900,2900,51,47,43,42,53,53
2026-08-17T22:17:02,01,10,10,2900,2900,2900,2900,2900,2900,2900,2900,53,48,43,42,54,54
2026-08-17T22:17:33,01,10,10,2900,2900,2900,2900,2900,2900,2900,2900,55,48,43,42,56,54
2026-08-17T22:18:04,01,10,10,2900,2900,2900,2900,2900,2900,2900,2900,55,49,43,43,58,54
2026-08-17T22:18:35,01,10,10,2900,2900,2900,2900,2900,2900,2900,2900,56,49,43,43,59,54
2026-08-17T22:19:06,01,10,10,2900,2900,2900,2900,2900,2900,2900,2900,56,49,43,43,63,54
2026-08-17T22:19:37,01,1c,1c,4200,4100,4200,4200,4200,4100,4200,4100,56,49,44,43,60,54
2026-08-17T22:20:08,01,1c,1c,4200,4100,4200,4200,4200,4100,4200,4100,55,48,43,43,59,53
2026-08-17T22:20:40,01,1c,1c,4200,4100,4200,4100,4200,4100,4200,4100,54,48,43,43,58,53
2026-08-17T22:21:11,01,1c,1c,4200,4100,4200,4100,4200,4100,4200,4100,54,48,43,43,58,53
2026-08-17T22:21:42,01,1c,1c,4200,4100,4200,4100,4200,4100,4200,4100,55,48,43,43,58,53
2026-08-17T22:22:13,01,1c,1c,4200,4100,4200,4100,4200,4100,4200,4100,54,48,43,42,58,53
2026-08-17T22:22:44,01,1c,1c,4200,4100,4200,4100,4200,4100,4200,4100,54,48,43,43,58,53
2026-08-17T22:23:15,01,10,10,3000,2900,3000,2900,2900,3000,3000,3000,54,48,43,42,58,53
2026-08-17T22:23:46,01,10,10,3000,2900,3000,2900,2900,3000,3000,3000,55,49,43,43,59,54
2026-08-17T22:24:17,01,10,10,3000,2900,3000,2900,2900,3000,3000,3000,56,49,44,43,62,54
2026-08-17T22:24:48,02,4a,44,8800,8700,8100,8100,8700,8800,8200,8100,53,48,42,43,57,53
2026-08-17T22:25:19,01,10,10,2900,2900,2900,2900,2900,2900,2900,2800,53,47,42,42,55,53
2026-08-17T22:25:50,01,10,10,2900,2900,2900,2900,2900,2900,2900,2800,54,48,43,42,57,53
2026-08-17T22:26:21,01,10,10,2900,2900,2900,2900,2900,2900,2900,2800,55,49,43,43,58,54
2026-08-17T22:26:52,01,1c,1c,4200,4200,4200,4100,4200,4100,4200,4200,55,49,43,43,58,53
2026-08-17T22:27:24,01,1c,1c,4200,4200,4200,4100,4200,4100,4200,4100,54,48,43,42,58,53
2026-08-17T22:27:55,01,64,64,9200,9000,8800,8900,10000,9200,8400,8200,54,48,42,43,58,53
2026-08-17T22:28:26,01,10,10,2900,2900,2900,2900,2900,2900,2900,2800,54,48,43,42,58,53
2026-08-17T22:28:57,01,10,10,2900,2900,2900,2900,2900,2900,2900,2800,55,49,43,42,58,54
2026-08-17T22:29:29,01,10,10,2900,2900,2900,2900,2900,2900,2900,2800,56,49,43,43,59,54
2026-08-17T22:30:02,01,1c,1c,4200,4200,4200,4200,4200,4100,4100,4100,56,49,44,43,59,54
2026-08-17T22:30:33,01,1c,1c,4200,4200,4200,4200,4200,4100,4100,4100,55,48,43,43,59,53
2026-08-17T22:31:04,01,1c,1c,4200,4200,4200,4200,4200,4100,4100,4100,55,48,43,42,58,53
2026-08-17T22:31:35,01,1c,1c,4200,4200,4200,4200,4200,4100,4100,4100,54,48,43,43,58,53
2026-08-17T22:32:06,01,1c,1c,4200,4200,4200,4200,4200,4100,4100,4100,54,48,43,43,58,53
2026-08-17T22:32:37,01,10,10,3000,2900,3000,2900,2900,2900,3000,2900,55,48,43,43,57,54
2026-08-17T22:33:08,01,10,10,3000,2900,3000,2900,2900,2900,3000,2900,56,49,43,43,58,54
