elapsed_s,ping,ssh,phase
0,0,0,pre-down
3,0,0,post-down
5,0,0,post-down
8,0,0,post-down
10,0,0,post-down
13,0,0,post-down
15,0,0,post-down
18,0,0,post-down
20,0,0,post-down
23,0,0,post-down
25,0,0,post-down
28,0,0,post-down
30,0,0,post-down
33,0,0,post-down
35,0,0,post-down
38,0,0,post-down
40,0,0,post-down
43,0,0,post-down
45,0,0,post-down
48,0,0,post-down
50,0,0,post-down
53,0,0,post-down
56,0,0,post-down
59,0,0,post-down
61,0,0,post-down
64,0,0,post-down
66,0,0,post-down
69,0,0,post-down
71,0,0,post-down
74,0,0,post-down
76,0,0,post-down
79,0,0,post-down
81,0,0,post-down
84,0,0,post-down
86,0,0,post-down
89,0,0,post-down
91,0,0,post-down
94,0,0,post-down
96,0,0,post-down
99,0,0,post-down
102,0,0,post-down
104,0,0,post-down
107,0,0,post-down
110,0,0,post-down
113,0,0,post-down
115,0,0,post-down
118,0,0,post-down
121,0,0,post-down
123,0,0,post-down
126,0,0,post-down
128,0,0,post-down
131,0,0,post-down
133,0,0,post-down
136,0,0,post-down
139,0,0,post-down
141,0,0,post-down
144,0,0,post-down
146,0,0,post-down
149,0,0,post-down
152,0,0,post-down
154,0,0,post-down
157,0,0,post-down
159,1,0,post-down
163,1,1,post-down
