elapsed_s,ping,ssh,phase
0,1,1,pre-down
3,1,1,pre-down
5,0,0,pre-down
8,0,0,post-down
11,0,0,post-down
14,0,0,post-down
17,0,0,post-down
20,0,0,post-down
23,0,0,post-down
26,0,0,post-down
29,0,0,post-down
32,0,0,post-down
35,0,0,post-down
38,0,0,post-down
40,0,0,post-down
43,0,0,post-down
45,0,0,post-down
48,0,0,post-down
51,0,0,post-down
54,0,0,post-down
56,0,0,post-down
59,0,0,post-down
61,0,0,post-down
64,0,0,post-down
66,0,0,post-down
69,0,0,post-down
71,0,0,post-down
74,0,0,post-down
76,0,0,post-down
79,0,0,post-down
81,0,0,post-down
84,0,0,post-down
86,0,0,post-down
89,0,0,post-down
91,0,0,post-down
94,0,0,post-down
97,0,0,post-down
100,0,0,post-down
102,0,0,post-down
105,0,0,post-down
108,0,0,post-down
110,0,0,post-down
113,0,0,post-down
115,0,0,post-down
118,0,0,post-down
120,0,0,post-down
123,0,0,post-down
125,0,0,post-down
128,0,0,post-down
130,0,0,post-down
133,0,0,post-down
135,0,0,post-down
138,0,0,post-down
140,0,0,post-down
143,0,0,post-down
146,1,1,post-down
