epoch,pkg0_uj,pkg1_uj,dram0_uj,dram1_uj
1787055391,201045799286,154445502384,30439763283,25323739889
1787055401,201208132549,154564945072,30467205853,25346911479
1787055411,201358470238,154674519925,30490718694,25369048498
1787055421,201512994623,154787138411,30515382600,25391225496
1787055431,201673947824,154905496934,30542320162,25414076092
1787055441,201836199362,155024578355,30569769173,25437166240
1787055451,202073493982,155200951866,30607154494,25466620408
1787055461,202569467993,155602568209,30673098121,25518302186
1787055471,203070987400,156003364729,30739146370,25569888752
1787055481,203570881445,156405597281,30805226840,25621598805
1787055491,204072101536,156808589901,30871241215,25673347719
1787055501,204574161225,157211568728,30937155986,25725040529
1787055511,205076842738,157628147923,31002844869,25777158265
1787055521,205581527970,158032747900,31067869777,25828755588
1787055531,206086980167,158436902933,31132520814,25880392690
1787055541,206593131703,158840424239,31197282608,25932073091
1787055551,207100132175,159252076139,31262129562,25984163762
1787055562,207607695085,159660257284,31327053689,26035974060
1787055572,208104795924,160063949060,31391803764,26087702977
1787055582,208616987362,160470454306,31456670118,26139341579
1787055592,209125967443,160881648261,31521575212,26191422213
1787055602,209637492867,161286364876,31587880822,26241086395
1787055612,210145647450,161737318556,31654752057,26294414301
1787055622,210689536378,162179495708,31727264158,26353837267
1787055632,211198116435,162673625790,31803025887,26423304193
1787055642,211673620650,163187699364,31879210095,26492877256
1787055652,212116618295,163726734117,31954294356,26560838831
1787055662,212551515925,164253497661,32023355832,26614407604
1787055672,213006130056,164772158748,32090224681,26669435661
1787055682,213435865895,165298573721,32158061577,26723941023
1787055692,213872812774,165818370853,32225813082,26778813157
1787055702,214310116708,166347047722,32293474395,26833639300
1787055712,214748015124,166877205239,32361169245,26888589296
1787055722,215187094078,167408136802,32429358147,26943508768
1787055732,215624070010,167940707155,32497108077,26998709791
1787055742,216060538863,168474244730,32564895018,27054077186
1787055752,216539184427,168980002346,32632340095,27108663975
1787055762,217049648086,169475604410,32700267934,27163446773
