# aws-gpu01 BMC SEL 全件 (対照, 取得: 2026-09-05 22:18:39 JST)
SEL Information
Version          : 1.5 (v1.5, v2 compliant)
Entries          : 29
Free Space       : 9660 bytes 
Percent Used     : 4%
Last Add Time    : 2026年08月15日 22時40分39秒 JST
Last Del Time    : Not Available
Overflow         : false
Supported Cmds   : 'Reserve' 'Get Alloc Info' 
# of Alloc Units : 512
Alloc Unit Size  : 20
# Free Units     : 483
Largest Free Blk : 483
Max Record Size  : 20

   1 | 2026年02月01日 | 22時09分13秒 JST | Unknown #0xff |  | Asserted
   2 | 2014年01月01日 | 09時00分02秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Asserted
   3 | 2014年01月01日 | 09時02分22秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Asserted
   4 | 2014年01月01日 | 09時14分26秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Asserted
   5 | 2014年01月01日 | 09時20分35秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Deasserted
   6 | 2014年01月01日 | 09時28分29秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Asserted
   7 | 2014年01月01日 | 09時30分11秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Deasserted
   8 | 2014年01月01日 | 10時35分23秒 JST | Management Subsys Health #0x5e |  | Asserted
   9 | 2014年01月01日 | 10時35分24秒 JST | Drive Slot / Bay #0x5f | Drive Present () | Asserted
   a | 2014年01月01日 | 10時35分24秒 JST | Drive Slot / Bay #0x5f | Drive Present () | Asserted
   b | 2014年01月01日 | 10時35分24秒 JST | Drive Slot / Bay #0x5f | Drive Present () | Asserted
   c | 2014年01月01日 | 10時35分24秒 JST | Drive Slot / Bay #0x5f | Drive Present () | Asserted
   d | 2026年02月03日 | 20時47分31秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Asserted
   e | 2026年02月03日 | 21時58分56秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Deasserted
   f | 2026年02月23日 | 17時56分34秒 JST | Power Supply PS1 Status | Failure detected () | Asserted
  10 | 2026年02月23日 | 17時56分35秒 JST | Power Supply PS2 Status | Failure detected () | Asserted
  11 | 2026年02月23日 | 21時06分52秒 JST | Power Supply PS1 Status | Failure detected () | Deasserted
  12 | 2026年02月23日 | 21時06分52秒 JST | Power Supply PS2 Status | Failure detected () | Deasserted
  13 | 2026年02月23日 | 21時09分21秒 JST | Power Supply PS4 Status | Failure detected () | Asserted
  14 | 2026年02月23日 | 21時09分24秒 JST | Power Supply PS3 Status | Failure detected () | Asserted
  15 | 2026年02月23日 | 21時13分03秒 JST | Power Supply PS4 Status | Failure detected () | Deasserted
  16 | 2026年02月23日 | 21時13分06秒 JST | Power Supply PS3 Status | Failure detected () | Deasserted
  17 | 2026年02月23日 | 21時13分39秒 JST | Power Supply PS1 Status | Failure detected () | Asserted
  18 | 2026年02月23日 | 21時13分39秒 JST | Power Supply PS2 Status | Failure detected () | Asserted
  19 | 2026年02月23日 | 21時15分36秒 JST | Power Supply PS1 Status | Failure detected () | Deasserted
  1a | 2026年02月23日 | 21時15分36秒 JST | Power Supply PS2 Status | Failure detected () | Deasserted
  1b | 2026年03月20日 | 14時20分23秒 JST | Unknown #0xff |  | Asserted
  1c | 2026年03月20日 | 14時39分49秒 JST | Unknown #0xff |  | Asserted
  1d | 2026年08月15日 | 22時40分39秒 JST | Unknown #0xff |  | Asserted
