# aws-gpu02 BMC SEL 全件 (取得: 2026-09-05 22:18:39 JST)
# BMC: 10.11.12.2
SEL Information
Version          : 1.5 (v1.5, v2 compliant)
Entries          : 138
Free Space       : 7480 bytes 
Percent Used     : 22%
Last Add Time    : 2026年09月05日 21時53分55秒 JST
Last Del Time    : Not Available
Overflow         : false
Supported Cmds   : 'Reserve' 'Get Alloc Info' 
# of Alloc Units : 512
Alloc Unit Size  : 20
# Free Units     : 374
Largest Free Blk : 374
Max Record Size  : 20

   1 | 2019年11月15日 | 16時22分30秒 JST | Unknown #0xff |  | Asserted
   2 | 2019年11月15日 | 16時29分48秒 JST | Unknown #0xff |  | Asserted
   3 | 2019年11月15日 | 16時51分22秒 JST | Unknown #0xff |  | Asserted
   4 | 2019年11月15日 | 16時22分29秒 JST | Unknown #0xff |  | Asserted
   5 | 2026年01月24日 | 06時20分12秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Asserted
   6 | 2026年01月25日 | 01時12分47秒 JST | Unknown #0xff |  | Asserted
   7 | 2026年01月24日 | 20時53分06秒 JST | Power Supply PS3 Status | Failure detected () | Asserted
   8 | 2026年01月24日 | 20時53分12秒 JST | Power Supply PS3 Status | Failure detected () | Deasserted
   9 | 2026年01月24日 | 23時12分54秒 JST | Unknown #0xff |  | Asserted
   a | 2026年01月25日 | 19時38分15秒 JST | Unknown #0xff |  | Asserted
   b | 2026年01月25日 | 22時26分35秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Asserted
   c | 2026年01月26日 | 21時16分55秒 JST | Physical Security Chassis Intru | General Chassis intrusion () | Deasserted
   d | 2026年02月23日 | 17時56分31秒 JST | Power Supply PS1 Status | Failure detected () | Asserted
   e | 2026年02月23日 | 17時56分31秒 JST | Power Supply PS2 Status | Failure detected () | Asserted
   f | 2026年02月23日 | 21時06分48秒 JST | Power Supply PS1 Status | Failure detected () | Deasserted
  10 | 2026年02月23日 | 21時06分49秒 JST | Power Supply PS2 Status | Failure detected () | Deasserted
  11 | 2026年02月23日 | 21時09分21秒 JST | Power Supply PS3 Status | Failure detected () | Asserted
  12 | 2026年02月23日 | 21時09分21秒 JST | Power Supply PS4 Status | Failure detected () | Asserted
  13 | 2026年02月23日 | 21時13分01秒 JST | Power Supply PS3 Status | Failure detected () | Deasserted
  14 | 2026年02月23日 | 21時13分05秒 JST | Power Supply PS4 Status | Failure detected () | Deasserted
  15 | 2026年02月23日 | 21時13分36秒 JST | Power Supply PS1 Status | Failure detected () | Asserted
  16 | 2026年02月23日 | 21時13分38秒 JST | Power Supply PS2 Status | Failure detected () | Asserted
  17 | 2026年02月23日 | 21時15分34秒 JST | Power Supply PS2 Status | Failure detected () | Deasserted
  18 | 2026年02月23日 | 21時15分35秒 JST | Power Supply PS1 Status | Failure detected () | Deasserted
  19 | 2026年03月20日 | 14時20分24秒 JST | Unknown #0xff |  | Asserted
  1a | 2026年03月20日 | 14時39分49秒 JST | Unknown #0xff |  | Asserted
  1b | 2026年08月15日 | 22時40分36秒 JST | Unknown #0xff |  | Asserted
  1c | 2026年08月15日 | 22時47分58秒 JST | Unknown #0xff |  | Asserted
  1d | 2026年08月15日 | 22時47分58秒 JST | Unknown #0xff |  | Asserted
  1e | 2026年08月15日 | 22時47分58秒 JST | Unknown #0xff |  | Asserted
  1f | 2026年08月15日 | 22時47分58秒 JST | Unknown #0xff |  | Asserted
  20 | 2026年08月15日 | 22時47分58秒 JST | Unknown #0xff |  | Asserted
  21 | 2026年08月15日 | 22時47分58秒 JST | Unknown #0xff |  | Asserted
  22 | 2026年08月15日 | 22時47分58秒 JST | Unknown #0xff |  | Asserted
  23 | 2026年08月15日 | 23時11分56秒 JST | Unknown #0xff |  | Asserted
  24 | 2026年08月15日 | 23時12分10秒 JST | Unknown #0xff |  | Asserted
  25 | 2026年08月15日 | 23時12分10秒 JST | Unknown #0xff |  | Asserted
  26 | 2026年08月15日 | 23時12分11秒 JST | Unknown #0xff |  | Asserted
  27 | 2026年08月15日 | 23時12分11秒 JST | Unknown #0xff |  | Asserted
  28 | 2026年08月15日 | 23時12分11秒 JST | Unknown #0xff |  | Asserted
  29 | 2026年08月15日 | 23時12分11秒 JST | Unknown #0xff |  | Asserted
  2a | 2026年08月15日 | 23時12分11秒 JST | Unknown #0xff |  | Asserted
  2b | 2026年08月17日 | 22時32分46秒 JST | Unknown #0xff |  | Asserted
  2c | 2026年08月17日 | 22時32分47秒 JST | Unknown #0xff |  | Asserted
  2d | 2026年08月17日 | 22時32分47秒 JST | Unknown #0xff |  | Asserted
  2e | 2026年08月17日 | 22時32分47秒 JST | Unknown #0xff |  | Asserted
  2f | 2026年08月17日 | 22時32分47秒 JST | Unknown #0xff |  | Asserted
  30 | 2026年08月17日 | 22時32分47秒 JST | Unknown #0xff |  | Asserted
  31 | 2026年08月17日 | 22時32分47秒 JST | Unknown #0xff |  | Asserted
  32 | 2026年08月17日 | 22時32分47秒 JST | Unknown #0xff |  | Asserted
  33 | 2026年08月17日 | 22時32分47秒 JST | Unknown #0xff |  | Asserted
  34 | 2026年08月17日 | 22時32分48秒 JST | Unknown #0xff |  | Asserted
  35 | 2026年08月17日 | 22時32分48秒 JST | Unknown #0xff |  | Asserted
  36 | 2026年08月17日 | 22時39分42秒 JST | Unknown #0xff |  | Asserted
  37 | 2026年08月17日 | 22時39分43秒 JST | Unknown #0xff |  | Asserted
  38 | 2026年08月17日 | 22時39分43秒 JST | Unknown #0xff |  | Asserted
  39 | 2026年08月17日 | 22時39分43秒 JST | Unknown #0xff |  | Asserted
  3a | 2026年08月17日 | 22時39分43秒 JST | Unknown #0xff |  | Asserted
  3b | 2026年08月17日 | 22時39分43秒 JST | Unknown #0xff |  | Asserted
  3c | 2026年08月17日 | 22時39分43秒 JST | Unknown #0xff |  | Asserted
  3d | 2026年08月17日 | 22時39分43秒 JST | Unknown #0xff |  | Asserted
  3e | 2026年08月17日 | 22時39分44秒 JST | Unknown #0xff |  | Asserted
  3f | 2026年08月17日 | 22時39分44秒 JST | Unknown #0xff |  | Asserted
  40 | 2026年08月17日 | 22時39分44秒 JST | Unknown #0xff |  | Asserted
  41 | 2026年08月17日 | 22時39分44秒 JST | Unknown #0xff |  | Asserted
  42 | 2026年08月17日 | 22時39分44秒 JST | Unknown #0xff |  | Asserted
