time,sel_entries,sel_mem_uce,ssh,uptime_s,load1
2026-09-06 21:53:59,177,11,up,83662.38,0.13,
2026-09-06 21:59:01,177,11,up,83964.51,0.22,
2026-09-06 22:04:03,177,11,up,84266.70,0.18,
2026-09-06 22:09:05,177,11,up,84568.40,0.26,
2026-09-06 22:14:07,177,11,up,84870.60,19.57,
2026-09-06 22:19:09,177,11,up,85172.40,0.88,
2026-09-06 22:24:11,177,11,up,85474.11,0.32,
2026-09-06 22:29:12,177,11,up,85775.82,1.16,
2026-09-06 22:34:14,177,11,up,86077.66,1.20,
2026-09-06 22:39:16,177,11,up,86379.53,1.23,
2026-09-06 22:44:18,177,11,up,86681.48,1.14,
2026-09-06 22:49:20,177,11,up,86983.08,7.73,
2026-09-06 22:54:21,177,11,up,87284.49,11.86,
2026-09-06 22:59:23,177,11,up,87586.16,1.24,
2026-09-06 23:04:24,177,11,up,87887.92,1.23,
2026-09-06 23:09:26,177,11,up,88189.67,1.14,
2026-09-06 23:14:28,177,11,up,88491.39,1.14,
2026-09-06 23:19:30,177,11,up,88793.09,1.13,
2026-09-06 23:24:31,177,11,up,89094.81,1.18,
2026-09-06 23:29:33,177,11,up,89396.63,1.21,
2026-09-06 23:34:35,177,11,up,89698.43,1.19,
