0.00.144.632 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.145.152 W srv  llama_server: -----------------
0.00.145.154 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.145.155 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.145.155 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.145.156 W srv  llama_server: -----------------
0.00.146.476 I srv    load_model: loading model '/home/ubuntu/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.02.671.852 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.02.671.862 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.02.671.874 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.02.671.878 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.02.671.883 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.02.671.898 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.02.671.902 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.02.671.907 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.02.671.911 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.02.671.915 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.02.671.920 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.02.671.925 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.02.671.929 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.02.671.934 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.02.671.946 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.09.752.708 I cmn          init: llama threadpool init, n_threads = 16
0.10.048.951 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.10.159.781 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.10.167.194 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.10.167.250 I srv  llama_server: model loaded
0.10.167.256 I srv  llama_server: listening on http://127.0.0.1:18081
0.15.570.395 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.15.570.511 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.24.884.645 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  11.34 t/s, tg_3s =  11.45 t/s
0.27.968.407 I slot print_timing: id  0 | task 0 | n_gen =    135, tg =  11.34 t/s, tg_3s =  11.35 t/s
0.31.050.225 I slot print_timing: id  0 | task 0 | n_gen =    170, tg =  11.34 t/s, tg_3s =  11.36 t/s
0.34.130.798 I slot print_timing: id  0 | task 0 | n_gen =    205, tg =  11.35 t/s, tg_3s =  11.36 t/s
0.37.211.134 I slot print_timing: id  0 | task 0 | n_gen =    240, tg =  11.35 t/s, tg_3s =  11.36 t/s
0.40.217.116 I slot print_timing: id  0 | task 0 | n_gen =    274, tg =  11.34 t/s, tg_3s =  11.31 t/s
0.43.301.256 I slot print_timing: id  0 | task 0 | n_gen =    309, tg =  11.35 t/s, tg_3s =  11.35 t/s
0.46.385.417 I slot print_timing: id  0 | task 0 | n_gen =    344, tg =  11.35 t/s, tg_3s =  11.35 t/s
0.49.407.652 I slot print_timing: id  0 | task 0 | n_gen =    378, tg =  11.34 t/s, tg_3s =  11.25 t/s
0.52.437.420 I slot print_timing: id  0 | task 0 | n_gen =    412, tg =  11.33 t/s, tg_3s =  11.22 t/s
0.55.466.263 I slot print_timing: id  0 | task 0 | n_gen =    446, tg =  11.32 t/s, tg_3s =  11.23 t/s
0.58.495.129 I slot print_timing: id  0 | task 0 | n_gen =    480, tg =  11.31 t/s, tg_3s =  11.23 t/s
1.01.528.458 I slot print_timing: id  0 | task 0 | n_gen =    514, tg =  11.31 t/s, tg_3s =  11.21 t/s
1.04.561.739 I slot print_timing: id  0 | task 0 | n_gen =    548, tg =  11.30 t/s, tg_3s =  11.21 t/s
1.07.594.040 I slot print_timing: id  0 | task 0 | n_gen =    582, tg =  11.29 t/s, tg_3s =  11.21 t/s
1.10.625.741 I slot print_timing: id  0 | task 0 | n_gen =    616, tg =  11.29 t/s, tg_3s =  11.21 t/s
1.13.657.388 I slot print_timing: id  0 | task 0 | n_gen =    650, tg =  11.29 t/s, tg_3s =  11.22 t/s
1.16.691.866 I slot print_timing: id  0 | task 0 | n_gen =    684, tg =  11.28 t/s, tg_3s =  11.20 t/s
1.19.723.259 I slot print_timing: id  0 | task 0 | n_gen =    718, tg =  11.28 t/s, tg_3s =  11.22 t/s
1.22.754.752 I slot print_timing: id  0 | task 0 | n_gen =    752, tg =  11.28 t/s, tg_3s =  11.22 t/s
