0.00.146.541 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.147.068 W srv  llama_server: -----------------
0.00.147.071 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.147.072 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.147.072 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.147.072 W srv  llama_server: -----------------
0.00.148.402 I srv    load_model: loading model '/home/ubuntu/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.148.546 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.02.019.869 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.02.019.879 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.02.019.890 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.02.019.896 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.02.019.900 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.02.019.915 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.02.019.920 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.02.019.924 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.02.019.930 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.02.019.935 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.02.019.939 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.02.019.944 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.02.019.949 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.02.019.953 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.02.019.965 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.09.253.284 I cmn          init: llama threadpool init, n_threads = 16
0.09.621.620 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.09.716.221 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.09.723.571 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.09.723.616 I srv  llama_server: model loaded
0.09.723.623 I srv  llama_server: listening on http://127.0.0.1:18081
0.10.567.580 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.567.674 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.18.235.545 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  13.71 t/s, tg_3s =  13.85 t/s
0.21.236.004 I slot print_timing: id  0 | task 0 | n_gen =    142, tg =  13.79 t/s, tg_3s =  14.00 t/s
0.24.257.007 I slot print_timing: id  0 | task 0 | n_gen =    184, tg =  13.82 t/s, tg_3s =  13.90 t/s
0.27.264.594 I slot print_timing: id  0 | task 0 | n_gen =    225, tg =  13.78 t/s, tg_3s =  13.63 t/s
0.30.264.817 I slot print_timing: id  0 | task 0 | n_gen =    266, tg =  13.77 t/s, tg_3s =  13.67 t/s
0.33.280.995 I slot print_timing: id  0 | task 0 | n_gen =    308, tg =  13.79 t/s, tg_3s =  13.92 t/s
0.36.313.717 I slot print_timing: id  0 | task 0 | n_gen =    350, tg =  13.79 t/s, tg_3s =  13.85 t/s
0.39.337.651 I slot print_timing: id  0 | task 0 | n_gen =    391, tg =  13.77 t/s, tg_3s =  13.56 t/s
0.42.345.709 I slot print_timing: id  0 | task 0 | n_gen =    433, tg =  13.79 t/s, tg_3s =  13.96 t/s
0.45.356.642 I slot print_timing: id  0 | task 0 | n_gen =    475, tg =  13.80 t/s, tg_3s =  13.95 t/s
0.48.428.053 I slot print_timing: id  0 | task 0 | n_gen =    517, tg =  13.79 t/s, tg_3s =  13.67 t/s
0.51.434.336 I slot print_timing: id  0 | task 0 | n_gen =    558, tg =  13.78 t/s, tg_3s =  13.64 t/s
0.54.442.136 I slot print_timing: id  0 | task 0 | n_gen =    600, tg =  13.79 t/s, tg_3s =  13.96 t/s
0.57.449.520 I slot print_timing: id  0 | task 0 | n_gen =    642, tg =  13.80 t/s, tg_3s =  13.97 t/s
1.00.458.901 I slot print_timing: id  0 | task 0 | n_gen =    684, tg =  13.81 t/s, tg_3s =  13.96 t/s
1.03.497.491 I slot print_timing: id  0 | task 0 | n_gen =    725, tg =  13.79 t/s, tg_3s =  13.49 t/s
1.06.505.955 I slot print_timing: id  0 | task 0 | n_gen =    766, tg =  13.79 t/s, tg_3s =  13.63 t/s
1.09.528.280 I slot print_timing: id  0 | task 0 | n_gen =    808, tg =  13.79 t/s, tg_3s =  13.90 t/s
1.12.538.415 I slot print_timing: id  0 | task 0 | n_gen =    850, tg =  13.80 t/s, tg_3s =  13.95 t/s
1.15.560.722 I slot print_timing: id  0 | task 0 | n_gen =    891, tg =  13.79 t/s, tg_3s =  13.57 t/s
1.18.569.902 I slot print_timing: id  0 | task 0 | n_gen =    933, tg =  13.80 t/s, tg_3s =  13.96 t/s
