0.00.131.847 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.132.412 W srv  llama_server: -----------------
0.00.132.414 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.132.415 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.132.416 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.132.416 W srv  llama_server: -----------------
0.00.133.774 I srv    load_model: loading model '/home/ubuntu/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.834.129 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.834.157 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.834.169 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.01.834.173 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.01.834.179 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.01.834.195 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.01.834.199 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.834.204 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.834.209 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.01.834.213 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.834.217 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.01.834.223 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.834.228 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.834.232 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.834.245 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.10.396.425 I cmn          init: llama threadpool init, n_threads = 16
0.10.607.140 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.10.714.570 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.10.721.880 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.10.721.926 I srv  llama_server: model loaded
0.10.721.932 I srv  llama_server: listening on http://127.0.0.1:18081
0.15.620.733 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.15.620.817 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.24.289.252 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  12.12 t/s, tg_3s =  12.24 t/s
0.27.339.947 I slot print_timing: id  0 | task 0 | n_gen =    137, tg =  12.12 t/s, tg_3s =  12.13 t/s
0.30.390.322 I slot print_timing: id  0 | task 0 | n_gen =    174, tg =  12.12 t/s, tg_3s =  12.13 t/s
0.33.440.520 I slot print_timing: id  0 | task 0 | n_gen =    211, tg =  12.12 t/s, tg_3s =  12.13 t/s
0.36.496.217 I slot print_timing: id  0 | task 0 | n_gen =    248, tg =  12.12 t/s, tg_3s =  12.11 t/s
0.39.550.535 I slot print_timing: id  0 | task 0 | n_gen =    285, tg =  12.12 t/s, tg_3s =  12.11 t/s
0.42.604.928 I slot print_timing: id  0 | task 0 | n_gen =    322, tg =  12.12 t/s, tg_3s =  12.11 t/s
0.45.683.762 I slot print_timing: id  0 | task 0 | n_gen =    359, tg =  12.11 t/s, tg_3s =  12.02 t/s
0.48.717.418 I slot print_timing: id  0 | task 0 | n_gen =    394, tg =  12.06 t/s, tg_3s =  11.54 t/s
0.51.752.832 I slot print_timing: id  0 | task 0 | n_gen =    429, tg =  12.01 t/s, tg_3s =  11.53 t/s
0.54.787.597 I slot print_timing: id  0 | task 0 | n_gen =    464, tg =  11.97 t/s, tg_3s =  11.53 t/s
0.57.822.172 I slot print_timing: id  0 | task 0 | n_gen =    499, tg =  11.94 t/s, tg_3s =  11.53 t/s
1.00.863.420 I slot print_timing: id  0 | task 0 | n_gen =    534, tg =  11.91 t/s, tg_3s =  11.51 t/s
1.03.900.250 I slot print_timing: id  0 | task 0 | n_gen =    569, tg =  11.89 t/s, tg_3s =  11.53 t/s
1.06.937.075 I slot print_timing: id  0 | task 0 | n_gen =    604, tg =  11.87 t/s, tg_3s =  11.53 t/s
1.09.973.590 I slot print_timing: id  0 | task 0 | n_gen =    639, tg =  11.85 t/s, tg_3s =  11.53 t/s
1.13.010.421 I slot print_timing: id  0 | task 0 | n_gen =    674, tg =  11.83 t/s, tg_3s =  11.53 t/s
1.16.047.211 I slot print_timing: id  0 | task 0 | n_gen =    709, tg =  11.81 t/s, tg_3s =  11.53 t/s
1.19.086.147 I slot print_timing: id  0 | task 0 | n_gen =    744, tg =  11.80 t/s, tg_3s =  11.52 t/s
1.22.128.049 I slot print_timing: id  0 | task 0 | n_gen =    779, tg =  11.79 t/s, tg_3s =  11.51 t/s
