0.00.131.336 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.131.818 W srv  llama_server: -----------------
0.00.131.820 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.131.821 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.131.821 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.131.822 W srv  llama_server: -----------------
0.00.133.133 I srv    load_model: loading model '/home/ubuntu/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.02.548.832 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.02.548.843 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.02.548.855 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.02.548.874 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.02.548.880 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.02.548.897 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.02.548.902 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.02.548.907 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.02.548.911 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.02.548.916 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.02.548.920 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.02.548.926 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.02.548.930 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.02.548.935 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.02.548.948 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.10.954.805 I cmn          init: llama threadpool init, n_threads = 16
0.11.241.582 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.11.338.963 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.11.346.359 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.11.346.403 I srv  llama_server: model loaded
0.11.346.409 I srv  llama_server: listening on http://127.0.0.1:18081
0.15.545.257 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.15.545.327 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.24.386.473 I slot print_timing: id  0 | task 0 | prompt eval time =     552.03 ms /    11 tokens (   50.18 ms per token,    19.93 tokens per second)
0.24.386.478 I slot print_timing: id  0 | task 0 |        eval time =    8289.08 ms /   100 tokens (   83.73 ms per token,    11.94 tokens per second)
0.24.386.479 I slot print_timing: id  0 | task 0 |       total time =    8841.10 ms /   111 tokens
0.24.386.482 I slot print_timing: id  0 | task 0 |    graphs reused =         99
0.24.386.516 I slot      release: id  0 | task 0 | stop processing: n_tokens = 110, truncated = 0
0.24.684.766 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 550060304
0.24.947.397 I slot launch_slot_: id  0 | task 102 | processing task, is_child = 0
0.31.708.428 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =   2048, progress = 0.52, t =   6.76 s / 302.91 tokens per second
0.35.139.524 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =   3401, progress = 0.87, t =  10.19 s / 333.69 tokens per second
0.36.950.193 I slot print_timing: id  0 | task 102 | prompt processing, n_tokens =   3913, progress = 1.00, t =  12.00 s / 326.01 tokens per second
0.49.485.331 I slot print_timing: id  0 | task 102 | prompt eval time =   16011.14 ms /  3917 tokens (    4.09 ms per token,   244.64 tokens per second)
0.49.485.337 I slot print_timing: id  0 | task 102 |        eval time =    8526.76 ms /   100 tokens (   86.13 ms per token,    11.61 tokens per second)
0.49.485.338 I slot print_timing: id  0 | task 102 |       total time =   24537.90 ms /  4017 tokens
0.49.485.339 I slot print_timing: id  0 | task 102 |    graphs reused =        197
0.49.485.496 I slot      release: id  0 | task 102 | stop processing: n_tokens = 4016, truncated = 0
0.49.710.476 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 575159285
0.50.273.584 I slot launch_slot_: id  0 | task 206 | processing task, is_child = 0
0.50.997.718 I slot print_timing: id  0 | task 206 | prompt eval time =     117.22 ms /     2 tokens (   58.61 ms per token,    17.06 tokens per second)
0.50.997.722 I slot print_timing: id  0 | task 206 |        eval time =     606.88 ms /     8 tokens (   86.70 ms per token,    11.53 tokens per second)
0.50.997.723 I slot print_timing: id  0 | task 206 |       total time =     724.10 ms /    10 tokens
0.50.997.724 I slot print_timing: id  0 | task 206 |    graphs reused =        203
0.50.997.741 I slot      release: id  0 | task 206 | stop processing: n_tokens = 9, truncated = 0
0.51.002.695 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 576671529
