0.00.141.187 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.141.772 W srv  llama_server: -----------------
0.00.141.775 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.141.776 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.141.776 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.141.777 W srv  llama_server: -----------------
0.00.143.110 I srv    load_model: loading model '/home/ubuntu/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.143.287 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.01.201.198 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.201.209 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.201.220 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.01.201.225 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.01.201.229 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.01.201.244 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.01.201.249 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.201.253 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.201.258 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.01.201.262 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.201.266 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.01.201.271 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.201.276 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.201.280 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.201.293 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.08.185.718 I cmn          init: llama threadpool init, n_threads = 16
0.08.432.745 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.08.509.903 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.08.517.214 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.08.517.257 I srv  llama_server: model loaded
0.08.517.265 I srv  llama_server: listening on http://127.0.0.1:18081
0.10.552.147 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.552.251 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.15.905.889 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  20.19 t/s, tg_3s =  20.39 t/s
0.18.950.870 I slot print_timing: id  0 | task 0 | n_gen =    162, tg =  20.25 t/s, tg_3s =  20.36 t/s
0.21.997.232 I slot print_timing: id  0 | task 0 | n_gen =    224, tg =  20.28 t/s, tg_3s =  20.35 t/s
0.25.042.998 I slot print_timing: id  0 | task 0 | n_gen =    285, tg =  20.23 t/s, tg_3s =  20.03 t/s
0.28.044.552 I slot print_timing: id  0 | task 0 | n_gen =    346, tg =  20.24 t/s, tg_3s =  20.32 t/s
0.31.046.562 I slot print_timing: id  0 | task 0 | n_gen =    407, tg =  20.25 t/s, tg_3s =  20.32 t/s
0.34.049.175 I slot print_timing: id  0 | task 0 | n_gen =    468, tg =  20.26 t/s, tg_3s =  20.32 t/s
0.37.098.244 I slot print_timing: id  0 | task 0 | n_gen =    529, tg =  20.23 t/s, tg_3s =  20.01 t/s
0.40.146.983 I slot print_timing: id  0 | task 0 | n_gen =    591, tg =  20.24 t/s, tg_3s =  20.34 t/s
0.43.147.719 I slot print_timing: id  0 | task 0 | n_gen =    652, tg =  20.25 t/s, tg_3s =  20.33 t/s
0.46.148.813 I slot print_timing: id  0 | task 0 | n_gen =    713, tg =  20.26 t/s, tg_3s =  20.33 t/s
0.49.190.248 I slot print_timing: id  0 | task 0 | n_gen =    774, tg =  20.24 t/s, tg_3s =  20.06 t/s
0.52.191.638 I slot print_timing: id  0 | task 0 | n_gen =    835, tg =  20.25 t/s, tg_3s =  20.32 t/s
0.55.193.048 I slot print_timing: id  0 | task 0 | n_gen =    896, tg =  20.25 t/s, tg_3s =  20.32 t/s
0.58.194.482 I slot print_timing: id  0 | task 0 | n_gen =    957, tg =  20.26 t/s, tg_3s =  20.32 t/s
1.00.310.436 I slot print_timing: id  0 | task 0 | prompt eval time =     449.47 ms /    11 tokens (   40.86 ms per token,    24.47 tokens per second)
1.00.310.440 I slot print_timing: id  0 | task 0 |        eval time =   49308.66 ms /  1000 tokens (   49.36 ms per token,    20.26 tokens per second)
1.00.310.441 I slot print_timing: id  0 | task 0 |       total time =   49758.13 ms /  1011 tokens
1.00.310.450 I slot print_timing: id  0 | task 0 |    graphs reused =        996
1.00.310.481 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1010, truncated = 0
1.00.661.697 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11441513732
1.01.020.366 I slot launch_slot_: id  0 | task 1002 | processing task, is_child = 0
1.09.272.365 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =   2048, progress = 0.13, t =   8.25 s / 248.18 tokens per second
1.17.889.867 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =   4096, progress = 0.26, t =  16.87 s / 242.81 tokens per second
1.26.658.145 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =   6144, progress = 0.39, t =  25.64 s / 239.65 tokens per second
1.35.561.998 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =   8192, progress = 0.52, t =  34.54 s / 237.16 tokens per second
1.44.621.743 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  10240, progress = 0.65, t =  43.60 s / 234.86 tokens per second
1.53.829.247 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  12288, progress = 0.78, t =  52.81 s / 232.69 tokens per second
2.03.191.954 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  14336, progress = 0.91, t =  62.17 s / 230.59 tokens per second
2.07.812.576 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  15309, progress = 0.97, t =  66.79 s / 229.20 tokens per second
2.10.309.954 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  15821, progress = 1.00, t =  69.29 s / 228.33 tokens per second
2.16.204.243 I slot print_timing: id  0 | task 1002 | n_gen =    100, tg =  18.82 t/s, tg_3s =  19.01 t/s
2.19.245.937 I slot print_timing: id  0 | task 1002 | n_gen =    158, tg =  18.91 t/s, tg_3s =  19.07 t/s
2.22.286.495 I slot print_timing: id  0 | task 1002 | n_gen =    216, tg =  18.96 t/s, tg_3s =  19.08 t/s
2.25.327.276 I slot print_timing: id  0 | task 1002 | n_gen =    274, tg =  18.98 t/s, tg_3s =  19.07 t/s
2.28.353.781 I slot print_timing: id  0 | task 1002 | n_gen =    331, tg =  18.96 t/s, tg_3s =  18.83 t/s
2.31.400.224 I slot print_timing: id  0 | task 1002 | n_gen =    389, tg =  18.97 t/s, tg_3s =  19.04 t/s
2.34.447.911 I slot print_timing: id  0 | task 1002 | n_gen =    447, tg =  18.98 t/s, tg_3s =  19.03 t/s
2.37.494.365 I slot print_timing: id  0 | task 1002 | n_gen =    505, tg =  18.98 t/s, tg_3s =  19.04 t/s
2.40.525.655 I slot print_timing: id  0 | task 1002 | n_gen =    562, tg =  18.96 t/s, tg_3s =  18.80 t/s
2.43.526.064 I slot print_timing: id  0 | task 1002 | n_gen =    619, tg =  18.97 t/s, tg_3s =  19.00 t/s
2.46.526.489 I slot print_timing: id  0 | task 1002 | n_gen =    676, tg =  18.97 t/s, tg_3s =  19.00 t/s
2.49.526.991 I slot print_timing: id  0 | task 1002 | n_gen =    733, tg =  18.97 t/s, tg_3s =  19.00 t/s
2.52.579.422 I slot print_timing: id  0 | task 1002 | n_gen =    791, tg =  18.97 t/s, tg_3s =  19.00 t/s
2.55.617.517 I slot print_timing: id  0 | task 1002 | n_gen =    848, tg =  18.96 t/s, tg_3s =  18.76 t/s
2.58.619.689 I slot print_timing: id  0 | task 1002 | n_gen =    905, tg =  18.96 t/s, tg_3s =  18.99 t/s
3.01.622.465 I slot print_timing: id  0 | task 1002 | n_gen =    962, tg =  18.96 t/s, tg_3s =  18.98 t/s
3.03.623.312 I slot print_timing: id  0 | task 1002 | prompt eval time =   69923.89 ms / 15825 tokens (    4.42 ms per token,   226.32 tokens per second)
3.03.623.315 I slot print_timing: id  0 | task 1002 |        eval time =   52679.04 ms /  1000 tokens (   52.73 ms per token,    18.96 tokens per second)
3.03.623.316 I slot print_timing: id  0 | task 1002 |       total time =  122602.92 ms / 16825 tokens
3.03.623.318 I slot print_timing: id  0 | task 1002 |    graphs reused =       1990
3.03.623.791 I slot      release: id  0 | task 1002 | stop processing: n_tokens = 16824, truncated = 0
3.03.999.744 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.487 (> 0.100 thold), f_keep = 0.939
3.03.999.846 I slot launch_slot_: id  0 | task 2012 | processing task, is_child = 0
3.13.233.712 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =   2048, progress = 0.53, t =   9.23 s / 221.79 tokens per second
3.22.924.339 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =   4096, progress = 0.60, t =  18.92 s / 216.44 tokens per second
3.32.798.637 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =   6144, progress = 0.66, t =  28.80 s / 213.34 tokens per second
3.42.800.476 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =   8192, progress = 0.72, t =  38.80 s / 211.13 tokens per second
3.52.976.669 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  10240, progress = 0.79, t =  48.98 s / 209.08 tokens per second
4.03.294.085 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  12288, progress = 0.85, t =  59.29 s / 207.24 tokens per second
4.13.758.171 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  14336, progress = 0.91, t =  69.76 s / 205.51 tokens per second
4.24.376.551 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  16384, progress = 0.98, t =  80.38 s / 203.84 tokens per second
