0.00.052.286 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.052.771 W srv  llama_server: -----------------
0.00.052.773 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.052.774 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.052.774 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.052.775 W srv  llama_server: -----------------
0.00.054.141 I srv    load_model: loading model '/home/llm/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.467.698 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.467.708 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.467.721 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.01.467.726 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.01.467.730 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.01.467.745 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.01.467.750 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.467.754 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.467.758 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.01.467.763 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.467.767 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.01.467.793 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.467.799 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.467.804 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.467.816 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.604.533 I cmn          init: llama threadpool init, n_threads = 16
0.06.817.276 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.06.931.980 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.06.938.715 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.06.938.756 I srv  llama_server: model loaded
0.06.938.762 I srv  llama_server: listening on http://127.0.0.1:18081
0.10.418.550 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.418.649 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.19.741.524 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  11.24 t/s, tg_3s =  11.35 t/s
0.22.770.787 I slot print_timing: id  0 | task 0 | n_gen =    134, tg =  11.23 t/s, tg_3s =  11.22 t/s
0.25.799.350 I slot print_timing: id  0 | task 0 | n_gen =    168, tg =  11.23 t/s, tg_3s =  11.23 t/s
0.28.833.535 I slot print_timing: id  0 | task 0 | n_gen =    202, tg =  11.23 t/s, tg_3s =  11.21 t/s
0.31.867.527 I slot print_timing: id  0 | task 0 | n_gen =    236, tg =  11.22 t/s, tg_3s =  11.21 t/s
0.34.908.838 I slot print_timing: id  0 | task 0 | n_gen =    270, tg =  11.22 t/s, tg_3s =  11.18 t/s
0.37.944.862 I slot print_timing: id  0 | task 0 | n_gen =    304, tg =  11.22 t/s, tg_3s =  11.20 t/s
0.40.980.033 I slot print_timing: id  0 | task 0 | n_gen =    338, tg =  11.21 t/s, tg_3s =  11.20 t/s
0.44.014.436 I slot print_timing: id  0 | task 0 | n_gen =    372, tg =  11.21 t/s, tg_3s =  11.20 t/s
0.47.048.628 I slot print_timing: id  0 | task 0 | n_gen =    406, tg =  11.21 t/s, tg_3s =  11.21 t/s
0.50.084.279 I slot print_timing: id  0 | task 0 | n_gen =    440, tg =  11.21 t/s, tg_3s =  11.20 t/s
0.53.118.585 I slot print_timing: id  0 | task 0 | n_gen =    474, tg =  11.21 t/s, tg_3s =  11.21 t/s
0.56.158.911 I slot print_timing: id  0 | task 0 | n_gen =    508, tg =  11.21 t/s, tg_3s =  11.18 t/s
0.59.195.231 I slot print_timing: id  0 | task 0 | n_gen =    542, tg =  11.21 t/s, tg_3s =  11.20 t/s
1.02.231.300 I slot print_timing: id  0 | task 0 | n_gen =    576, tg =  11.21 t/s, tg_3s =  11.20 t/s
1.05.268.612 I slot print_timing: id  0 | task 0 | n_gen =    610, tg =  11.21 t/s, tg_3s =  11.19 t/s
1.08.304.304 I slot print_timing: id  0 | task 0 | n_gen =    644, tg =  11.21 t/s, tg_3s =  11.20 t/s
1.11.340.277 I slot print_timing: id  0 | task 0 | n_gen =    678, tg =  11.21 t/s, tg_3s =  11.20 t/s
1.14.376.247 I slot print_timing: id  0 | task 0 | n_gen =    712, tg =  11.21 t/s, tg_3s =  11.20 t/s
1.17.412.023 I slot print_timing: id  0 | task 0 | n_gen =    746, tg =  11.21 t/s, tg_3s =  11.20 t/s
1.20.453.600 I slot print_timing: id  0 | task 0 | n_gen =    780, tg =  11.20 t/s, tg_3s =  11.18 t/s
1.23.490.603 I slot print_timing: id  0 | task 0 | n_gen =    814, tg =  11.20 t/s, tg_3s =  11.20 t/s
1.26.526.332 I slot print_timing: id  0 | task 0 | n_gen =    848, tg =  11.20 t/s, tg_3s =  11.20 t/s
1.29.562.069 I slot print_timing: id  0 | task 0 | n_gen =    882, tg =  11.20 t/s, tg_3s =  11.20 t/s
1.32.597.831 I slot print_timing: id  0 | task 0 | n_gen =    916, tg =  11.20 t/s, tg_3s =  11.20 t/s
1.35.633.140 I slot print_timing: id  0 | task 0 | n_gen =    950, tg =  11.20 t/s, tg_3s =  11.20 t/s
1.38.668.808 I slot print_timing: id  0 | task 0 | n_gen =    984, tg =  11.20 t/s, tg_3s =  11.20 t/s
1.40.097.291 I slot print_timing: id  0 | task 0 | prompt eval time =     511.93 ms /    11 tokens (   46.54 ms per token,    21.49 tokens per second)
1.40.097.296 I slot print_timing: id  0 | task 0 |        eval time =   89166.66 ms /  1000 tokens (   89.26 ms per token,    11.20 tokens per second)
1.40.097.297 I slot print_timing: id  0 | task 0 |       total time =   89678.59 ms /  1011 tokens
1.40.097.306 I slot print_timing: id  0 | task 0 |    graphs reused =        996
1.40.097.358 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1010, truncated = 0
1.40.390.779 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 657361012
1.40.708.471 I slot launch_slot_: id  0 | task 1002 | processing task, is_child = 0
1.47.945.691 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =   2048, progress = 0.13, t =   7.24 s / 282.98 tokens per second
1.54.736.320 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =   4096, progress = 0.26, t =  14.03 s / 291.99 tokens per second
2.01.662.565 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =   6144, progress = 0.39, t =  20.95 s / 293.21 tokens per second
2.08.753.760 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =   8192, progress = 0.52, t =  28.05 s / 292.10 tokens per second
2.16.233.310 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  10240, progress = 0.65, t =  35.52 s / 288.25 tokens per second
2.23.754.432 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  12288, progress = 0.78, t =  43.05 s / 285.46 tokens per second
2.31.354.175 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  14336, progress = 0.91, t =  50.65 s / 283.06 tokens per second
2.35.228.695 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  15309, progress = 0.97, t =  54.52 s / 280.80 tokens per second
2.37.566.541 I slot print_timing: id  0 | task 1002 | prompt processing, n_tokens =  15821, progress = 1.00, t =  56.86 s / 278.25 tokens per second
2.51.003.732 I slot print_timing: id  0 | task 1002 | n_gen =    100, tg =  10.98 t/s, tg_3s =  11.09 t/s
2.54.009.225 I slot print_timing: id  0 | task 1002 | n_gen =    133, tg =  10.98 t/s, tg_3s =  10.98 t/s
2.57.013.919 I slot print_timing: id  0 | task 1002 | n_gen =    166, tg =  10.98 t/s, tg_3s =  10.98 t/s
3.00.019.166 I slot print_timing: id  0 | task 1002 | n_gen =    199, tg =  10.98 t/s, tg_3s =  10.98 t/s
3.03.024.725 I slot print_timing: id  0 | task 1002 | n_gen =    232, tg =  10.98 t/s, tg_3s =  10.98 t/s
3.06.030.120 I slot print_timing: id  0 | task 1002 | n_gen =    265, tg =  10.98 t/s, tg_3s =  10.98 t/s
3.09.035.551 I slot print_timing: id  0 | task 1002 | n_gen =    298, tg =  10.98 t/s, tg_3s =  10.98 t/s
3.12.053.786 I slot print_timing: id  0 | task 1002 | n_gen =    331, tg =  10.97 t/s, tg_3s =  10.93 t/s
3.15.067.152 I slot print_timing: id  0 | task 1002 | n_gen =    364, tg =  10.97 t/s, tg_3s =  10.95 t/s
3.18.079.881 I slot print_timing: id  0 | task 1002 | n_gen =    397, tg =  10.97 t/s, tg_3s =  10.95 t/s
3.21.092.086 I slot print_timing: id  0 | task 1002 | n_gen =    430, tg =  10.97 t/s, tg_3s =  10.96 t/s
3.24.104.683 I slot print_timing: id  0 | task 1002 | n_gen =    463, tg =  10.97 t/s, tg_3s =  10.95 t/s
3.27.125.678 I slot print_timing: id  0 | task 1002 | n_gen =    495, tg =  10.94 t/s, tg_3s =  10.59 t/s
3.30.214.982 I slot print_timing: id  0 | task 1002 | n_gen =    527, tg =  10.91 t/s, tg_3s =  10.36 t/s
3.33.305.521 I slot print_timing: id  0 | task 1002 | n_gen =    559, tg =  10.87 t/s, tg_3s =  10.35 t/s
3.36.309.067 I slot print_timing: id  0 | task 1002 | n_gen =    590, tg =  10.84 t/s, tg_3s =  10.32 t/s
3.39.403.812 I slot print_timing: id  0 | task 1002 | n_gen =    622, tg =  10.82 t/s, tg_3s =  10.34 t/s
3.42.498.894 I slot print_timing: id  0 | task 1002 | n_gen =    654, tg =  10.79 t/s, tg_3s =  10.34 t/s
3.45.593.801 I slot print_timing: id  0 | task 1002 | n_gen =    686, tg =  10.77 t/s, tg_3s =  10.34 t/s
3.48.689.414 I slot print_timing: id  0 | task 1002 | n_gen =    718, tg =  10.75 t/s, tg_3s =  10.34 t/s
3.51.784.205 I slot print_timing: id  0 | task 1002 | n_gen =    750, tg =  10.73 t/s, tg_3s =  10.34 t/s
3.54.878.817 I slot print_timing: id  0 | task 1002 | n_gen =    782, tg =  10.71 t/s, tg_3s =  10.34 t/s
3.57.972.925 I slot print_timing: id  0 | task 1002 | n_gen =    814, tg =  10.70 t/s, tg_3s =  10.34 t/s
4.00.980.274 I slot print_timing: id  0 | task 1002 | n_gen =    845, tg =  10.68 t/s, tg_3s =  10.31 t/s
4.03.982.316 I slot print_timing: id  0 | task 1002 | n_gen =    876, tg =  10.67 t/s, tg_3s =  10.33 t/s
4.06.983.751 I slot print_timing: id  0 | task 1002 | n_gen =    907, tg =  10.66 t/s, tg_3s =  10.33 t/s
4.09.985.771 I slot print_timing: id  0 | task 1002 | n_gen =    938, tg =  10.65 t/s, tg_3s =  10.33 t/s
4.12.987.294 I slot print_timing: id  0 | task 1002 | n_gen =    969, tg =  10.64 t/s, tg_3s =  10.33 t/s
4.15.989.281 I slot print_timing: id  0 | task 1002 | prompt eval time =   61275.62 ms / 15825 tokens (    3.87 ms per token,   258.26 tokens per second)
4.15.989.285 I slot print_timing: id  0 | task 1002 |        eval time =   94005.16 ms /  1000 tokens (   94.10 ms per token,    10.63 tokens per second)
4.15.989.287 I slot print_timing: id  0 | task 1002 |       total time =  155280.78 ms / 16825 tokens
4.15.989.288 I slot print_timing: id  0 | task 1002 |    graphs reused =       1990
4.15.989.813 I slot      release: id  0 | task 1002 | stop processing: n_tokens = 16824, truncated = 0
4.16.342.461 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.487 (> 0.100 thold), f_keep = 0.939
4.16.342.542 I slot launch_slot_: id  0 | task 2012 | processing task, is_child = 0
4.24.123.476 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =   2048, progress = 0.53, t =   7.78 s / 263.21 tokens per second
4.31.931.615 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =   4096, progress = 0.60, t =  15.59 s / 262.75 tokens per second
4.40.012.602 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =   6144, progress = 0.66, t =  23.67 s / 259.57 tokens per second
4.48.204.594 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =   8192, progress = 0.72, t =  31.86 s / 257.11 tokens per second
4.56.601.905 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  10240, progress = 0.79, t =  40.26 s / 254.35 tokens per second
5.05.123.661 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  12288, progress = 0.85, t =  48.78 s / 251.90 tokens per second
5.13.827.827 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  14336, progress = 0.91, t =  57.49 s / 249.39 tokens per second
5.22.671.846 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  16384, progress = 0.98, t =  66.33 s / 247.01 tokens per second
5.24.838.131 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  16633, progress = 0.98, t =  68.50 s / 242.83 tokens per second
5.25.971.562 I slot print_timing: id  0 | task 2012 | prompt processing, n_tokens =  17145, progress = 1.00, t =  69.63 s / 246.23 tokens per second
5.40.974.438 I slot print_timing: id  0 | task 2012 | n_gen =    100, tg =  10.07 t/s, tg_3s =  10.18 t/s
5.44.052.741 I slot print_timing: id  0 | task 2012 | n_gen =    131, tg =  10.07 t/s, tg_3s =  10.07 t/s
5.47.130.898 I slot print_timing: id  0 | task 2012 | n_gen =    162, tg =  10.07 t/s, tg_3s =  10.07 t/s
5.50.208.889 I slot print_timing: id  0 | task 2012 | n_gen =    193, tg =  10.07 t/s, tg_3s =  10.07 t/s
5.53.288.152 I slot print_timing: id  0 | task 2012 | n_gen =    224, tg =  10.07 t/s, tg_3s =  10.07 t/s
