0.00.059.455 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.059.870 W srv  llama_server: -----------------
0.00.059.873 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.059.873 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.059.873 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.059.874 W srv  llama_server: -----------------
0.00.061.230 I srv    load_model: loading model '/home/llm/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.290.821 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.290.830 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.290.842 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.01.290.863 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.01.290.867 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.01.290.885 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.01.290.890 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.290.895 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.290.899 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.01.290.904 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.290.908 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.01.290.914 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.290.919 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.290.924 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.290.937 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.346.296 I cmn          init: llama threadpool init, n_threads = 16
0.06.531.867 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.06.648.120 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.06.654.997 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.06.655.039 I srv  llama_server: model loaded
0.06.655.044 I srv  llama_server: listening on http://127.0.0.1:18081
0.10.371.796 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.10.371.859 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.18.980.400 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  12.12 t/s, tg_3s =  12.24 t/s
0.22.029.903 I slot print_timing: id  0 | task 0 | n_gen =    137, tg =  12.12 t/s, tg_3s =  12.13 t/s
0.25.089.639 I slot print_timing: id  0 | task 0 | n_gen =    173, tg =  12.05 t/s, tg_3s =  11.77 t/s
0.28.168.559 I slot print_timing: id  0 | task 0 | n_gen =    210, tg =  12.04 t/s, tg_3s =  12.02 t/s
0.31.240.104 I slot print_timing: id  0 | task 0 | n_gen =    247, tg =  12.04 t/s, tg_3s =  12.05 t/s
0.34.309.384 I slot print_timing: id  0 | task 0 | n_gen =    284, tg =  12.04 t/s, tg_3s =  12.05 t/s
0.37.377.673 I slot print_timing: id  0 | task 0 | n_gen =    321, tg =  12.05 t/s, tg_3s =  12.06 t/s
0.40.448.606 I slot print_timing: id  0 | task 0 | n_gen =    358, tg =  12.05 t/s, tg_3s =  12.05 t/s
0.43.511.889 I slot print_timing: id  0 | task 0 | n_gen =    394, tg =  12.02 t/s, tg_3s =  11.75 t/s
0.46.582.607 I slot print_timing: id  0 | task 0 | n_gen =    430, tg =  11.99 t/s, tg_3s =  11.72 t/s
0.49.646.517 I slot print_timing: id  0 | task 0 | n_gen =    467, tg =  12.00 t/s, tg_3s =  12.08 t/s
0.52.706.813 I slot print_timing: id  0 | task 0 | n_gen =    504, tg =  12.01 t/s, tg_3s =  12.09 t/s
0.55.762.631 I slot print_timing: id  0 | task 0 | n_gen =    541, tg =  12.01 t/s, tg_3s =  12.11 t/s
0.58.818.656 I slot print_timing: id  0 | task 0 | n_gen =    578, tg =  12.02 t/s, tg_3s =  12.11 t/s
1.01.884.076 I slot print_timing: id  0 | task 0 | n_gen =    615, tg =  12.02 t/s, tg_3s =  12.07 t/s
1.04.946.583 I slot print_timing: id  0 | task 0 | n_gen =    652, tg =  12.03 t/s, tg_3s =  12.08 t/s
1.08.008.921 I slot print_timing: id  0 | task 0 | n_gen =    689, tg =  12.03 t/s, tg_3s =  12.08 t/s
1.11.064.864 I slot print_timing: id  0 | task 0 | n_gen =    726, tg =  12.03 t/s, tg_3s =  12.11 t/s
1.14.125.775 I slot print_timing: id  0 | task 0 | n_gen =    763, tg =  12.04 t/s, tg_3s =  12.09 t/s
1.17.146.708 I slot print_timing: id  0 | task 0 | n_gen =    799, tg =  12.03 t/s, tg_3s =  11.92 t/s
